ダウンロードした時刻：2019/10/10 15:40:47

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,6.6,9.6,2.2
1997/12/2,3.3,8.4,-0.9
1997/12/3,-0.2,1.7,-2.1
1997/12/4,2.7,6.2,-1.0
1997/12/5,3.4,10.3,-1.9
1997/12/6,5.5,12.6,-1.1
1997/12/7,7.2,8.5,5.6
1997/12/8,9.9,11.4,8.3
1997/12/9,10.2,13.5,6.4
1997/12/10,6.6,11.2,1.7
1997/12/11,4.1,9.2,-0.7
1997/12/12,3.7,5.7,1.7
1997/12/13,2.7,5.9,-0.8
1997/12/14,3.0,10.1,-2.0
1997/12/15,4.8,11.9,-0.6
1997/12/16,6.1,9.2,2.3
1997/12/17,4.8,8.5,0.4
1997/12/18,7.7,12.6,4.5
1997/12/19,9.1,15.8,4.1
1997/12/20,7.6,17.2,1.7
1997/12/21,5.4,7.8,2.8
1997/12/22,2.9,5.9,0.9
1997/12/23,2.8,8.0,-1.0
1997/12/24,3.0,7.5,-1.2
1997/12/25,0.9,7.9,-3.9
1997/12/26,1.7,8.5,-4.3
1997/12/27,6.8,13.3,1.4
1997/12/28,5.9,11.5,3.2
1997/12/29,4.2,8.3,0.0
1997/12/30,2.7,6.9,-0.4
1997/12/31,5.0,7.2,2.9
1998/1/1,4.4,10.0,-0.6
1998/1/2,3.3,6.6,0.5
1998/1/3,5.5,12.1,0.5
1998/1/4,4.7,13.5,1.0
1998/1/5,2.9,6.6,-0.2
1998/1/6,1.8,4.3,-0.2
1998/1/7,-0.4,0.8,-1.3
1998/1/8,-1.2,2.2,-4.4
1998/1/9,0.2,3.2,-2.5
1998/1/10,3.8,5.6,0.9
1998/1/11,2.6,4.8,-0.2
1998/1/12,0.0,0.8,-0.9
1998/1/13,0.8,6.0,-2.7
1998/1/14,0.9,6.2,-4.2
1998/1/15,-1.8,1.3,-3.7
1998/1/16,2.3,4.8,0.0
1998/1/17,3.2,6.8,-0.2
1998/1/18,2.7,7.8,0.6
1998/1/19,2.3,7.1,-2.1
1998/1/20,0.6,3.2,-2.6
1998/1/21,2.1,6.2,-1.4
1998/1/22,-0.3,2.7,-2.3
1998/1/23,-0.2,3.6,-3.3
1998/1/24,-1.7,-0.1,-3.7
1998/1/25,-1.5,2.4,-4.8
1998/1/26,-0.2,2.4,-3.2
1998/1/27,-1.1,1.8,-4.3
1998/1/28,-2.1,1.9,-6.0
1998/1/29,-1.0,2.4,-3.1
1998/1/30,1.0,7.7,-6.6
1998/1/31,1.9,7.2,-2.1
1998/2/1,0.5,3.5,-2.0
1998/2/2,1.9,6.4,-1.3
1998/2/3,3.6,8.7,-1.8
1998/2/4,0.9,3.3,-1.6
1998/2/5,1.2,4.8,-2.1
1998/2/6,2.4,6.3,-1.9
1998/2/7,1.3,3.9,0.0
1998/2/8,1.3,3.8,-0.3
1998/2/9,2.9,5.5,0.8
1998/2/10,0.9,4.9,-1.1
1998/2/11,1.4,5.7,-1.8
1998/2/12,3.3,11.4,-4.3
1998/2/13,7.1,11.4,2.4
1998/2/14,4.6,9.3,0.8
1998/2/15,2.4,5.5,0.3
1998/2/16,2.6,6.2,-0.3
1998/2/17,0.9,4.5,-1.1
1998/2/18,1.2,5.0,-1.4
1998/2/19,3.1,12.8,-4.5
1998/2/20,5.6,10.5,0.6
1998/2/21,0.6,4.8,-0.7
1998/2/22,1.5,6.2,-1.9
1998/2/23,2.5,10.0,-3.9
1998/2/24,2.5,8.3,-2.7
1998/2/25,2.5,3.4,1.6
1998/2/26,4.5,6.4,2.8
1998/2/27,6.7,13.6,2.5
1998/2/28,4.0,8.9,-0.7
1998/3/1,3.7,6.0,2.5
1998/3/2,6.6,10.6,2.2
1998/3/3,6.4,13.9,0.3
1998/3/4,5.1,11.8,-0.4
1998/3/5,3.1,6.2,0.3
1998/3/6,5.6,11.9,0.8
1998/3/7,3.3,6.2,-0.8
1998/3/8,3.2,8.2,-0.8
1998/3/9,4.5,14.3,-3.3
1998/3/10,3.6,8.4,0.5
1998/3/11,4.2,12.5,-2.7
1998/3/12,6.1,8.7,3.3
1998/3/13,8.2,12.7,4.6
1998/3/14,6.8,14.8,0.8
1998/3/15,2.0,6.9,-2.4
1998/3/16,2.6,8.0,-1.9
1998/3/17,2.1,5.6,0.4
1998/3/18,4.6,8.6,1.3
1998/3/19,8.0,15.9,-0.7
1998/3/20,10.3,17.9,4.7
1998/3/21,6.5,11.1,4.1
1998/3/22,4.8,9.0,2.7
1998/3/23,5.2,8.5,2.5
1998/3/24,6.3,13.1,0.8
1998/3/25,6.4,14.2,-0.1
1998/3/26,10.5,15.7,3.8
1998/3/27,10.3,12.2,7.4
1998/3/28,12.8,18.8,9.2
1998/3/29,15.1,22.6,7.1
1998/3/30,16.3,22.9,11.7
1998/3/31,8.3,12.1,4.8
