É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:16:49

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1985/12/1,8.1,13.9,1.8
1985/12/2,9.1,13.6,5.7
1985/12/3,6.9,14.3,0.7
1985/12/4,10.4,13.1,6.3
1985/12/5,10.9,18.0,6.6
1985/12/6,8.1,11.1,6.1
1985/12/7,9.3,12.7,4.7
1985/12/8,10.8,15.3,8.3
1985/12/9,4.7,8.5,1.1
1985/12/10,3.7,7.6,1.1
1985/12/11,4.8,8.0,2.4
1985/12/12,4.1,7.1,2.5
1985/12/13,6.4,9.7,2.7
1985/12/14,6.7,9.3,3.0
1985/12/15,0.4,3.5,-0.6
1985/12/16,1.7,6.1,-0.6
1985/12/17,1.1,3.4,-0.5
1985/12/18,2.6,9.1,-2.3
1985/12/19,5.1,8.1,1.6
1985/12/20,5.6,9.5,3.0
1985/12/21,5.1,12.2,-1.0
1985/12/22,8.3,10.9,5.2
1985/12/23,7.2,10.5,4.3
1985/12/24,5.2,10.4,1.5
1985/12/25,5.9,12.3,-0.9
1985/12/26,7.2,13.2,2.8
1985/12/27,7.1,13.7,2.3
1985/12/28,6.0,13.5,1.5
1985/12/29,9.2,14.2,3.5
1985/12/30,13.9,16.8,11.2
1985/12/31,9.4,12.6,5.1
1986/1/1,4.9,7.1,2.7
1986/1/2,1.8,4.5,-0.4
1986/1/3,4.6,9.8,-2.2
1986/1/4,5.0,8.9,1.3
1986/1/5,0.1,2.1,-3.0
1986/1/6,1.1,3.0,-1.0
1986/1/7,2.3,8.1,-2.1
1986/1/8,3.9,7.8,-0.1
1986/1/9,2.3,4.8,0.0
1986/1/10,2.4,5.5,0.4
1986/1/11,1.3,4.8,-0.1
1986/1/12,1.4,8.1,-3.5
1986/1/13,3.1,7.4,-1.3
1986/1/14,4.4,9.6,-0.3
1986/1/15,4.2,10.1,-1.7
1986/1/16,6.7,12.9,3.4
1986/1/17,5.7,12.6,0.3
1986/1/18,5.6,11.6,2.0
1986/1/19,5.6,9.8,1.6
1986/1/20,4.2,12.0,-1.1
1986/1/21,6.4,13.0,-0.8
1986/1/22,4.5,7.3,2.7
1986/1/23,4.9,7.5,2.0
1986/1/24,5.8,10.2,1.5
1986/1/25,3.4,5.9,0.5
1986/1/26,3.2,7.0,0.7
1986/1/27,2.1,6.5,-0.6
1986/1/28,4.8,9.7,-1.0
1986/1/29,5.5,12.0,1.4
1986/1/30,5.2,10.1,1.2
1986/1/31,6.9,13.1,2.9
1986/2/1,5.6,10.8,1.2
1986/2/2,4.5,11.1,-0.4
1986/2/3,3.2,9.9,-1.7
1986/2/4,2.2,6.9,-0.3
1986/2/5,3.1,7.7,0.0
1986/2/6,2.8,8.5,-1.2
1986/2/7,2.2,7.6,-2.5
1986/2/8,2.5,6.0,-0.1
1986/2/9,4.2,8.8,1.2
1986/2/10,3.7,10.4,-1.0
1986/2/11,4.3,9.7,0.3
1986/2/12,4.1,11.4,-0.6
1986/2/13,6.3,13.9,-0.9
1986/2/14,9.6,15.6,5.8
1986/2/15,6.2,10.0,1.6
1986/2/16,2.2,7.6,-1.9
1986/2/17,2.8,9.4,-3.5
1986/2/18,8.3,12.2,3.1
1986/2/19,6.7,11.8,2.3
1986/2/20,5.6,12.9,-0.5
1986/2/21,4.7,10.1,0.5
1986/2/22,4.6,10.8,-1.3
1986/2/23,6.1,11.0,0.5
1986/2/24,3.5,7.2,-0.4
1986/2/25,3.4,9.4,-2.8
1986/2/26,5.7,12.7,-1.7
1986/2/27,3.5,6.8,1.7
1986/2/28,3.5,7.9,-1.1
1986/3/1,3.2,8.2,-0.6
1986/3/2,3.1,7.2,1.4
1986/3/3,4.9,11.1,0.1
1986/3/4,5.0,13.5,-2.0
1986/3/5,8.4,17.1,-0.3
1986/3/6,6.8,15.6,-0.9
1986/3/7,7.3,16.3,0.7
1986/3/8,8.5,16.9,0.8
1986/3/9,13.0,21.3,4.6
1986/3/10,12.2,17.0,8.7
1986/3/11,8.3,11.8,4.5
1986/3/12,8.5,15.0,3.1
1986/3/13,11.2,17.9,2.8
1986/3/14,12.0,14.4,10.7
1986/3/15,11.5,13.8,10.1
1986/3/16,11.0,15.8,5.7
1986/3/17,7.3,14.3,2.4
1986/3/18,9.8,14.0,3.5
1986/3/19,11.1,14.6,8.5
1986/3/20,8.9,14.2,6.2
1986/3/21,8.7,15.1,2.2
1986/3/22,7.8,9.4,4.6
1986/3/23,6.5,11.5,3.3
1986/3/24,7.5,13.5,3.2
1986/3/25,7.7,16.3,-0.4
1986/3/26,9.7,16.8,4.2
1986/3/27,10.1,13.5,5.5
1986/3/28,12.7,16.1,10.8
1986/3/29,12.6,18.4,8.4
1986/3/30,12.3,19.9,8.0
1986/3/31,10.6,16.4,5.3
