ダウンロードした時刻：2019/10/10 16:11:42

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,16.1,18.4,13.0
1990/12/2,11.8,13.8,10.4
1990/12/3,9.4,11.5,7.6
1990/12/4,9.3,13.1,5.7
1990/12/5,9.6,14.2,4.8
1990/12/6,10.0,15.7,4.8
1990/12/7,10.7,15.8,5.3
1990/12/8,11.2,16.9,6.3
1990/12/9,12.2,16.4,8.0
1990/12/10,13.8,17.2,10.9
1990/12/11,11.3,17.7,8.6
1990/12/12,9.2,11.7,7.4
1990/12/13,8.9,12.2,4.9
1990/12/14,10.7,14.3,7.4
1990/12/15,10.5,13.5,7.5
1990/12/16,8.4,12.0,5.5
1990/12/17,7.4,9.7,3.8
1990/12/18,8.1,11.3,6.2
1990/12/19,8.2,11.1,6.4
1990/12/20,8.5,11.8,4.8
1990/12/21,10.2,14.7,7.1
1990/12/22,11.6,16.4,5.9
1990/12/23,8.0,13.3,5.0
1990/12/24,7.0,9.4,4.7
1990/12/25,8.1,11.7,3.8
1990/12/26,7.4,12.8,2.6
1990/12/27,5.5,9.7,2.3
1990/12/28,6.4,9.6,2.1
1990/12/29,7.6,9.8,5.8
1990/12/30,6.9,11.0,3.0
1990/12/31,7.1,11.9,3.1
1991/1/1,11.0,16.0,7.3
1991/1/2,10.9,13.7,7.7
1991/1/3,7.4,9.9,4.9
1991/1/4,6.3,9.8,4.2
1991/1/5,4.7,7.2,2.1
1991/1/6,4.0,7.8,1.0
1991/1/7,6.1,9.5,2.4
1991/1/8,6.6,9.6,4.0
1991/1/9,5.5,9.3,2.0
1991/1/10,7.7,10.4,4.7
1991/1/11,8.5,11.2,6.9
1991/1/12,7.2,10.3,4.3
1991/1/13,5.4,8.8,2.9
1991/1/14,4.7,7.0,2.0
1991/1/15,5.4,8.4,3.8
1991/1/16,7.0,10.3,3.7
1991/1/17,5.7,10.0,3.0
1991/1/18,4.3,6.7,2.9
1991/1/19,6.9,11.3,3.4
1991/1/20,7.8,13.1,2.4
1991/1/21,8.1,9.6,7.1
1991/1/22,8.7,11.7,5.7
1991/1/23,4.8,7.3,3.1
1991/1/24,5.2,9.2,0.9
1991/1/25,8.2,11.4,5.6
1991/1/26,6.4,9.7,3.8
1991/1/27,5.1,8.7,1.5
1991/1/28,4.2,6.8,2.7
1991/1/29,4.4,7.5,2.8
1991/1/30,5.0,8.1,3.4
1991/1/31,5.5,9.7,2.3
1991/2/1,5.2,9.7,0.2
1991/2/2,5.2,8.5,3.7
1991/2/3,5.0,8.2,3.0
1991/2/4,6.5,10.3,3.3
1991/2/5,4.8,8.5,2.7
1991/2/6,5.7,9.2,0.4
1991/2/7,7.2,10.9,4.0
1991/2/8,5.8,10.3,3.1
1991/2/9,5.8,9.6,1.0
1991/2/10,7.3,10.8,4.3
1991/2/11,10.0,13.5,7.4
1991/2/12,8.3,12.0,5.0
1991/2/13,7.0,8.6,3.9
1991/2/14,9.8,14.2,5.2
1991/2/15,12.8,17.1,10.6
1991/2/16,7.7,11.0,3.2
1991/2/17,3.5,6.0,2.0
1991/2/18,4.8,6.8,2.4
1991/2/19,4.7,7.6,1.5
1991/2/20,3.5,7.0,0.3
1991/2/21,3.9,8.0,1.1
1991/2/22,3.0,8.3,-0.5
1991/2/23,1.2,3.9,-0.8
1991/2/24,1.4,5.1,-2.4
1991/2/25,2.6,7.3,-0.9
1991/2/26,4.4,9.1,-1.3
1991/2/27,7.4,13.0,0.2
1991/2/28,9.2,13.3,7.2
1991/3/1,4.9,7.3,2.6
1991/3/2,5.6,9.8,1.1
1991/3/3,6.8,10.8,2.2
1991/3/4,9.2,15.0,2.6
1991/3/5,12.4,16.1,8.4
1991/3/6,14.2,17.3,11.5
1991/3/7,9.5,13.2,6.1
1991/3/8,7.5,10.5,4.9
1991/3/9,12.2,16.0,9.1
1991/3/10,9.9,14.2,6.8
1991/3/11,8.2,9.5,6.6
1991/3/12,9.9,13.7,7.5
1991/3/13,10.3,14.8,6.2
1991/3/14,6.5,9.0,2.7
1991/3/15,4.4,7.3,1.5
1991/3/16,4.1,6.3,2.3
1991/3/17,8.2,11.6,5.2
1991/3/18,9.3,14.6,3.8
1991/3/19,13.2,19.9,6.5
1991/3/20,15.8,20.6,12.0
1991/3/21,9.3,15.5,6.8
1991/3/22,10.5,13.8,7.2
1991/3/23,13.1,16.6,11.5
1991/3/24,12.8,18.6,9.9
1991/3/25,12.2,16.1,8.3
1991/3/26,14.3,21.1,10.2
1991/3/27,16.2,21.8,12.4
1991/3/28,11.2,15.0,9.1
1991/3/29,12.1,17.5,8.8
1991/3/30,13.2,18.8,9.5
1991/3/31,10.5,13.3,9.0
