ダウンロードした時刻：2019/10/10 15:49:20

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,3.9,11.2,-0.7
2001/12/2,2.4,10.1,-1.7
2001/12/3,2.7,6.9,-1.2
2001/12/4,4.8,11.2,0.3
2001/12/5,5.5,12.9,0.4
2001/12/6,5.9,9.2,2.6
2001/12/7,2.2,6.8,-1.7
2001/12/8,2.4,9.1,-1.2
2001/12/9,2.0,5.8,-1.7
2001/12/10,0.1,2.8,-1.7
2001/12/11,0.0,1.8,-2.5
2001/12/12,-0.1,8.8,-6.4
2001/12/13,3.5,6.8,-0.4
2001/12/14,0.5,3.7,-1.5
2001/12/15,-1.2,-0.6,-2.1
2001/12/16,-0.3,3.0,-1.9
2001/12/17,-0.7,1.6,-4.2
2001/12/18,-0.4,2.9,-5.4
2001/12/19,-1.2,3.8,-5.0
2001/12/20,-0.1,4.5,-3.2
2001/12/21,-1.2,0.4,-3.1
2001/12/22,-0.3,2.2,-2.1
2001/12/23,-1.3,3.6,-6.5
2001/12/24,-1.8,5.8,-7.1
2001/12/25,-0.8,2.9,-3.7
2001/12/26,-0.3,3.7,-4.4
2001/12/27,-0.7,4.0,-4.6
2001/12/28,0.1,2.2,-2.4
2001/12/29,0.4,5.8,-4.4
2001/12/30,-0.3,2.4,-2.4
2001/12/31,-1.0,2.8,-3.1
2002/1/1,-0.8,3.4,-4.9
2002/1/2,-2.6,0.3,-5.7
2002/1/3,-3.8,-2.0,-5.9
2002/1/4,-1.6,1.6,-6.2
2002/1/5,-1.0,1.2,-4.3
2002/1/6,-3.2,-0.3,-6.4
2002/1/7,-2.2,5.6,-8.1
2002/1/8,-0.1,4.5,-2.8
2002/1/9,-1.0,1.0,-2.6
2002/1/10,0.3,3.9,-2.2
2002/1/11,0.9,2.0,-0.3
2002/1/12,0.3,2.8,-1.3
2002/1/13,0.7,4.3,-0.9
2002/1/14,0.1,5.2,-2.1
2002/1/15,0.2,1.9,-2.1
2002/1/16,2.3,4.4,1.1
2002/1/17,1.4,4.7,-0.8
2002/1/18,-0.1,3.4,-3.0
2002/1/19,-2.1,3.7,-6.6
2002/1/20,-0.6,8.4,-8.0
2002/1/21,2.1,4.5,1.1
2002/1/22,1.0,4.3,-0.6
2002/1/23,-0.8,2.2,-4.0
2002/1/24,-1.4,3.1,-4.9
2002/1/25,-1.2,2.7,-6.6
2002/1/26,-4.3,0.0,-9.5
2002/1/27,0.4,3.4,-1.7
2002/1/28,-0.1,3.1,-2.8
2002/1/29,-2.1,-0.3,-3.2
2002/1/30,-2.1,1.4,-6.0
2002/1/31,-2.9,0.4,-5.9
2002/2/1,-3.3,3.7,-8.9
2002/2/2,-1.3,5.0,-7.6
2002/2/3,1.5,4.2,-0.2
2002/2/4,2.4,7.7,-0.8
2002/2/5,2.6,8.3,-1.5
2002/2/6,2.2,9.0,-2.7
2002/2/7,-0.6,6.8,-4.7
2002/2/8,-0.8,3.5,-4.6
2002/2/9,-0.8,2.7,-4.1
2002/2/10,-1.9,2.6,-4.5
2002/2/11,-2.8,0.4,-5.2
2002/2/12,-2.4,0.7,-4.5
2002/2/13,-2.7,2.7,-8.2
2002/2/14,-4.9,2.4,-12.2
2002/2/15,-2.8,2.5,-7.3
2002/2/16,-2.6,7.0,-10.9
2002/2/17,0.2,5.7,-4.9
2002/2/18,-0.3,3.6,-3.5
2002/2/19,-2.0,0.9,-4.2
2002/2/20,1.6,7.4,-3.0
2002/2/21,1.6,12.4,-6.4
2002/2/22,4.4,10.5,1.4
2002/2/23,3.2,8.5,-1.1
2002/2/24,0.9,5.9,-4.2
2002/2/25,3.6,11.7,-0.7
2002/2/26,3.6,9.6,-0.6
2002/2/27,3.4,10.0,-3.0
2002/2/28,3.3,5.0,2.0
2002/3/1,5.2,11.3,1.9
2002/3/2,3.0,10.5,-0.6
2002/3/3,0.3,5.0,-3.4
2002/3/4,0.7,10.6,-7.1
2002/3/5,1.3,5.7,-2.9
2002/3/6,4.7,12.3,1.1
2002/3/7,1.4,6.2,-1.3
2002/3/8,0.2,5.7,-3.6
2002/3/9,2.1,15.4,-5.7
2002/3/10,3.5,14.1,-4.9
2002/3/11,4.5,11.8,-1.0
2002/3/12,3.9,14.7,-3.8
2002/3/13,4.0,12.6,-2.4
2002/3/14,5.5,16.4,-3.1
2002/3/15,7.4,13.7,4.4
2002/3/16,5.8,14.9,0.4
2002/3/17,6.8,18.0,-1.6
2002/3/18,3.6,15.5,-1.8
2002/3/19,5.5,12.1,-1.3
2002/3/20,5.8,14.4,-0.1
2002/3/21,7.5,15.4,-2.0
2002/3/22,5.5,8.9,3.1
2002/3/23,2.4,6.9,-0.9
2002/3/24,1.1,5.3,-2.0
2002/3/25,4.1,12.7,-2.3
2002/3/26,9.1,16.9,0.8
2002/3/27,5.9,8.5,1.2
2002/3/28,5.7,13.9,-2.5
2002/3/29,9.2,17.4,3.8
2002/3/30,9.4,14.6,3.2
2002/3/31,8.6,18.0,2.2
