ダウンロードした時刻：2019/10/10 15:58:20

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,13.9,15.9,12.2
1992/12/2,14.9,18.5,12.1
1992/12/3,11.5,14.5,8.2
1992/12/4,10.1,15.3,5.4
1992/12/5,9.9,13.6,6.9
1992/12/6,11.0,15.6,5.5
1992/12/7,13.5,15.2,10.9
1992/12/8,18.1,24.1,11.3
1992/12/9,13.2,18.8,8.0
1992/12/10,12.4,16.9,8.2
1992/12/11,9.9,13.1,5.9
1992/12/12,6.9,12.0,2.2
1992/12/13,8.9,14.4,1.7
1992/12/14,9.7,13.8,5.6
1992/12/15,6.3,10.5,3.8
1992/12/16,6.0,11.4,1.5
1992/12/17,6.6,12.4,0.3
1992/12/18,6.3,12.8,1.1
1992/12/19,6.7,13.1,-0.6
1992/12/20,9.2,15.6,3.3
1992/12/21,10.7,15.5,5.7
1992/12/22,10.2,16.3,5.5
1992/12/23,8.4,12.7,4.2
1992/12/24,5.0,8.5,3.2
1992/12/25,3.6,9.4,-1.4
1992/12/26,5.1,11.6,-1.2
1992/12/27,7.6,14.1,1.3
1992/12/28,10.2,12.9,7.0
1992/12/29,10.7,16.1,5.8
1992/12/30,9.1,15.0,4.0
1992/12/31,7.4,13.0,1.8
1993/1/1,7.4,13.1,2.0
1993/1/2,9.2,15.5,4.6
1993/1/3,9.9,17.5,2.0
1993/1/4,10.8,13.6,6.8
1993/1/5,6.9,11.3,3.3
1993/1/6,8.1,13.6,1.7
1993/1/7,11.9,16.6,8.4
1993/1/8,12.7,16.1,9.2
1993/1/9,8.3,9.6,6.0
1993/1/10,9.3,10.8,7.3
1993/1/11,9.1,11.4,6.6
1993/1/12,8.2,12.4,4.1
1993/1/13,8.5,11.3,4.0
1993/1/14,8.3,9.5,7.5
1993/1/15,7.9,8.8,6.6
1993/1/16,8.2,10.0,6.2
1993/1/17,7.7,14.3,2.8
1993/1/18,4.2,6.3,1.9
1993/1/19,5.6,11.0,0.8
1993/1/20,5.8,12.3,-0.5
1993/1/21,5.3,10.0,-0.2
1993/1/22,5.6,10.7,-0.8
1993/1/23,6.5,9.6,2.0
1993/1/24,7.4,9.2,5.7
1993/1/25,8.9,11.8,6.5
1993/1/26,9.3,13.4,6.5
1993/1/27,8.2,12.8,3.2
1993/1/28,4.9,8.6,2.0
1993/1/29,6.5,12.3,1.9
1993/1/30,5.9,13.0,-0.9
1993/1/31,7.0,13.2,-0.7
1993/2/1,7.8,13.1,3.6
1993/2/2,4.0,9.4,-1.0
1993/2/3,4.6,11.4,-2.1
1993/2/4,8.1,16.0,0.6
1993/2/5,7.4,13.4,2.6
1993/2/6,12.8,21.0,1.2
1993/2/7,16.2,20.8,11.2
1993/2/8,8.1,11.5,3.3
1993/2/9,4.9,10.6,1.1
1993/2/10,5.8,10.9,0.3
1993/2/11,8.1,13.6,1.6
1993/2/12,9.4,13.9,6.7
1993/2/13,8.7,12.9,3.6
1993/2/14,9.9,13.4,4.0
1993/2/15,7.1,12.9,1.3
1993/2/16,9.8,15.0,2.1
1993/2/17,12.7,19.0,8.5
1993/2/18,11.9,16.7,5.2
1993/2/19,9.6,12.9,6.2
1993/2/20,8.3,12.4,2.3
1993/2/21,9.9,14.5,6.0
1993/2/22,14.6,21.0,9.7
1993/2/23,7.8,12.7,3.6
1993/2/24,6.8,12.1,2.6
1993/2/25,5.6,10.6,-1.6
1993/2/26,6.7,11.0,0.7
1993/2/27,9.4,14.9,2.1
1993/2/28,11.3,18.1,7.5
1993/3/1,9.1,13.3,4.9
1993/3/2,6.4,11.4,2.1
1993/3/3,6.5,12.4,-0.7
1993/3/4,8.7,12.7,4.0
1993/3/5,9.4,15.6,2.6
1993/3/6,11.6,19.6,2.4
1993/3/7,11.9,15.1,8.5
1993/3/8,8.2,11.5,4.6
1993/3/9,7.4,11.8,2.5
1993/3/10,9.8,16.4,5.5
1993/3/11,9.6,13.6,4.7
1993/3/12,6.5,9.7,3.7
1993/3/13,6.9,12.3,2.0
1993/3/14,8.5,13.8,1.3
1993/3/15,8.0,10.4,6.0
1993/3/16,7.3,9.9,3.9
1993/3/17,6.8,10.4,2.2
1993/3/18,8.1,11.5,5.3
1993/3/19,7.8,12.2,3.4
1993/3/20,6.9,10.9,4.5
1993/3/21,7.7,12.6,1.9
1993/3/22,10.1,16.9,2.9
1993/3/23,11.6,17.1,5.0
1993/3/24,12.2,19.2,8.4
1993/3/25,16.5,19.9,11.3
1993/3/26,13.4,17.4,9.8
1993/3/27,13.5,18.1,8.2
1993/3/28,11.4,13.6,9.5
1993/3/29,9.6,14.3,3.0
1993/3/30,8.4,13.4,0.6
1993/3/31,11.2,14.0,8.4
