ダウンロードした時刻：2019/10/10 16:22:50

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,13.1,16.8,8.3
1982/12/2,12.9,18.2,6.9
1982/12/3,11.7,15.7,5.5
1982/12/4,11.6,18.8,4.7
1982/12/5,9.0,13.4,4.9
1982/12/6,6.2,8.3,4.2
1982/12/7,7.1,9.2,3.3
1982/12/8,8.1,10.8,2.3
1982/12/9,10.8,14.2,5.1
1982/12/10,15.2,18.2,9.8
1982/12/11,13.1,18.7,8.5
1982/12/12,6.6,8.6,5.2
1982/12/13,6.6,8.2,5.3
1982/12/14,6.9,8.8,5.7
1982/12/15,7.9,9.7,6.4
1982/12/16,7.3,11.5,2.6
1982/12/17,7.0,9.6,4.3
1982/12/18,5.5,6.2,4.7
1982/12/19,7.3,9.8,3.5
1982/12/20,8.6,12.6,4.6
1982/12/21,9.7,14.2,4.3
1982/12/22,11.9,16.2,8.5
1982/12/23,9.7,12.1,4.7
1982/12/24,9.9,16.2,2.1
1982/12/25,10.3,13.2,7.2
1982/12/26,7.8,9.2,6.4
1982/12/27,8.1,9.3,6.3
1982/12/28,6.4,11.2,2.8
1982/12/29,9.8,15.6,2.8
1982/12/30,9.7,13.5,4.1
1982/12/31,5.7,11.6,1.6
1983/1/1,6.4,12.3,1.8
1983/1/2,8.6,9.8,3.3
1983/1/3,9.2,10.9,6.8
1983/1/4,11.7,14.5,5.0
1983/1/5,13.3,15.7,11.4
1983/1/6,13.4,14.9,11.2
1983/1/7,12.8,15.8,9.2
1983/1/8,6.1,12.3,4.1
1983/1/9,3.5,5.7,2.3
1983/1/10,3.7,4.4,2.4
1983/1/11,5.2,8.1,1.1
1983/1/12,6.4,8.4,4.1
1983/1/13,6.4,8.5,4.3
1983/1/14,5.7,8.9,2.6
1983/1/15,7.6,11.0,4.0
1983/1/16,7.5,12.3,2.8
1983/1/17,9.0,11.7,3.3
1983/1/18,8.8,13.3,6.4
1983/1/19,4.8,6.7,1.5
1983/1/20,2.5,3.7,0.8
1983/1/21,2.5,3.8,1.0
1983/1/22,1.8,3.6,0.5
1983/1/23,5.3,7.3,1.7
1983/1/24,6.4,9.3,1.7
1983/1/25,7.0,11.0,1.1
1983/1/26,7.7,12.5,1.9
1983/1/27,6.5,13.3,0.6
1983/1/28,8.4,13.2,3.3
1983/1/29,11.0,17.5,1.9
1983/1/30,12.1,16.5,7.8
1983/1/31,8.9,12.5,3.9
1983/2/1,13.8,16.4,10.5
1983/2/2,12.0,14.7,9.5
1983/2/3,8.6,10.3,7.0
1983/2/4,8.0,10.6,4.8
1983/2/5,7.9,11.5,3.8
1983/2/6,10.1,14.9,4.0
1983/2/7,7.2,9.0,6.1
1983/2/8,6.5,8.7,4.8
1983/2/9,7.2,11.6,1.0
1983/2/10,3.6,6.6,0.5
1983/2/11,5.5,10.3,-1.4
1983/2/12,3.7,6.5,2.1
1983/2/13,2.0,4.0,0.1
1983/2/14,3.9,7.9,-3.0
1983/2/15,7.9,10.9,1.9
1983/2/16,8.3,12.6,0.5
1983/2/17,10.2,13.7,7.5
1983/2/18,2.0,7.7,-1.0
1983/2/19,2.6,4.0,-0.2
1983/2/20,2.4,5.3,0.3
1983/2/21,2.4,6.3,-1.5
1983/2/22,3.9,9.5,-2.6
1983/2/23,7.5,9.0,2.6
1983/2/24,9.5,10.8,8.4
1983/2/25,6.9,9.9,2.1
1983/2/26,6.4,12.0,0.8
1983/2/27,7.5,12.9,0.9
1983/2/28,9.6,13.8,1.5
1983/3/1,16.3,19.0,11.4
1983/3/2,14.9,18.9,10.6
1983/3/3,10.0,11.3,9.2
1983/3/4,8.8,12.5,5.9
1983/3/5,6.1,7.9,3.4
1983/3/6,8.5,11.1,7.0
1983/3/7,8.5,11.7,5.9
1983/3/8,6.5,9.0,3.0
1983/3/9,6.8,11.2,0.3
1983/3/10,10.7,13.7,8.2
1983/3/11,10.5,14.5,4.1
1983/3/12,10.2,12.1,4.9
1983/3/13,9.7,12.6,5.8
1983/3/14,6.7,10.6,2.7
1983/3/15,7.5,12.1,0.9
1983/3/16,10.1,12.1,6.8
1983/3/17,7.0,11.7,4.9
1983/3/18,8.0,11.1,4.6
1983/3/19,9.1,14.6,1.4
1983/3/20,14.7,16.9,9.3
1983/3/21,15.2,17.6,11.5
1983/3/22,14.5,17.3,10.0
1983/3/23,16.3,19.6,11.9
1983/3/24,11.3,12.3,9.4
1983/3/25,11.3,15.1,9.1
1983/3/26,10.7,14.0,7.8
1983/3/27,11.3,16.0,5.7
1983/3/28,13.3,17.0,9.9
1983/3/29,13.4,16.7,10.5
1983/3/30,12.7,16.3,10.6
1983/3/31,11.9,12.9,10.7
