ダウンロードした時刻：2017/07/24 15:38:01

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,0.6,3.3,-2.5
1985/1/2,-0.8,2.9,-3.4
1985/1/3,-0.3,6.2,-5.2
1985/1/4,-0.4,2.5,-2.6
1985/1/5,-2.6,0.0,-4.6
1985/1/6,-3.3,0.3,-6.1
1985/1/7,-2.6,1.6,-5.9
1985/1/8,-2.9,3.3,-8.4
1985/1/9,-0.7,5.9,-6.7
1985/1/10,3.9,10.7,-1.7
1985/1/11,3.0,5.7,0.5
1985/1/12,1.5,3.7,-0.3
1985/1/13,0.4,3.7,-2.2
1985/1/14,-3.4,-0.5,-5.5
1985/1/15,-2.9,0.8,-5.4
1985/1/16,-0.9,1.3,-3.8
1985/1/17,-3.3,-1.0,-5.3
1985/1/18,-2.4,2.2,-7.6
1985/1/19,-2.3,3.2,-7.8
1985/1/20,1.0,9.5,-4.9
1985/1/21,0.4,2.2,-0.4
1985/1/22,3.0,7.1,-3.9
1985/1/23,1.5,4.2,-0.5
1985/1/24,-1.3,1.3,-2.7
1985/1/25,-3.5,-1.0,-6.2
1985/1/26,-3.1,-0.8,-6.5
1985/1/27,-2.2,2.5,-6.8
1985/1/28,0.3,5.4,-3.2
1985/1/29,-1.0,0.7,-3.4
1985/1/30,-3.4,-0.4,-5.5
1985/1/31,0.3,4.7,-6.3
1985/2/1,5.3,9.5,0.2
1985/2/2,0.4,2.7,-3.3
1985/2/3,1.5,7.0,-3.8
1985/2/4,3.2,8.4,-1.9
1985/2/5,2.9,6.5,-0.9
1985/2/6,4.4,9.9,0.7
1985/2/7,3.4,10.1,-1.6
1985/2/8,2.3,4.9,-0.6
1985/2/9,1.6,6.3,0.4
1985/2/10,6.5,12.9,2.5
1985/2/11,2.9,4.7,2.1
1985/2/12,4.3,8.6,0.4
1985/2/13,2.9,8.9,-1.2
1985/2/14,0.1,3.0,-2.6
1985/2/15,0.5,2.8,-2.3
1985/2/16,3.8,7.6,0.7
1985/2/17,3.7,6.7,1.2
1985/2/18,4.4,8.1,0.8
1985/2/19,2.2,5.7,0.2
1985/2/20,2.9,6.9,0.5
1985/2/21,3.2,7.5,-1.1
1985/2/22,-0.5,1.7,-2.4
1985/2/23,0.9,3.9,-1.4
1985/2/24,1.3,3.8,-1.9
1985/2/25,1.7,5.1,-1.4
1985/2/26,1.9,5.5,-1.9
1985/2/27,2.0,6.1,-0.5
1985/2/28,-0.1,1.7,-1.2
1985/3/1,1.6,3.9,-0.5
1985/3/2,4.3,8.9,0.7
1985/3/3,3.0,7.8,0.7
1985/3/4,2.4,6.4,-0.2
1985/3/5,4.0,9.4,-0.8
1985/3/6,1.7,5.7,-1.1
1985/3/7,3.4,10.2,-1.5
1985/3/8,5.5,9.8,1.8
1985/3/9,6.4,10.6,3.3
1985/3/10,1.2,4.0,-1.6
1985/3/11,-1.4,-0.7,-2.1
1985/3/12,2.8,7.1,-3.0
1985/3/13,3.5,9.4,-1.6
1985/3/14,1.0,3.0,0.1
1985/3/15,2.0,5.7,-1.1
1985/3/16,1.4,8.1,-4.9
1985/3/17,4.0,8.6,-1.1
1985/3/18,8.1,13.5,3.0
1985/3/19,2.7,4.6,0.9
1985/3/20,6.1,11.7,1.4
1985/3/21,5.2,7.0,2.9
1985/3/22,6.0,10.4,1.3
1985/3/23,3.7,11.6,-1.7
1985/3/24,3.9,11.8,-2.6
1985/3/25,7.8,14.5,-1.1
1985/3/26,9.8,14.5,3.2
1985/3/27,1.7,4.8,0.5
1985/3/28,7.4,12.5,1.2
1985/3/29,7.7,10.8,5.3
1985/3/30,5.7,9.1,1.7
1985/3/31,4.8,10.8,0.4
1985/4/1,5.9,9.9,2.4
1985/4/2,9.2,17.0,-0.8
1985/4/3,13.5,19.6,4.8
1985/4/4,13.6,16.9,11.3
1985/4/5,11.4,14.9,9.3
1985/4/6,11.4,15.8,7.9
1985/4/7,9.7,13.6,6.5
1985/4/8,11.2,13.3,9.0
1985/4/9,14.2,22.1,7.8
1985/4/10,10.7,21.1,6.3
1985/4/11,9.9,14.9,7.4
1985/4/12,5.0,7.8,4.0
1985/4/13,6.1,7.7,3.8
1985/4/14,7.4,13.6,4.4
1985/4/15,6.5,8.8,4.8
1985/4/16,10.4,16.2,6.0
1985/4/17,11.1,16.0,7.3
1985/4/18,9.6,12.8,7.0
1985/4/19,11.0,16.5,4.2
1985/4/20,12.7,15.8,9.7
1985/4/21,13.6,21.0,9.3
1985/4/22,12.4,18.3,9.0
1985/4/23,13.0,15.4,11.1
1985/4/24,12.0,16.9,9.0
1985/4/25,14.4,20.5,10.3
1985/4/26,17.4,24.5,8.3
1985/4/27,13.4,17.5,7.7
1985/4/28,12.0,19.9,4.8
1985/4/29,14.3,23.7,5.6
1985/4/30,16.1,25.3,8.2
1985/5/1,18.2,28.3,7.8
