ダウンロードした時刻：2017/07/24 15:37:04

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,1.5,6.7,-1.8
1982/1/2,-0.7,1.6,-2.3
1982/1/3,-0.1,3.6,-2.0
1982/1/4,3.7,7.8,-2.4
1982/1/5,4.1,6.4,1.7
1982/1/6,0.3,2.9,-1.2
1982/1/7,-2.2,-0.6,-4.1
1982/1/8,-1.6,0.2,-3.2
1982/1/9,0.8,1.7,-0.3
1982/1/10,1.3,2.9,-0.5
1982/1/11,1.4,4.8,-2.4
1982/1/12,2.2,6.2,-2.0
1982/1/13,-3.0,-1.4,-4.2
1982/1/14,-3.0,-1.3,-4.2
1982/1/15,-2.0,-0.6,-3.9
1982/1/16,-4.1,-0.9,-6.5
1982/1/17,-2.9,-0.2,-7.2
1982/1/18,-0.7,1.7,-4.1
1982/1/19,-1.1,1.8,-4.9
1982/1/20,-1.3,2.0,-4.9
1982/1/21,3.6,6.4,1.1
1982/1/22,0.9,2.9,-1.4
1982/1/23,-0.5,1.7,-2.4
1982/1/24,1.7,3.6,-0.5
1982/1/25,1.0,4.3,-0.6
1982/1/26,-0.7,1.4,-2.1
1982/1/27,0.1,4.0,-4.8
1982/1/28,-0.2,2.2,-2.3
1982/1/29,-0.1,1.6,-2.0
1982/1/30,-3.1,-1.2,-4.2
1982/1/31,-0.2,2.8,-3.1
1982/2/1,-2.6,-0.5,-4.4
1982/2/2,-2.4,-0.4,-5.0
1982/2/3,0.4,2.9,-3.1
1982/2/4,-3.1,0.7,-5.4
1982/2/5,-4.6,-2.4,-5.3
1982/2/6,-3.7,-1.7,-6.6
1982/2/7,-5.0,-2.6,-6.4
1982/2/8,-5.3,-3.9,-6.6
1982/2/9,-4.3,-2.4,-6.2
1982/2/10,-2.6,-1.2,-5.2
1982/2/11,0.1,2.1,-3.0
1982/2/12,0.4,3.0,-2.9
1982/2/13,-1.2,3.0,-3.8
1982/2/14,-1.2,1.7,-5.4
1982/2/15,-0.3,1.7,-3.6
1982/2/16,0.3,2.9,-1.7
1982/2/17,-0.7,3.4,-3.7
1982/2/18,-0.1,3.6,-4.2
1982/2/19,1.1,5.1,-4.1
1982/2/20,4.1,5.2,3.0
1982/2/21,3.3,5.8,-0.4
1982/2/22,1.1,3.8,-1.8
1982/2/23,0.4,2.1,-1.1
1982/2/24,-1.0,3.2,-2.6
1982/2/25,-3.1,-0.3,-4.7
1982/2/26,-2.6,-0.2,-4.4
1982/2/27,2.8,5.4,-0.7
1982/2/28,2.9,7.9,-0.1
1982/3/1,2.1,4.6,-0.6
1982/3/2,1.0,4.1,-2.4
1982/3/3,1.9,4.1,-2.4
1982/3/4,5.6,8.1,1.0
1982/3/5,4.8,7.8,3.1
1982/3/6,1.1,4.3,-1.5
1982/3/7,-1.2,0.6,-2.8
1982/3/8,0.4,3.8,-1.2
1982/3/9,0.7,5.8,-3.0
1982/3/10,3.7,9.3,-4.6
1982/3/11,3.6,8.1,-0.8
1982/3/12,5.6,13.2,-2.2
1982/3/13,3.6,9.4,-0.5
1982/3/14,2.8,7.6,-3.5
1982/3/15,6.7,10.3,1.3
1982/3/16,6.6,10.3,3.1
1982/3/17,3.4,5.7,2.0
1982/3/18,2.5,5.5,-0.2
1982/3/19,3.6,7.4,0.2
1982/3/20,4.1,8.2,-0.8
1982/3/21,4.8,7.9,1.8
1982/3/22,4.0,9.1,-1.3
1982/3/23,7.3,12.6,-0.3
1982/3/24,2.1,8.0,-1.2
1982/3/25,1.9,4.9,-1.1
1982/3/26,0.8,2.8,-1.3
1982/3/27,1.7,4.0,-0.5
1982/3/28,3.8,7.4,0.1
1982/3/29,4.2,9.5,-1.5
1982/3/30,8.7,16.0,0.5
1982/3/31,7.3,9.0,5.8
1982/4/1,5.6,9.4,1.1
1982/4/2,8.0,14.6,0.0
1982/4/3,5.4,7.6,3.5
1982/4/4,4.6,7.6,0.5
1982/4/5,7.2,11.1,0.4
1982/4/6,7.6,14.0,0.5
1982/4/7,11.0,18.3,2.5
1982/4/8,10.9,15.4,8.1
1982/4/9,11.5,16.6,6.3
1982/4/10,5.3,10.1,2.5
1982/4/11,5.6,9.6,1.1
1982/4/12,7.2,12.8,-0.3
1982/4/13,12.1,17.9,6.4
1982/4/14,14.1,19.5,9.3
1982/4/15,11.7,13.0,10.2
1982/4/16,9.6,12.1,8.3
1982/4/17,7.0,10.2,4.0
1982/4/18,6.7,8.7,4.7
1982/4/19,8.7,10.7,6.7
1982/4/20,9.6,13.6,6.9
1982/4/21,8.0,11.5,5.2
1982/4/22,9.4,15.5,2.5
1982/4/23,9.4,13.9,3.7
1982/4/24,13.3,19.2,7.1
1982/4/25,11.3,14.4,8.3
1982/4/26,13.3,19.1,7.2
1982/4/27,14.3,22.6,6.1
1982/4/28,12.8,20.4,6.9
1982/4/29,15.0,22.4,10.5
1982/4/30,13.4,15.8,10.0
1982/5/1,14.6,16.9,13.4
