ダウンロードした時刻：2019/10/10 16:12:12

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,9.4,14.6,4.1
2013/12/2,10.2,14.7,6.1
2013/12/3,10.1,14.7,5.7
2013/12/4,9.9,14.3,5.8
2013/12/5,10.5,14.7,6.0
2013/12/6,11.4,15.6,7.4
2013/12/7,10.3,13.9,6.9
2013/12/8,8.8,12.1,5.9
2013/12/9,9.0,13.4,3.7
2013/12/10,10.5,13.8,7.9
2013/12/11,8.4,12.3,5.5
2013/12/12,6.4,9.0,3.4
2013/12/13,5.9,10.5,2.6
2013/12/14,6.1,8.9,4.0
2013/12/15,7.5,10.4,5.5
2013/12/16,7.3,9.8,5.4
2013/12/17,8.4,10.8,6.7
2013/12/18,6.9,8.0,5.4
2013/12/19,8.4,10.3,7.0
2013/12/20,6.3,8.6,2.7
2013/12/21,6.6,7.9,5.3
2013/12/22,6.2,8.7,5.0
2013/12/23,7.2,10.4,4.3
2013/12/24,6.8,10.0,5.5
2013/12/25,7.5,10.5,5.4
2013/12/26,6.8,9.1,5.2
2013/12/27,6.3,9.2,3.3
2013/12/28,4.3,7.6,2.4
2013/12/29,4.4,7.7,0.5
2013/12/30,5.7,9.2,0.8
2013/12/31,8.3,11.6,4.7
2014/1/1,9.9,13.0,6.2
2014/1/2,8.3,12.1,4.5
2014/1/3,6.7,11.4,2.2
2014/1/4,5.9,9.4,3.6
2014/1/5,4.3,7.8,1.6
2014/1/6,4.5,9.6,1.0
2014/1/7,5.9,10.7,0.4
2014/1/8,6.7,7.6,5.2
2014/1/9,6.4,10.7,1.8
2014/1/10,3.4,6.9,0.2
2014/1/11,4.7,9.5,0.3
2014/1/12,4.7,8.0,0.3
2014/1/13,4.3,7.2,1.1
2014/1/14,3.4,7.4,-0.5
2014/1/15,5.1,9.6,1.1
2014/1/16,5.8,9.7,1.1
2014/1/17,5.4,10.0,2.1
2014/1/18,4.7,8.4,1.8
2014/1/19,2.7,5.7,0.7
2014/1/20,4.3,8.0,-0.5
2014/1/21,6.4,10.0,4.7
2014/1/22,4.3,7.3,2.0
2014/1/23,5.2,9.3,1.4
2014/1/24,6.2,12.0,0.4
2014/1/25,9.4,15.0,4.1
2014/1/26,7.6,10.9,2.6
2014/1/27,4.6,8.2,2.0
2014/1/28,6.6,11.4,0.4
2014/1/29,8.3,13.1,4.4
2014/1/30,7.8,11.3,5.1
2014/1/31,10.2,13.8,6.3
2014/2/1,9.0,14.8,3.7
2014/2/2,12.0,16.7,9.0
2014/2/3,11.9,16.3,8.5
2014/2/4,5.8,9.6,1.4
2014/2/5,2.3,5.9,0.3
2014/2/6,1.6,3.9,-0.4
2014/2/7,3.0,6.4,0.3
2014/2/8,3.0,5.1,0.2
2014/2/9,5.2,9.6,2.4
2014/2/10,3.3,6.2,1.5
2014/2/11,2.6,6.7,0.4
2014/2/12,4.3,9.6,-0.1
2014/2/13,4.9,8.9,3.0
2014/2/14,1.7,3.6,0.3
2014/2/15,5.1,8.1,1.0
2014/2/16,6.4,10.7,3.3
2014/2/17,5.3,11.3,1.2
2014/2/18,3.7,6.6,2.3
2014/2/19,4.0,7.4,2.5
2014/2/20,4.5,9.3,1.2
2014/2/21,4.0,8.3,0.3
2014/2/22,4.4,8.8,1.5
2014/2/23,5.0,10.6,0.0
2014/2/24,6.1,11.5,0.9
2014/2/25,8.3,13.3,3.5
2014/2/26,9.8,15.1,3.4
2014/2/27,11.6,14.0,9.6
2014/2/28,12.2,15.8,9.0
2014/3/1,9.6,12.5,8.3
2014/3/2,9.1,12.4,7.0
2014/3/3,7.0,10.7,3.4
2014/3/4,7.6,14.4,0.9
2014/3/5,8.2,10.4,4.1
2014/3/6,3.9,8.2,1.9
2014/3/7,4.5,8.6,0.2
2014/3/8,5.3,9.3,2.3
2014/3/9,6.5,10.2,3.2
2014/3/10,4.0,8.1,1.5
2014/3/11,6.5,10.5,0.9
2014/3/12,10.7,16.6,3.5
2014/3/13,9.9,12.6,7.4
2014/3/14,6.5,10.8,3.9
2014/3/15,7.0,11.2,3.5
2014/3/16,10.7,15.7,3.8
2014/3/17,13.1,19.1,7.3
2014/3/18,13.4,17.5,9.8
2014/3/19,11.7,17.5,7.4
2014/3/20,10.2,12.3,7.7
2014/3/21,6.8,10.4,4.5
2014/3/22,8.0,11.9,4.7
2014/3/23,10.5,15.3,4.5
2014/3/24,13.2,18.7,6.5
2014/3/25,16.1,18.8,12.5
2014/3/26,13.3,16.5,12.1
2014/3/27,13.9,17.0,10.0
2014/3/28,14.2,21.5,7.4
2014/3/29,16.3,21.5,12.1
2014/3/30,14.8,17.1,13.2
2014/3/31,13.3,18.1,10.5
