ダウンロードした時刻：2017/07/24 15:39:01

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,5.1,11.8,-1.8
1988/1/2,7.6,9.5,5.1
1988/1/3,4.3,7.3,1.1
1988/1/4,4.6,9.2,-0.3
1988/1/5,1.4,4.0,-0.1
1988/1/6,1.0,4.8,-1.8
1988/1/7,4.1,9.6,-3.5
1988/1/8,7.3,10.9,5.2
1988/1/9,2.3,6.1,-0.2
1988/1/10,-0.6,0.3,-1.1
1988/1/11,0.6,2.1,-2.0
1988/1/12,2.9,6.0,0.9
1988/1/13,4.6,9.2,-0.3
1988/1/14,6.1,13.6,1.7
1988/1/15,6.3,8.3,4.2
1988/1/16,5.2,12.7,1.1
1988/1/17,4.0,7.8,1.2
1988/1/18,1.8,4.4,-0.5
1988/1/19,1.7,6.1,-1.0
1988/1/20,5.4,13.4,-1.3
1988/1/21,7.7,15.1,0.2
1988/1/22,11.7,15.9,9.3
1988/1/23,2.9,12.2,-0.6
1988/1/24,-0.1,1.5,-1.1
1988/1/25,1.5,4.0,-0.2
1988/1/26,1.6,2.5,0.6
1988/1/27,1.9,5.1,0.5
1988/1/28,2.7,4.6,0.5
1988/1/29,5.5,11.6,1.9
1988/1/30,3.3,5.7,0.5
1988/1/31,1.8,4.9,0.5
1988/2/1,3.2,6.7,0.4
1988/2/2,3.1,7.4,-1.9
1988/2/3,-3.1,-1.8,-3.8
1988/2/4,1.6,5.0,-3.1
1988/2/5,7.6,9.9,4.8
1988/2/6,3.8,8.5,1.0
1988/2/7,-1.4,1.9,-2.4
1988/2/8,-0.5,1.8,-1.9
1988/2/9,0.4,2.4,-1.7
1988/2/10,-0.6,1.2,-2.0
1988/2/11,-0.3,2.5,-2.3
1988/2/12,1.3,5.3,-2.3
1988/2/13,1.8,5.0,-0.7
1988/2/14,0.2,2.3,-1.5
1988/2/15,-0.6,2.6,-2.0
1988/2/16,-1.1,1.1,-2.3
1988/2/17,-1.1,1.1,-3.0
1988/2/18,-1.0,3.7,-4.9
1988/2/19,0.5,3.9,-2.3
1988/2/20,1.6,4.0,0.1
1988/2/21,-0.4,2.3,-2.4
1988/2/22,0.7,7.1,-4.9
1988/2/23,5.3,8.3,2.3
1988/2/24,2.9,4.7,1.4
1988/2/25,2.4,4.8,-0.2
1988/2/26,3.8,7.1,0.0
1988/2/27,3.2,5.7,0.6
1988/2/28,2.8,6.9,-0.4
1988/2/29,3.4,6.3,-1.4
1988/3/1,4.2,5.4,2.6
1988/3/2,6.0,9.1,4.3
1988/3/3,1.6,4.8,-1.1
1988/3/4,1.1,5.4,-2.7
1988/3/5,3.7,8.0,-0.1
1988/3/6,3.1,5.2,0.1
1988/3/7,0.4,4.5,-1.1
1988/3/8,0.6,4.7,-1.2
1988/3/9,1.0,3.7,-1.7
1988/3/10,4.4,9.5,0.6
1988/3/11,10.5,14.6,2.7
1988/3/12,8.3,13.4,3.2
1988/3/13,8.9,16.1,2.3
1988/3/14,10.3,15.3,5.1
1988/3/15,3.1,8.5,-1.0
1988/3/16,1.5,4.4,-2.2
1988/3/17,2.3,5.6,0.2
1988/3/18,5.3,8.3,2.8
1988/3/19,6.9,12.2,0.8
1988/3/20,5.0,7.6,3.0
1988/3/21,5.2,7.4,2.2
1988/3/22,8.1,10.5,5.2
1988/3/23,6.9,9.2,4.7
1988/3/24,4.0,7.3,0.8
1988/3/25,5.1,8.6,1.5
1988/3/26,4.8,6.3,3.9
1988/3/27,4.9,8.0,1.8
1988/3/28,6.6,13.0,-0.8
1988/3/29,7.5,10.4,4.4
1988/3/30,8.3,9.9,6.8
1988/3/31,6.9,8.9,5.2
1988/4/1,7.1,10.8,2.2
1988/4/2,7.7,11.5,2.9
1988/4/3,8.3,11.9,4.8
1988/4/4,8.4,12.0,4.5
1988/4/5,10.3,17.8,3.5
1988/4/6,7.6,12.3,5.5
1988/4/7,5.7,8.7,3.7
1988/4/8,3.9,5.4,2.2
1988/4/9,5.8,10.7,1.4
1988/4/10,8.4,15.0,1.2
1988/4/11,12.5,20.0,4.5
1988/4/12,15.8,18.9,13.3
1988/4/13,12.2,15.9,8.4
1988/4/14,11.2,19.2,6.1
1988/4/15,9.9,15.8,5.1
1988/4/16,10.3,16.4,4.8
1988/4/17,11.8,18.5,4.4
1988/4/18,14.8,21.4,10.6
1988/4/19,12.0,18.6,7.3
1988/4/20,13.7,19.3,10.1
1988/4/21,11.1,13.3,9.9
1988/4/22,11.3,13.2,9.1
1988/4/23,11.2,16.5,5.3
1988/4/24,9.0,14.0,5.4
1988/4/25,13.7,19.9,6.2
1988/4/26,16.1,21.1,10.9
1988/4/27,17.3,23.5,9.7
1988/4/28,16.4,22.5,9.6
1988/4/29,15.4,20.0,12.8
1988/4/30,17.3,23.0,13.6
1988/5/1,23.1,31.2,16.2
