É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:48:03

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2018/12/1,9.5,17.6,4.6
2018/12/2,8.1,12.6,2.3
2018/12/3,11.0,14.9,7.2
2018/12/4,14.0,18.9,8.7
2018/12/5,13.9,20.5,9.4
2018/12/6,8.1,9.5,6.9
2018/12/7,9.0,13.0,5.3
2018/12/8,6.9,10.5,2.9
2018/12/9,3.4,7.5,-0.6
2018/12/10,1.8,7.7,-2.9
2018/12/11,3.3,8.7,-2.2
2018/12/12,5.9,10.5,1.9
2018/12/13,3.9,10.0,-1.4
2018/12/14,3.0,9.3,-0.9
2018/12/15,2.1,8.3,-1.8
2018/12/16,1.6,6.0,-3.9
2018/12/17,6.8,15.2,0.4
2018/12/18,6.1,12.4,0.7
2018/12/19,5.2,12.1,-1.1
2018/12/20,5.3,12.8,-0.3
2018/12/21,5.3,12.0,-0.8
2018/12/22,8.8,15.6,3.4
2018/12/23,7.7,10.7,4.5
2018/12/24,5.4,10.3,-0.8
2018/12/25,1.8,7.8,-4.0
2018/12/26,4.3,11.8,-2.2
2018/12/27,5.5,13.7,-0.3
2018/12/28,1.7,6.2,-2.0
2018/12/29,0.6,6.4,-3.3
2018/12/30,0.5,6.3,-3.5
2018/12/31,0.8,7.7,-4.7
2019/1/1,2.4,10.0,-4.4
2019/1/2,3.9,10.6,-1.9
2019/1/3,1.8,8.9,-3.1
2019/1/4,1.8,9.0,-4.6
2019/1/5,4.2,14.3,-2.9
2019/1/6,2.3,7.7,-2.7
2019/1/7,1.9,9.6,-3.7
2019/1/8,2.8,9.1,-3.3
2019/1/9,2.9,7.2,-2.7
2019/1/10,-0.3,5.3,-5.3
2019/1/11,3.2,11.9,-3.4
2019/1/12,3.5,8.4,-2.7
2019/1/13,5.0,10.7,-0.6
2019/1/14,2.9,10.0,-2.9
2019/1/15,2.3,6.6,-2.6
2019/1/16,4.1,11.1,-0.6
2019/1/17,4.4,11.8,-3.2
2019/1/18,3.1,9.0,-1.4
2019/1/19,3.3,10.7,-3.3
2019/1/20,4.7,11.5,-2.5
2019/1/21,3.2,9.6,-2.4
2019/1/22,2.4,10.1,-2.9
2019/1/23,2.7,9.8,-4.5
2019/1/24,3.0,9.5,-1.9
2019/1/25,2.3,8.9,-4.1
2019/1/26,2.8,9.1,-1.3
2019/1/27,2.2,8.7,-2.8
2019/1/28,3.4,10.0,-2.0
2019/1/29,3.7,9.5,-1.8
2019/1/30,2.6,9.8,-3.8
2019/1/31,3.3,9.8,-1.9
2019/2/1,2.0,7.9,-1.7
2019/2/2,3.8,13.9,-4.1
2019/2/3,6.6,14.1,-0.9
2019/2/4,8.6,17.6,3.1
2019/2/5,4.8,9.4,1.9
2019/2/6,5.9,9.4,2.0
2019/2/7,6.7,13.8,-0.5
2019/2/8,3.3,7.5,-0.7
2019/2/9,-0.5,0.4,-1.0
2019/2/10,0.4,5.7,-4.3
2019/2/11,0.9,3.1,-2.7
2019/2/12,2.8,10.4,-2.6
2019/2/13,3.2,10.1,-2.2
2019/2/14,2.4,8.1,-1.9
2019/2/15,0.9,6.5,-4.2
2019/2/16,4.7,14.8,-2.0
2019/2/17,3.7,10.7,-2.8
2019/2/18,5.2,13.5,-3.2
2019/2/19,6.6,10.3,4.2
2019/2/20,9.4,18.8,2.1
2019/2/21,7.8,14.5,2.5
2019/2/22,6.8,13.7,-0.3
2019/2/23,6.4,13.0,0.6
2019/2/24,5.6,12.4,-1.4
2019/2/25,8.7,17.4,1.1
2019/2/26,8.6,13.2,4.2
2019/2/27,5.9,9.8,0.4
2019/2/28,6.5,7.7,5.6
2019/3/1,8.1,13.5,4.6
2019/3/2,6.9,13.8,0.5
2019/3/3,5.6,7.6,2.4
2019/3/4,6.8,9.0,4.1
2019/3/5,8.3,15.1,2.6
2019/3/6,10.1,14.0,6.8
2019/3/7,7.6,9.6,4.2
2019/3/8,5.6,11.7,0.5
2019/3/9,6.9,14.4,-1.3
2019/3/10,10.1,16.4,2.6
2019/3/11,10.2,14.3,5.4
2019/3/12,9.8,17.3,1.9
2019/3/13,9.0,17.9,3.4
2019/3/14,6.4,12.3,0.3
2019/3/15,7.0,13.6,-0.9
2019/3/16,7.3,13.9,2.7
2019/3/17,5.6,11.9,-1.0
2019/3/18,7.0,14.0,-0.7
2019/3/19,11.2,18.0,4.3
2019/3/20,13.1,21.0,4.2
2019/3/21,14.9,21.7,9.5
2019/3/22,14.2,24.1,7.2
2019/3/23,5.4,8.1,2.0
2019/3/24,5.2,13.2,-1.1
2019/3/25,8.4,14.8,1.2
2019/3/26,11.1,17.0,4.6
2019/3/27,13.4,20.5,4.3
2019/3/28,11.4,17.2,5.1
2019/3/29,6.0,9.8,3.5
2019/3/30,6.5,8.5,5.2
2019/3/31,7.4,14.3,3.4
