ダウンロードした時刻：2017/07/24 15:37:44

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,-2.1,-0.1,-5.1
1995/1/2,0.0,3.2,-5.2
1995/1/3,2.4,6.0,-1.9
1995/1/4,2.8,4.4,1.5
1995/1/5,2.7,5.1,0.4
1995/1/6,-1.1,0.9,-3.2
1995/1/7,2.0,3.9,-0.8
1995/1/8,2.7,7.8,-1.8
1995/1/9,2.9,10.9,-3.8
1995/1/10,0.3,5.2,-2.6
1995/1/11,-1.8,0.6,-3.7
1995/1/12,-2.5,0.5,-5.0
1995/1/13,-2.8,-0.3,-4.7
1995/1/14,-4.0,-1.4,-6.8
1995/1/15,-3.9,-2.8,-4.7
1995/1/16,-3.9,-1.0,-6.7
1995/1/17,-4.8,-0.2,-10.2
1995/1/18,-0.9,3.1,-5.2
1995/1/19,-2.2,-0.9,-4.1
1995/1/20,0.1,3.8,-2.4
1995/1/21,-1.2,1.9,-5.9
1995/1/22,0.5,2.9,-0.7
1995/1/23,2.3,4.5,0.7
1995/1/24,1.6,4.9,-0.1
1995/1/25,-0.2,3.3,-2.1
1995/1/26,0.1,4.0,-2.5
1995/1/27,-2.7,0.7,-6.2
1995/1/28,-2.7,1.1,-6.6
1995/1/29,-2.4,2.2,-5.9
1995/1/30,-2.5,-0.1,-4.7
1995/1/31,-2.7,-0.6,-5.2
1995/2/1,-0.3,2.2,-3.2
1995/2/2,-1.3,1.7,-4.0
1995/2/3,-1.1,4.5,-4.2
1995/2/4,-1.1,4.0,-4.4
1995/2/5,-4.4,-0.3,-7.2
1995/2/6,-3.8,4.1,-10.1
1995/2/7,0.3,3.4,-3.3
1995/2/8,2.6,8.0,-1.8
1995/2/9,0.0,3.7,-4.0
1995/2/10,-0.9,2.9,-3.3
1995/2/11,0.1,6.1,-5.2
1995/2/12,1.1,7.7,-5.2
1995/2/13,2.1,5.0,0.4
1995/2/14,1.2,4.4,-2.6
1995/2/15,-1.2,2.2,-5.3
1995/2/16,0.4,7.2,-2.6
1995/2/17,-1.5,2.9,-3.8
1995/2/18,0.3,4.5,-2.5
1995/2/19,1.0,3.8,-0.7
1995/2/20,0.7,4.5,-2.1
1995/2/21,0.1,4.2,-3.8
1995/2/22,0.9,4.8,-2.6
1995/2/23,1.9,7.3,-3.1
1995/2/24,1.4,5.2,-1.3
1995/2/25,0.5,4.7,-3.5
1995/2/26,1.3,6.1,-4.5
1995/2/27,2.4,7.8,-0.7
1995/2/28,1.7,5.9,-2.6
1995/3/1,2.6,6.8,-1.0
1995/3/2,0.9,4.4,-2.2
1995/3/3,0.1,4.4,-3.6
1995/3/4,-0.4,1.3,-1.8
1995/3/5,-0.1,4.0,-2.8
1995/3/6,0.9,4.3,-1.8
1995/3/7,3.2,8.0,-1.5
1995/3/8,1.9,5.4,0.5
1995/3/9,3.3,8.4,-0.7
1995/3/10,1.6,7.2,-2.9
1995/3/11,0.8,1.7,0.2
1995/3/12,2.2,5.3,0.5
1995/3/13,2.9,6.2,-0.2
1995/3/14,4.0,7.3,1.4
1995/3/15,4.9,10.2,0.9
1995/3/16,5.9,11.9,-1.8
1995/3/17,10.4,20.5,3.5
1995/3/18,2.5,5.4,0.4
1995/3/19,3.2,9.4,-2.5
1995/3/20,5.8,11.9,-0.1
1995/3/21,9.1,17.2,1.1
1995/3/22,5.5,10.9,0.8
1995/3/23,5.0,11.8,-0.2
1995/3/24,4.9,6.9,3.2
1995/3/25,1.6,3.3,0.2
1995/3/26,1.0,3.4,-0.7
1995/3/27,3.5,9.9,-2.8
1995/3/28,3.9,8.2,0.5
1995/3/29,5.1,12.9,-1.4
1995/3/30,6.7,11.7,1.4
1995/3/31,9.1,12.6,6.0
1995/4/1,5.4,10.9,1.6
1995/4/2,4.9,9.4,1.3
1995/4/3,3.2,6.9,-0.5
1995/4/4,8.0,13.3,3.4
1995/4/5,9.3,18.7,1.2
1995/4/6,11.8,19.8,2.7
1995/4/7,10.8,13.8,7.0
1995/4/8,10.2,19.8,1.6
1995/4/9,11.9,20.1,4.7
1995/4/10,7.4,12.6,2.9
1995/4/11,6.3,13.4,0.7
1995/4/12,5.3,9.6,2.6
1995/4/13,6.4,11.6,1.4
1995/4/14,8.5,14.2,2.8
1995/4/15,10.8,16.6,6.8
1995/4/16,9.2,14.4,3.7
1995/4/17,11.3,17.7,5.6
1995/4/18,11.6,20.9,2.6
1995/4/19,11.3,19.3,4.4
1995/4/20,7.9,13.1,3.4
1995/4/21,11.8,21.4,1.0
1995/4/22,13.5,19.8,8.5
1995/4/23,14.9,21.2,11.9
1995/4/24,12.9,18.0,8.1
1995/4/25,14.5,20.0,9.5
1995/4/26,12.0,16.0,8.0
1995/4/27,13.6,19.8,8.1
1995/4/28,15.5,25.1,8.6
1995/4/29,15.5,23.2,9.1
1995/4/30,15.7,20.2,12.4
1995/5/1,15.5,20.8,12.6
