ダウンロードした時刻：2019/10/10 15:34:18

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,-0.7,4.1,-3.0
1983/12/2,6.6,10.2,0.5
1983/12/3,-2.2,6.3,-4.8
1983/12/4,-3.3,-1.5,-5.3
1983/12/5,-0.9,2.6,-3.6
1983/12/6,-0.6,4.0,-6.6
1983/12/7,1.5,4.0,-3.9
1983/12/8,3.1,5.2,1.3
1983/12/9,1.1,4.3,-1.4
1983/12/10,3.0,6.3,-3.1
1983/12/11,5.4,10.1,2.6
1983/12/12,-0.1,3.7,-2.2
1983/12/13,0.8,3.0,-1.5
1983/12/14,-3.8,0.1,-6.3
1983/12/15,-5.5,-2.2,-9.1
1983/12/16,-7.3,-5.0,-9.6
1983/12/17,-7.8,-4.2,-11.5
1983/12/18,-6.4,-2.4,-12.3
1983/12/19,-4.4,-1.0,-7.9
1983/12/20,-2.5,1.3,-9.5
1983/12/21,2.8,4.8,-1.5
1983/12/22,3.5,6.7,1.1
1983/12/23,0.2,1.5,-2.3
1983/12/24,-4.2,-1.4,-8.5
1983/12/25,0.1,1.9,-7.7
1983/12/26,0.4,2.4,-2.4
1983/12/27,-1.0,2.2,-3.5
1983/12/28,-1.4,2.1,-4.5
1983/12/29,-3.1,1.5,-7.5
1983/12/30,-2.3,3.0,-6.2
1983/12/31,-3.1,1.9,-8.7
1984/1/1,-2.3,0.7,-5.1
1984/1/2,-2.8,0.7,-7.8
1984/1/3,-3.2,2.4,-9.5
1984/1/4,-1.2,2.6,-6.8
1984/1/5,-4.7,0.5,-9.1
1984/1/6,-6.8,-3.7,-11.1
1984/1/7,-6.9,-0.9,-12.2
1984/1/8,-5.2,0.3,-11.4
1984/1/9,-2.7,1.2,-6.4
1984/1/10,-2.1,0.2,-3.9
1984/1/11,-5.4,-2.3,-8.6
1984/1/12,-6.5,-2.7,-12.6
1984/1/13,-5.5,-2.5,-8.5
1984/1/14,-3.3,0.5,-7.6
1984/1/15,-1.9,3.6,-7.5
1984/1/16,-9.0,-7.2,-10.1
1984/1/17,-8.2,-6.1,-12.1
1984/1/18,-7.0,-4.4,-8.1
1984/1/19,-7.4,-3.3,-11.0
1984/1/20,-7.7,-3.4,-14.2
1984/1/21,-5.3,-0.7,-10.3
1984/1/22,-0.7,1.9,-10.0
1984/1/23,-1.0,2.8,-4.7
1984/1/24,-2.2,1.6,-5.4
1984/1/25,-4.7,1.0,-9.0
1984/1/26,-4.1,1.8,-11.0
1984/1/27,-2.6,0.4,-5.6
1984/1/28,-5.2,-0.1,-9.5
1984/1/29,-3.9,0.9,-11.4
1984/1/30,-3.0,0.7,-6.6
1984/1/31,-2.7,0.5,-6.8
1984/2/1,-3.8,1.1,-8.9
1984/2/2,-4.8,-1.2,-10.0
1984/2/3,-8.7,-3.6,-13.8
1984/2/4,-8.8,-6.2,-12.5
1984/2/5,-8.2,-6.2,-10.0
1984/2/6,-10.7,-9.0,-11.7
1984/2/7,-9.3,-5.8,-13.9
1984/2/8,-7.5,-0.7,-13.0
1984/2/9,-5.0,0.3,-9.7
1984/2/10,-2.1,1.9,-7.9
1984/2/11,-3.6,0.8,-7.5
1984/2/12,-3.8,0.7,-8.9
1984/2/13,-2.5,0.6,-4.6
1984/2/14,-3.6,-0.1,-7.8
1984/2/15,-6.0,-2.5,-9.7
1984/2/16,-7.9,-3.3,-12.2
1984/2/17,-8.2,-2.8,-13.1
1984/2/18,-8.1,-1.5,-14.7
1984/2/19,-7.0,-2.2,-12.5
1984/2/20,-5.2,-0.8,-11.4
1984/2/21,-2.3,1.2,-7.1
1984/2/22,-4.3,-0.8,-8.4
1984/2/23,-3.2,-0.5,-10.2
1984/2/24,-2.3,1.2,-5.8
1984/2/25,-2.2,2.0,-7.7
1984/2/26,-1.0,0.0,-2.4
1984/2/27,-2.4,-0.5,-4.0
1984/2/28,-4.8,-0.7,-9.3
1984/2/29,-6.0,-1.3,-10.9
1984/3/1,-4.7,-2.5,-7.8
1984/3/2,-1.1,2.0,-3.7
1984/3/3,0.2,3.4,-3.3
1984/3/4,-3.0,2.3,-7.9
1984/3/5,-3.3,1.3,-8.4
1984/3/6,-2.7,1.5,-6.2
1984/3/7,-3.4,1.7,-9.3
1984/3/8,-4.6,0.3,-9.0
1984/3/9,-5.1,-0.3,-9.1
1984/3/10,-0.8,2.7,-8.9
1984/3/11,-0.8,4.6,-3.5
1984/3/12,-2.2,1.9,-7.0
1984/3/13,-3.2,0.4,-6.7
1984/3/14,-3.0,2.4,-8.6
1984/3/15,-2.3,2.7,-5.9
1984/3/16,-1.6,0.7,-6.5
1984/3/17,0.3,1.5,-0.7
1984/3/18,0.7,3.2,-2.5
1984/3/19,0.8,3.8,-4.7
1984/3/20,-0.1,1.1,-1.1
1984/3/21,-1.1,2.4,-2.9
1984/3/22,-0.9,2.4,-3.4
1984/3/23,-1.7,2.5,-6.3
1984/3/24,-0.9,2.3,-7.0
1984/3/25,0.4,4.1,-3.0
1984/3/26,-2.5,0.0,-5.0
1984/3/27,-2.3,3.1,-6.5
1984/3/28,-3.3,0.8,-7.9
1984/3/29,-2.6,1.1,-5.7
1984/3/30,-1.0,0.5,-4.0
1984/3/31,-0.3,3.7,-4.5
