ダウンロードした時刻：2019/10/10 15:48:56

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,6.6,10.7,4.6
1982/12/2,4.8,10.3,1.6
1982/12/3,4.8,11.6,-0.4
1982/12/4,1.7,10.3,-1.1
1982/12/5,5.6,13.0,-1.8
1982/12/6,-0.4,5.2,-3.9
1982/12/7,-1.2,5.4,-6.3
1982/12/8,1.2,6.2,-1.8
1982/12/9,0.3,3.8,-2.4
1982/12/10,3.7,12.1,-0.5
1982/12/11,4.4,9.0,-1.1
1982/12/12,4.8,9.7,0.6
1982/12/13,0.7,5.3,-3.1
1982/12/14,0.6,7.7,-3.2
1982/12/15,2.5,8.4,-2.8
1982/12/16,3.3,9.5,-1.1
1982/12/17,4.1,7.8,0.6
1982/12/18,0.1,3.0,-1.2
1982/12/19,0.1,6.9,-4.5
1982/12/20,-0.7,9.8,-7.0
1982/12/21,0.2,8.5,-5.1
1982/12/22,2.7,5.7,-1.4
1982/12/23,3.8,7.7,1.8
1982/12/24,3.9,7.8,1.2
1982/12/25,2.2,6.7,-2.0
1982/12/26,0.2,1.3,-1.8
1982/12/27,2.7,6.3,0.3
1982/12/28,1.0,7.0,-3.2
1982/12/29,-0.1,8.0,-4.2
1982/12/30,1.0,4.1,-0.7
1982/12/31,-0.1,3.1,-1.8
1983/1/1,-0.6,2.9,-3.1
1983/1/2,-2.1,4.7,-6.4
1983/1/3,-1.5,2.8,-5.6
1983/1/4,-0.6,8.0,-6.5
1983/1/5,1.6,4.0,-2.5
1983/1/6,3.3,7.0,-0.1
1983/1/7,3.6,7.9,-0.2
1983/1/8,6.1,10.7,1.3
1983/1/9,0.5,3.0,-1.2
1983/1/10,-3.2,-1.1,-5.3
1983/1/11,-4.0,-1.0,-6.9
1983/1/12,-2.4,0.7,-6.4
1983/1/13,-0.8,2.1,-2.3
1983/1/14,-2.0,-0.1,-3.4
1983/1/15,-2.2,2.0,-6.5
1983/1/16,-2.9,2.7,-8.3
1983/1/17,0.6,4.9,-2.0
1983/1/18,0.7,1.9,-0.4
1983/1/19,0.4,3.9,-2.2
1983/1/20,-3.6,0.0,-9.4
1983/1/21,-4.0,0.5,-9.6
1983/1/22,-5.4,-3.1,-7.2
1983/1/23,-5.5,0.0,-11.3
1983/1/24,-3.2,0.6,-6.9
1983/1/25,-3.8,4.4,-9.0
1983/1/26,-1.9,6.1,-7.4
1983/1/27,-3.6,5.3,-9.1
1983/1/28,-1.8,8.0,-8.9
1983/1/29,0.0,9.1,-6.1
1983/1/30,0.1,2.9,-2.1
1983/1/31,-2.0,2.5,-7.4
1983/2/1,-1.7,6.0,-10.9
1983/2/2,2.3,4.5,0.9
1983/2/3,0.1,2.9,-4.4
1983/2/4,-1.6,3.4,-5.7
1983/2/5,-1.0,7.5,-9.3
1983/2/6,0.9,5.4,-1.1
1983/2/7,-0.3,1.8,-1.9
1983/2/8,-3.4,1.1,-6.7
1983/2/9,-3.1,0.0,-6.7
1983/2/10,-3.0,-0.3,-5.5
1983/2/11,-3.5,0.1,-8.1
1983/2/12,-3.5,-0.7,-7.3
1983/2/13,-5.4,-1.5,-8.1
1983/2/14,-3.7,0.9,-7.3
1983/2/15,-2.2,3.8,-8.2
1983/2/16,-0.6,5.1,-4.8
1983/2/17,-0.4,3.1,-3.6
1983/2/18,0.5,4.7,-2.7
1983/2/19,-3.4,0.4,-9.2
1983/2/20,-2.9,1.2,-5.5
1983/2/21,-3.8,0.1,-6.3
1983/2/22,-2.9,2.8,-7.2
1983/2/23,-0.9,5.6,-8.5
1983/2/24,0.6,5.6,-2.7
1983/2/25,-1.4,2.9,-4.2
1983/2/26,-2.5,1.1,-6.3
1983/2/27,-1.0,3.1,-6.8
1983/2/28,0.6,7.4,-4.9
1983/3/1,0.5,8.9,-8.7
1983/3/2,3.9,7.0,1.4
1983/3/3,3.9,7.0,1.1
1983/3/4,1.5,6.6,-1.2
1983/3/5,-0.5,3.8,-2.8
1983/3/6,-0.8,5.9,-3.9
1983/3/7,-1.4,3.0,-4.9
1983/3/8,-2.7,2.3,-7.2
1983/3/9,-0.5,9.4,-9.5
1983/3/10,1.4,3.0,0.4
1983/3/11,3.4,9.0,-1.5
1983/3/12,4.4,12.9,-2.4
1983/3/13,2.7,4.9,-0.1
1983/3/14,-1.3,2.1,-3.5
1983/3/15,0.3,6.3,-5.2
1983/3/16,3.6,10.9,-1.5
1983/3/17,2.1,9.9,-0.2
1983/3/18,-2.1,-0.1,-3.4
1983/3/19,-0.2,7.4,-8.4
1983/3/20,3.8,14.6,-4.9
1983/3/21,3.9,10.4,1.3
1983/3/22,8.2,18.1,1.4
1983/3/23,6.7,9.3,3.8
1983/3/24,5.3,7.0,2.6
1983/3/25,3.0,6.5,-1.2
1983/3/26,3.8,10.2,-2.1
1983/3/27,4.1,9.0,1.3
1983/3/28,5.2,13.3,-0.1
1983/3/29,5.1,11.2,-1.2
1983/3/30,6.8,13.3,3.5
1983/3/31,9.3,16.7,3.6
