ダウンロードした時刻：2019/10/10 16:03:56

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,8.4,15.4,5.0
2013/12/2,7.7,14.4,2.8
2013/12/3,7.7,12.8,3.8
2013/12/4,7.1,11.9,4.1
2013/12/5,8.1,15.2,3.1
2013/12/6,9.0,13.2,6.2
2013/12/7,8.6,12.6,5.6
2013/12/8,8.1,11.7,3.9
2013/12/9,9.2,14.0,2.6
2013/12/10,8.7,13.8,6.4
2013/12/11,6.8,9.5,4.2
2013/12/12,5.4,8.1,2.5
2013/12/13,4.6,7.5,1.5
2013/12/14,5.3,7.6,3.0
2013/12/15,7.1,10.0,5.4
2013/12/16,6.5,9.7,4.1
2013/12/17,6.7,10.4,3.2
2013/12/18,6.2,7.2,5.0
2013/12/19,5.3,11.1,2.7
2013/12/20,3.9,7.6,0.1
2013/12/21,5.4,8.7,3.0
2013/12/22,5.0,6.9,3.2
2013/12/23,4.8,8.5,2.1
2013/12/24,5.0,6.9,3.0
2013/12/25,4.6,8.5,2.3
2013/12/26,4.2,6.7,0.5
2013/12/27,3.5,6.1,0.5
2013/12/28,0.7,3.2,-0.1
2013/12/29,2.3,5.4,-1.2
2013/12/30,4.7,6.6,1.2
2013/12/31,7.5,9.9,4.5
2014/1/1,8.6,10.2,6.7
2014/1/2,8.3,10.8,6.3
2014/1/3,5.9,13.0,1.1
2014/1/4,4.1,7.1,2.2
2014/1/5,5.0,8.0,2.0
2014/1/6,4.1,8.2,0.5
2014/1/7,5.8,12.6,-1.9
2014/1/8,6.3,9.2,5.1
2014/1/9,2.5,6.4,-0.2
2014/1/10,1.2,3.6,-0.9
2014/1/11,3.2,5.8,1.0
2014/1/12,4.3,7.6,1.3
2014/1/13,1.9,6.4,0.5
2014/1/14,2.7,6.5,-0.1
2014/1/15,3.8,6.9,1.2
2014/1/16,4.0,7.6,2.1
2014/1/17,3.2,6.6,1.2
2014/1/18,3.0,7.6,0.3
2014/1/19,2.1,4.6,-1.3
2014/1/20,2.4,5.7,-1.7
2014/1/21,2.2,6.1,0.1
2014/1/22,2.2,4.0,0.4
2014/1/23,2.9,9.9,-1.0
2014/1/24,5.9,14.5,-2.1
2014/1/25,9.4,13.8,3.8
2014/1/26,4.9,9.7,1.1
2014/1/27,2.2,7.9,-2.3
2014/1/28,6.7,13.0,-0.6
2014/1/29,5.9,13.9,0.5
2014/1/30,10.8,14.5,4.9
2014/1/31,8.2,12.7,3.0
2014/2/1,7.7,16.5,0.1
2014/2/2,11.5,17.1,8.3
2014/2/3,9.4,11.9,6.2
2014/2/4,1.9,6.6,0.1
2014/2/5,0.2,1.9,-1.2
2014/2/6,0.5,1.5,-0.6
2014/2/7,2.3,4.5,-0.4
2014/2/8,3.5,6.4,0.7
2014/2/9,3.4,7.5,1.1
2014/2/10,1.0,2.1,0.1
2014/2/11,1.8,4.7,-0.6
2014/2/12,3.5,4.7,2.6
2014/2/13,4.1,6.4,2.8
2014/2/14,4.4,5.6,3.3
2014/2/15,5.2,7.5,3.7
2014/2/16,5.2,10.4,0.4
2014/2/17,3.3,10.2,-0.6
2014/2/18,2.9,6.1,1.7
2014/2/19,3.5,5.0,2.3
2014/2/20,4.2,8.4,1.0
2014/2/21,3.0,6.1,0.0
2014/2/22,4.1,8.6,-0.1
2014/2/23,5.1,10.1,0.6
2014/2/24,6.9,13.5,1.3
2014/2/25,7.3,15.0,2.0
2014/2/26,7.3,10.7,2.7
2014/2/27,9.8,13.7,7.5
2014/2/28,9.4,12.3,7.2
2014/3/1,8.1,9.6,6.8
2014/3/2,7.7,11.8,4.8
2014/3/3,4.8,9.8,0.8
2014/3/4,5.5,10.7,-1.6
2014/3/5,6.2,10.5,0.9
2014/3/6,2.7,6.8,0.0
2014/3/7,1.6,4.7,-1.1
2014/3/8,3.4,9.6,-1.6
2014/3/9,3.5,11.3,-1.3
2014/3/10,3.2,7.2,0.2
2014/3/11,5.9,12.6,-1.7
2014/3/12,11.5,17.1,5.0
2014/3/13,6.9,10.7,4.1
2014/3/14,3.4,5.5,1.4
2014/3/15,6.9,12.6,0.5
2014/3/16,12.1,15.5,8.0
2014/3/17,11.9,18.7,5.8
2014/3/18,12.7,17.6,7.8
2014/3/19,8.6,13.1,4.4
2014/3/20,7.9,10.8,4.8
2014/3/21,5.5,9.3,2.3
2014/3/22,7.6,13.7,0.3
2014/3/23,9.6,17.0,2.6
2014/3/24,11.2,17.9,3.7
2014/3/25,15.1,18.7,12.1
2014/3/26,13.5,16.0,12.3
2014/3/27,12.3,17.0,7.8
2014/3/28,13.9,24.3,5.8
2014/3/29,15.9,22.2,11.9
2014/3/30,12.4,14.3,9.9
2014/3/31,10.8,15.7,5.8
