ダウンロードした時刻：2017/07/24 15:37:29

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,3.6,7.8,-0.7
1998/1/2,1.2,5.1,-1.8
1998/1/3,3.5,10.7,-1.8
1998/1/4,1.9,5.2,0.1
1998/1/5,0.2,3.4,-3.4
1998/1/6,-1.2,1.5,-3.0
1998/1/7,-3.7,-1.5,-4.9
1998/1/8,-1.9,1.7,-7.0
1998/1/9,-1.1,2.5,-3.6
1998/1/10,1.2,5.6,-2.8
1998/1/11,-0.8,5.0,-6.3
1998/1/12,-0.5,2.2,-3.1
1998/1/13,0.2,6.6,-3.9
1998/1/14,-1.4,4.2,-5.1
1998/1/15,-2.2,0.3,-4.5
1998/1/16,-1.0,0.8,-4.3
1998/1/17,-1.7,3.7,-7.4
1998/1/18,2.9,8.0,-1.2
1998/1/19,0.4,4.6,-3.8
1998/1/20,-2.1,0.8,-5.2
1998/1/21,-2.3,1.8,-5.4
1998/1/22,-3.1,1.8,-6.4
1998/1/23,-2.4,3.6,-7.4
1998/1/24,-3.3,-1.1,-5.2
1998/1/25,-2.2,1.8,-6.2
1998/1/26,-2.1,3.0,-6.2
1998/1/27,-3.4,1.6,-7.7
1998/1/28,-4.5,1.7,-8.8
1998/1/29,-4.7,1.5,-11.5
1998/1/30,-2.3,4.3,-9.8
1998/1/31,0.7,5.3,-4.1
1998/2/1,-1.6,2.5,-5.2
1998/2/2,-0.2,4.9,-4.1
1998/2/3,1.6,8.0,-4.0
1998/2/4,-1.5,1.9,-4.0
1998/2/5,-0.9,4.3,-6.8
1998/2/6,1.0,5.2,-3.2
1998/2/7,-2.8,0.5,-5.7
1998/2/8,-0.5,2.6,-3.5
1998/2/9,-0.6,0.7,-2.7
1998/2/10,-2.5,1.6,-5.9
1998/2/11,-2.6,2.5,-7.3
1998/2/12,2.5,7.7,-4.8
1998/2/13,3.6,8.9,-0.3
1998/2/14,1.4,5.3,-1.9
1998/2/15,0.2,4.0,-2.0
1998/2/16,-0.7,4.1,-3.7
1998/2/17,-2.0,3.6,-4.8
1998/2/18,-0.7,3.7,-3.8
1998/2/19,0.8,6.6,-5.3
1998/2/20,3.2,6.3,-0.4
1998/2/21,-3.8,2.6,-9.4
1998/2/22,-4.2,1.3,-11.0
1998/2/23,0.4,8.9,-7.6
1998/2/24,0.2,3.6,-4.1
1998/2/25,1.8,5.7,0.2
1998/2/26,3.5,6.9,1.0
1998/2/27,3.1,6.7,0.2
1998/2/28,2.7,7.5,-1.5
1998/3/1,2.4,3.8,0.7
1998/3/2,3.5,9.9,-2.8
1998/3/3,7.0,14.5,0.3
1998/3/4,5.7,13.4,-0.2
1998/3/5,1.3,6.3,-3.2
1998/3/6,1.8,6.9,-2.3
1998/3/7,2.8,9.3,-1.5
1998/3/8,2.4,8.6,-2.6
1998/3/9,1.9,6.7,-1.9
1998/3/10,0.2,5.3,-3.8
1998/3/11,1.2,7.5,-4.4
1998/3/12,4.7,8.4,-2.2
1998/3/13,6.9,12.4,2.1
1998/3/14,5.9,12.5,-0.9
1998/3/15,1.7,7.4,-2.3
1998/3/16,0.5,5.7,-3.0
1998/3/17,1.1,5.4,-3.9
1998/3/18,1.7,6.5,-1.8
1998/3/19,6.5,16.8,-2.5
1998/3/20,9.6,18.9,3.7
1998/3/21,4.3,9.4,0.3
1998/3/22,3.5,9.9,-0.8
1998/3/23,2.8,8.6,-1.8
1998/3/24,4.2,11.9,-3.0
1998/3/25,7.6,16.5,-0.9
1998/3/26,8.1,15.5,0.4
1998/3/27,8.1,13.4,5.1
1998/3/28,9.7,17.2,2.6
1998/3/29,12.6,21.3,7.1
1998/3/30,10.4,15.6,3.1
1998/3/31,5.7,12.4,1.0
1998/4/1,3.1,9.9,-0.5
1998/4/2,0.1,1.5,-1.1
1998/4/3,3.6,10.5,-2.8
1998/4/4,6.6,14.0,-0.8
1998/4/5,9.4,19.9,0.7
1998/4/6,10.3,18.3,4.8
1998/4/7,9.5,17.2,5.4
1998/4/8,8.5,20.2,4.1
1998/4/9,4.8,7.6,2.9
1998/4/10,6.3,9.5,3.7
1998/4/11,9.2,14.3,5.1
1998/4/12,9.4,14.6,1.4
1998/4/13,19.9,28.1,13.3
1998/4/14,11.6,21.4,9.2
1998/4/15,6.6,11.5,3.9
1998/4/16,5.8,11.1,3.3
1998/4/17,6.9,9.5,5.2
1998/4/18,7.8,12.3,5.1
1998/4/19,7.4,14.6,5.2
1998/4/20,17.9,24.5,9.5
1998/4/21,24.4,32.1,12.8
1998/4/22,18.0,23.7,13.7
1998/4/23,17.8,27.4,11.3
1998/4/24,18.5,23.6,15.0
1998/4/25,11.1,17.7,5.6
1998/4/26,5.3,8.2,4.2
1998/4/27,7.5,13.1,4.5
1998/4/28,8.0,10.7,5.8
1998/4/29,14.9,23.7,8.9
1998/4/30,10.5,17.5,3.8
1998/5/1,11.4,18.8,2.2
