ダウンロードした時刻：2019/10/10 15:49:02

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,0.1,9.0,-5.3
1987/12/2,-1.9,0.2,-3.0
1987/12/3,-0.1,3.2,-3.6
1987/12/4,-0.3,2.1,-2.7
1987/12/5,-0.2,3.1,-3.3
1987/12/6,0.5,2.7,-2.0
1987/12/7,-1.4,3.6,-5.9
1987/12/8,-2.0,3.7,-7.1
1987/12/9,-0.6,0.8,-2.7
1987/12/10,2.2,4.7,0.4
1987/12/11,2.3,4.7,0.0
1987/12/12,3.1,7.2,0.0
1987/12/13,2.2,8.3,-1.4
1987/12/14,1.4,9.5,-4.4
1987/12/15,3.2,9.0,-2.1
1987/12/16,3.7,6.7,0.3
1987/12/17,-0.1,2.0,-2.9
1987/12/18,-0.8,4.7,-6.5
1987/12/19,0.4,6.3,-4.5
1987/12/20,2.2,8.2,-2.8
1987/12/21,1.6,5.5,-0.6
1987/12/22,2.7,9.7,-3.0
1987/12/23,2.4,10.3,-2.4
1987/12/24,0.2,10.9,-4.0
1987/12/25,2.3,14.9,-5.8
1987/12/26,3.8,13.5,-0.8
1987/12/27,1.9,12.3,-1.9
1987/12/28,1.8,14.0,-5.1
1987/12/29,3.4,15.1,-4.5
1987/12/30,2.7,10.8,-1.3
1987/12/31,-0.3,5.4,-5.1
1988/1/1,-1.1,11.8,-7.4
1988/1/2,3.4,8.5,-3.2
1988/1/3,2.2,6.9,-3.0
1988/1/4,-1.3,0.8,-5.4
1988/1/5,-0.8,1.7,-2.0
1988/1/6,-2.5,1.7,-7.5
1988/1/7,-2.6,1.9,-9.2
1988/1/8,1.5,4.9,0.3
1988/1/9,-0.2,2.7,-2.2
1988/1/10,-3.1,-1.1,-4.4
1988/1/11,-2.1,0.7,-4.6
1988/1/12,-0.9,2.3,-3.4
1988/1/13,-0.7,6.5,-3.8
1988/1/14,-0.8,8.0,-5.0
1988/1/15,1.0,3.7,-2.6
1988/1/16,3.2,9.1,-1.3
1988/1/17,1.0,5.3,-2.6
1988/1/18,-2.0,1.5,-3.8
1988/1/19,-3.1,3.5,-9.8
1988/1/20,-0.7,8.8,-6.9
1988/1/21,-1.0,4.8,-6.2
1988/1/22,5.8,11.7,1.8
1988/1/23,1.0,8.1,-4.3
1988/1/24,-3.2,-1.5,-4.4
1988/1/25,-1.2,1.6,-4.1
1988/1/26,-0.3,1.7,-2.6
1988/1/27,-0.3,3.9,-2.5
1988/1/28,-1.3,3.2,-5.8
1988/1/29,0.1,8.7,-7.8
1988/1/30,0.2,4.1,-2.7
1988/1/31,-0.3,2.8,-2.5
1988/2/1,-0.6,5.5,-4.1
1988/2/2,-1.5,5.4,-6.2
1988/2/3,-6.4,-4.4,-7.3
1988/2/4,-3.2,2.5,-9.1
1988/2/5,0.8,3.9,-2.6
1988/2/6,1.6,6.4,-2.4
1988/2/7,-4.2,-1.9,-6.1
1988/2/8,-3.6,0.0,-6.4
1988/2/9,-3.0,1.3,-7.0
1988/2/10,-3.5,0.3,-5.2
1988/2/11,-2.7,0.9,-5.4
1988/2/12,-0.7,6.2,-5.6
1988/2/13,-0.9,2.6,-4.0
1988/2/14,-1.8,3.2,-5.8
1988/2/15,-3.4,0.9,-6.8
1988/2/16,-4.4,-0.8,-7.7
1988/2/17,-5.5,0.1,-10.0
1988/2/18,-4.8,1.7,-11.3
1988/2/19,-3.3,1.5,-7.1
1988/2/20,-2.3,3.1,-7.1
1988/2/21,-3.6,-0.4,-6.0
1988/2/22,-1.3,7.7,-10.3
1988/2/23,1.9,4.6,-0.6
1988/2/24,0.3,4.3,-2.4
1988/2/25,-0.1,7.2,-4.3
1988/2/26,1.7,6.9,-1.9
1988/2/27,-0.9,0.6,-4.2
1988/2/28,-1.8,4.2,-6.9
1988/2/29,1.0,9.0,-7.0
1988/3/1,3.2,5.0,1.4
1988/3/2,3.1,6.4,-0.1
1988/3/3,-0.4,4.2,-4.1
1988/3/4,-2.0,2.3,-5.6
1988/3/5,-0.2,6.4,-5.1
1988/3/6,0.2,5.1,-3.4
1988/3/7,-1.7,1.9,-4.7
1988/3/8,-2.3,4.1,-7.6
1988/3/9,-0.2,5.1,-3.9
1988/3/10,1.0,8.0,-3.1
1988/3/11,4.5,12.6,-6.3
1988/3/12,5.2,10.2,0.9
1988/3/13,4.9,14.3,-2.3
1988/3/14,4.6,10.3,-2.6
1988/3/15,1.6,5.5,-5.0
1988/3/16,-1.2,3.9,-6.1
1988/3/17,0.2,1.4,-1.0
1988/3/18,2.0,7.2,-1.0
1988/3/19,4.1,11.9,-1.1
1988/3/20,2.1,6.1,-0.2
1988/3/21,2.9,4.7,-0.2
1988/3/22,5.8,8.6,3.2
1988/3/23,4.6,9.6,0.8
1988/3/24,2.0,7.5,-2.4
1988/3/25,2.4,7.0,-1.8
1988/3/26,2.4,4.3,0.7
1988/3/27,2.2,7.2,-2.4
1988/3/28,4.9,14.0,-2.9
1988/3/29,5.1,10.0,2.6
1988/3/30,5.6,9.4,3.4
1988/3/31,4.7,10.4,0.7
