ダウンロードした時刻：2019/10/10 16:16:40

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,13.1,17.9,9.4
2018/12/2,12.7,16.2,7.8
2018/12/3,15.2,17.4,12.6
2018/12/4,16.8,19.5,14.3
2018/12/5,15.3,18.9,12.6
2018/12/6,12.9,14.2,11.8
2018/12/7,10.8,13.4,6.8
2018/12/8,6.0,8.6,4.1
2018/12/9,5.3,8.4,2.8
2018/12/10,5.2,10.1,2.1
2018/12/11,6.8,11.2,2.0
2018/12/12,9.4,13.4,5.5
2018/12/13,8.2,12.2,3.7
2018/12/14,7.7,9.9,4.3
2018/12/15,5.8,11.0,2.2
2018/12/16,6.6,11.7,0.7
2018/12/17,9.8,13.3,7.9
2018/12/18,9.1,11.7,6.5
2018/12/19,9.5,14.1,4.1
2018/12/20,10.7,13.9,7.9
2018/12/21,11.2,14.1,7.1
2018/12/22,12.0,14.0,10.2
2018/12/23,12.4,15.7,10.0
2018/12/24,8.9,11.5,5.6
2018/12/25,7.0,12.1,3.1
2018/12/26,8.4,10.2,5.5
2018/12/27,8.6,12.3,5.5
2018/12/28,4.5,6.5,2.3
2018/12/29,4.6,7.6,2.1
2018/12/30,5.0,8.2,1.9
2018/12/31,4.3,8.0,1.5
2019/1/1,5.7,10.1,-0.3
2019/1/2,6.7,9.8,4.9
2019/1/3,6.2,10.6,1.9
2019/1/4,6.1,10.9,0.5
2019/1/5,9.4,11.9,7.4
2019/1/6,6.7,9.3,3.5
2019/1/7,6.6,11.7,1.1
2019/1/8,8.2,12.3,4.3
2019/1/9,5.7,7.9,1.4
2019/1/10,5.6,10.1,-0.3
2019/1/11,9.2,12.6,6.5
2019/1/12,6.0,7.7,3.2
2019/1/13,5.5,11.3,1.1
2019/1/14,5.9,12.4,0.8
2019/1/15,7.1,12.7,2.4
2019/1/16,7.5,11.0,3.5
2019/1/17,6.9,9.9,2.8
2019/1/18,8.1,11.8,4.6
2019/1/19,7.6,13.9,1.4
2019/1/20,8.4,11.9,6.8
2019/1/21,7.2,10.9,4.0
2019/1/22,7.9,11.3,3.1
2019/1/23,8.9,13.4,2.2
2019/1/24,7.3,9.8,3.8
2019/1/25,6.9,12.5,0.9
2019/1/26,4.1,7.3,2.4
2019/1/27,5.3,9.3,2.1
2019/1/28,6.2,11.9,0.3
2019/1/29,5.9,8.8,1.9
2019/1/30,4.9,10.4,-0.6
2019/1/31,5.9,7.9,3.8
2019/2/1,5.2,8.4,2.9
2019/2/2,6.3,11.5,2.2
2019/2/3,7.0,11.6,2.2
2019/2/4,11.3,14.8,6.4
2019/2/5,7.7,11.6,2.5
2019/2/6,8.4,11.9,6.2
2019/2/7,9.9,15.3,4.6
2019/2/8,7.5,10.3,4.9
2019/2/9,5.9,8.7,4.3
2019/2/10,4.7,7.4,2.6
2019/2/11,4.0,6.7,0.6
2019/2/12,5.7,10.2,0.9
2019/2/13,7.0,11.4,3.2
2019/2/14,5.3,8.9,1.5
2019/2/15,4.3,7.8,0.2
2019/2/16,7.8,11.0,5.5
2019/2/17,6.9,11.5,2.8
2019/2/18,6.7,11.8,1.0
2019/2/19,10.3,13.1,7.8
2019/2/20,12.3,14.1,8.3
2019/2/21,7.9,10.8,4.6
2019/2/22,7.5,11.1,2.7
2019/2/23,9.3,13.9,4.5
2019/2/24,6.7,12.2,2.0
2019/2/25,9.2,16.5,2.0
2019/2/26,10.5,15.2,6.9
2019/2/27,7.7,9.6,4.5
2019/2/28,8.2,9.6,6.7
2019/3/1,10.4,15.4,5.1
2019/3/2,9.2,13.0,3.8
2019/3/3,8.3,10.6,7.0
2019/3/4,9.0,11.5,6.3
2019/3/5,10.3,15.3,4.9
2019/3/6,10.0,13.2,8.3
2019/3/7,9.6,12.1,6.6
2019/3/8,8.0,13.4,3.1
2019/3/9,8.4,14.5,1.5
2019/3/10,9.9,11.3,7.0
2019/3/11,12.5,15.6,9.0
2019/3/12,11.4,15.6,6.5
2019/3/13,8.9,11.8,4.7
2019/3/14,8.6,13.0,4.4
2019/3/15,8.5,14.5,2.3
2019/3/16,8.5,12.9,4.1
2019/3/17,8.6,14.0,4.3
2019/3/18,8.4,13.6,1.7
2019/3/19,9.6,12.8,6.9
2019/3/20,11.0,17.2,4.4
2019/3/21,16.1,21.6,11.5
2019/3/22,12.3,18.2,7.7
2019/3/23,6.6,11.3,2.9
2019/3/24,8.0,13.8,1.9
2019/3/25,9.1,13.0,3.5
2019/3/26,12.4,18.2,6.1
2019/3/27,14.7,21.4,6.6
2019/3/28,14.5,18.5,9.2
2019/3/29,11.3,15.6,8.2
2019/3/30,11.8,14.6,8.9
2019/3/31,11.0,13.5,7.7
