ダウンロードした時刻：2019/10/10 16:08:35

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,11.2,14.9,7.3
1998/12/2,10.7,12.8,8.5
1998/12/3,9.1,10.9,7.1
1998/12/4,10.1,14.5,8.5
1998/12/5,10.2,12.2,8.8
1998/12/6,10.2,13.9,6.5
1998/12/7,10.6,13.0,7.3
1998/12/8,9.7,12.5,7.2
1998/12/9,7.2,10.0,5.7
1998/12/10,5.9,8.7,3.5
1998/12/11,5.6,9.1,2.0
1998/12/12,6.6,9.1,2.9
1998/12/13,5.1,9.7,0.8
1998/12/14,7.8,12.4,1.9
1998/12/15,9.5,12.3,6.5
1998/12/16,8.4,13.5,5.3
1998/12/17,9.5,14.5,6.2
1998/12/18,6.8,11.1,2.7
1998/12/19,6.5,11.5,1.5
1998/12/20,8.6,12.4,4.8
1998/12/21,7.1,10.0,2.7
1998/12/22,6.3,10.2,0.5
1998/12/23,9.8,13.0,6.3
1998/12/24,7.2,9.2,6.4
1998/12/25,6.4,10.6,2.7
1998/12/26,6.5,9.9,2.6
1998/12/27,4.9,10.2,0.9
1998/12/28,5.8,12.1,0.8
1998/12/29,6.3,10.1,1.7
1998/12/30,7.1,10.0,4.1
1998/12/31,4.0,5.8,2.5
1999/1/1,3.3,5.1,1.1
1999/1/2,5.2,8.8,1.1
1999/1/3,5.0,6.7,3.2
1999/1/4,5.2,7.0,3.2
1999/1/5,4.1,9.2,-0.3
1999/1/6,4.0,7.6,-0.6
1999/1/7,5.3,11.8,0.8
1999/1/8,1.4,4.2,-0.6
1999/1/9,0.5,2.6,-1.2
1999/1/10,2.1,4.8,-1.0
1999/1/11,2.3,4.2,0.6
1999/1/12,2.6,4.3,0.6
1999/1/13,2.3,5.3,0.3
1999/1/14,3.9,5.0,2.8
1999/1/15,3.4,5.6,2.1
1999/1/16,5.1,9.0,2.7
1999/1/17,3.5,6.3,-0.7
1999/1/18,2.5,7.6,-1.9
1999/1/19,3.6,6.5,0.3
1999/1/20,6.9,10.8,2.9
1999/1/21,3.7,6.0,1.2
1999/1/22,3.6,7.9,0.3
1999/1/23,5.0,10.2,0.0
1999/1/24,6.4,7.6,5.5
1999/1/25,6.3,9.0,3.4
1999/1/26,6.7,9.6,2.2
1999/1/27,5.4,8.8,1.4
1999/1/28,4.5,7.5,1.8
1999/1/29,3.0,5.7,1.1
1999/1/30,1.4,3.5,-0.2
1999/1/31,3.4,8.5,-1.3
1999/2/1,4.7,7.9,1.3
1999/2/2,4.3,6.7,1.8
1999/2/3,-0.9,2.5,-4.2
1999/2/4,-2.1,1.6,-4.6
1999/2/5,-0.3,4.4,-6.8
1999/2/6,1.7,4.4,-1.4
1999/2/7,1.9,6.8,-3.8
1999/2/8,5.7,10.7,1.5
1999/2/9,4.5,9.4,-0.7
1999/2/10,4.2,7.8,2.0
1999/2/11,2.6,5.2,0.7
1999/2/12,1.7,3.9,-0.8
1999/2/13,-0.9,1.1,-2.5
1999/2/14,0.4,2.9,-1.6
1999/2/15,3.0,6.8,0.5
1999/2/16,3.0,8.2,-1.5
1999/2/17,4.6,10.5,-0.9
1999/2/18,4.8,6.5,2.4
1999/2/19,3.9,6.0,0.8
1999/2/20,2.8,7.6,-1.5
1999/2/21,1.5,3.9,-0.1
1999/2/22,2.9,7.0,-0.4
1999/2/23,4.9,9.0,0.9
1999/2/24,5.3,7.9,3.1
1999/2/25,7.1,10.3,3.0
1999/2/26,5.1,8.7,0.2
1999/2/27,5.8,11.6,0.2
1999/2/28,2.0,4.9,0.1
1999/3/1,5.0,11.3,-0.2
1999/3/2,6.9,12.1,1.6
1999/3/3,7.9,13.0,3.0
1999/3/4,7.3,11.9,1.9
1999/3/5,10.4,14.9,6.4
1999/3/6,7.0,9.9,4.1
1999/3/7,5.7,7.4,3.7
1999/3/8,7.8,10.8,5.7
1999/3/9,6.1,7.7,4.2
1999/3/10,7.0,11.1,3.8
1999/3/11,7.1,8.7,6.0
1999/3/12,4.9,7.9,1.7
1999/3/13,7.1,13.3,0.2
1999/3/14,12.8,17.9,9.1
1999/3/15,13.6,16.7,9.7
1999/3/16,10.1,12.8,8.2
1999/3/17,10.7,18.9,4.0
1999/3/18,14.9,21.1,8.6
1999/3/19,12.7,17.0,7.9
1999/3/20,5.8,7.9,3.6
1999/3/21,5.3,6.6,3.3
1999/3/22,2.8,6.9,0.3
1999/3/23,4.5,8.9,1.4
1999/3/24,7.8,15.4,-0.1
1999/3/25,11.5,15.4,8.0
1999/3/26,12.6,15.2,10.4
1999/3/27,9.7,13.2,7.1
1999/3/28,7.4,12.3,3.4
1999/3/29,4.0,6.4,2.1
1999/3/30,5.3,8.1,2.9
1999/3/31,9.1,14.0,6.2
