ダウンロードした時刻：2017/07/24 15:38:23

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,2.7,7.0,-0.9
2008/1/2,2.7,8.4,-1.8
2008/1/3,4.8,9.0,-0.4
2008/1/4,4.9,9.1,0.0
2008/1/5,5.4,9.7,1.7
2008/1/6,7.0,12.4,0.2
2008/1/7,7.4,9.7,4.1
2008/1/8,7.6,12.5,2.0
2008/1/9,7.9,10.5,6.1
2008/1/10,5.9,8.4,2.8
2008/1/11,7.2,11.9,1.6
2008/1/12,3.9,8.4,1.6
2008/1/13,1.8,5.5,-0.3
2008/1/14,2.1,6.8,-1.1
2008/1/15,2.4,7.8,-2.4
2008/1/16,2.7,6.3,-0.8
2008/1/17,1.7,5.4,-1.3
2008/1/18,1.8,6.0,-2.1
2008/1/19,1.2,6.2,-3.2
2008/1/20,3.4,7.2,-0.9
2008/1/21,2.6,4.5,1.0
2008/1/22,2.1,6.0,-2.6
2008/1/23,2.8,5.8,-0.7
2008/1/24,2.9,6.2,-0.2
2008/1/25,1.8,5.7,-0.6
2008/1/26,1.4,6.1,-1.9
2008/1/27,1.8,7.2,-3.6
2008/1/28,3.7,8.7,-3.2
2008/1/29,4.4,7.6,0.9
2008/1/30,6.5,11.4,2.6
2008/1/31,3.2,7.7,-0.9
2008/2/1,1.8,7.0,-3.7
2008/2/2,4.0,7.7,-0.5
2008/2/3,1.7,3.9,0.7
2008/2/4,3.8,8.6,0.7
2008/2/5,3.7,8.9,-1.5
2008/2/6,2.5,4.6,1.4
2008/2/7,3.1,8.6,-0.1
2008/2/8,1.8,7.2,-2.7
2008/2/9,1.3,5.4,-4.3
2008/2/10,5.1,9.1,2.4
2008/2/11,4.7,8.6,0.0
2008/2/12,5.3,7.8,2.4
2008/2/13,0.9,3.8,-1.3
2008/2/14,2.9,7.9,-1.1
2008/2/15,3.6,7.7,0.7
2008/2/16,1.8,5.6,-1.0
2008/2/17,1.5,5.6,-0.7
2008/2/18,3.3,8.9,-1.7
2008/2/19,3.2,8.5,-2.4
2008/2/20,6.0,12.2,-1.4
2008/2/21,4.8,9.5,1.5
2008/2/22,6.4,11.9,0.8
2008/2/23,5.4,13.8,-0.6
2008/2/24,2.2,5.9,-1.7
2008/2/25,1.6,6.9,-2.9
2008/2/26,6.8,11.6,-1.6
2008/2/27,3.9,6.5,0.6
2008/2/28,4.6,9.1,0.5
2008/2/29,7.0,11.5,0.8
2008/3/1,5.7,11.6,1.6
2008/3/2,6.3,11.6,1.6
2008/3/3,7.8,13.3,2.9
2008/3/4,5.9,10.9,1.6
2008/3/5,4.8,10.8,2.1
2008/3/6,5.2,9.9,1.6
2008/3/7,4.5,8.4,1.2
2008/3/8,5.2,12.5,-2.0
2008/3/9,8.0,13.8,-0.1
2008/3/10,5.9,10.1,1.4
2008/3/11,10.2,14.8,3.0
2008/3/12,6.0,8.9,2.2
2008/3/13,7.6,11.7,2.4
2008/3/14,11.7,14.1,7.1
2008/3/15,11.4,16.0,7.1
2008/3/16,10.5,15.0,3.9
2008/3/17,10.6,14.4,8.0
2008/3/18,9.1,12.8,5.2
2008/3/19,9.1,13.7,3.0
2008/3/20,8.6,10.3,6.1
2008/3/21,8.1,12.5,4.7
2008/3/22,8.1,15.5,3.2
2008/3/23,7.4,13.1,1.6
2008/3/24,6.8,10.3,5.3
2008/3/25,8.8,13.6,2.8
2008/3/26,9.9,15.5,7.0
2008/3/27,10.4,16.3,6.0
2008/3/28,7.8,11.5,5.6
2008/3/29,9.5,15.3,5.6
2008/3/30,7.3,9.2,5.3
2008/3/31,4.7,7.1,3.0
2008/4/1,7.9,12.7,4.7
2008/4/2,11.4,17.1,7.1
2008/4/3,10.5,14.1,7.9
2008/4/4,10.6,14.2,4.9
2008/4/5,12.6,19.1,6.2
2008/4/6,10.1,14.3,5.5
2008/4/7,11.6,16.0,4.5
2008/4/8,11.0,14.0,9.2
2008/4/9,10.0,12.1,8.4
2008/4/10,8.2,9.3,7.5
2008/4/11,9.9,14.0,6.7
2008/4/12,11.4,18.0,5.2
2008/4/13,8.2,9.4,7.1
2008/4/14,12.0,16.4,9.0
2008/4/15,10.4,13.4,6.2
2008/4/16,12.3,16.0,6.8
2008/4/17,13.8,18.1,12.0
2008/4/18,11.9,13.5,10.8
2008/4/19,11.3,12.6,10.3
2008/4/20,13.5,16.2,11.6
2008/4/21,12.8,16.2,10.1
2008/4/22,11.7,16.3,7.6
2008/4/23,10.4,14.3,5.0
2008/4/24,11.8,12.7,10.6
2008/4/25,11.1,14.2,8.4
2008/4/26,10.7,15.2,7.3
2008/4/27,12.9,17.0,10.0
2008/4/28,11.8,15.3,9.0
2008/4/29,13.1,16.6,9.2
2008/4/30,14.1,18.6,10.1
2008/5/1,14.7,18.0,11.4
