ダウンロードした時刻：2019/10/10 15:57:16

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,8.6,13.2,4.1
2005/12/2,9.7,14.5,5.7
2005/12/3,9.1,12.9,6.7
2005/12/4,6.1,7.6,4.6
2005/12/5,5.4,7.9,2.0
2005/12/6,6.9,10.7,5.1
2005/12/7,6.7,9.8,2.5
2005/12/8,7.3,11.6,4.4
2005/12/9,7.5,11.5,4.9
2005/12/10,8.7,12.8,6.0
2005/12/11,6.7,8.6,3.2
2005/12/12,5.2,9.5,2.1
2005/12/13,3.7,6.9,1.6
2005/12/14,4.6,8.3,2.2
2005/12/15,5.0,9.2,2.0
2005/12/16,4.9,9.1,2.3
2005/12/17,4.0,8.7,0.7
2005/12/18,1.5,5.4,-1.8
2005/12/19,3.6,6.8,1.7
2005/12/20,5.6,10.0,2.1
2005/12/21,5.6,9.9,2.5
2005/12/22,1.0,3.8,-1.7
2005/12/23,4.4,8.4,0.3
2005/12/24,4.2,7.2,1.4
2005/12/25,5.3,10.1,-0.3
2005/12/26,5.9,8.4,3.4
2005/12/27,4.3,6.6,2.5
2005/12/28,3.2,5.9,1.3
2005/12/29,4.1,7.5,1.1
2005/12/30,5.6,10.8,-0.1
2005/12/31,4.7,7.9,2.8
2006/1/1,4.3,7.7,0.7
2006/1/2,5.9,10.4,3.8
2006/1/3,5.9,8.1,4.3
2006/1/4,4.9,7.3,3.7
2006/1/5,2.3,5.4,-0.1
2006/1/6,1.8,5.1,-0.5
2006/1/7,2.2,5.6,0.3
2006/1/8,2.2,6.6,-1.0
2006/1/9,2.2,5.7,-2.2
2006/1/10,4.5,10.2,-1.4
2006/1/11,5.6,9.3,3.5
2006/1/12,5.9,10.7,2.4
2006/1/13,3.6,5.2,0.3
2006/1/14,8.4,12.5,5.0
2006/1/15,9.1,12.2,5.8
2006/1/16,7.6,12.2,3.6
2006/1/17,6.9,10.7,3.9
2006/1/18,4.9,8.8,2.8
2006/1/19,2.9,5.6,1.5
2006/1/20,3.9,6.5,1.3
2006/1/21,4.6,7.2,1.7
2006/1/22,3.9,8.9,0.0
2006/1/23,1.7,4.4,-0.8
2006/1/24,3.3,7.6,1.1
2006/1/25,3.5,7.1,0.7
2006/1/26,4.4,8.0,1.0
2006/1/27,5.8,10.4,1.2
2006/1/28,4.2,6.9,2.2
2006/1/29,4.1,7.9,-0.1
2006/1/30,6.8,8.9,3.5
2006/1/31,7.6,9.5,6.8
2006/2/1,7.4,9.9,5.6
2006/2/2,6.8,10.5,4.4
2006/2/3,5.3,11.1,-0.8
2006/2/4,-0.3,3.5,-3.1
2006/2/5,1.1,4.9,-0.6
2006/2/6,1.0,3.7,-1.1
2006/2/7,5.7,12.3,1.2
2006/2/8,5.3,9.7,1.3
2006/2/9,2.2,5.5,0.0
2006/2/10,4.2,10.9,-2.1
2006/2/11,7.4,11.8,4.6
2006/2/12,3.4,6.7,0.2
2006/2/13,5.8,14.3,-0.8
2006/2/14,7.3,13.2,0.2
2006/2/15,11.1,16.0,7.6
2006/2/16,9.8,11.5,8.2
2006/2/17,5.8,8.7,1.3
2006/2/18,3.9,9.2,0.0
2006/2/19,5.2,8.2,1.2
2006/2/20,5.7,7.2,3.8
2006/2/21,6.0,9.6,2.7
2006/2/22,8.9,12.8,4.0
2006/2/23,9.0,12.8,5.1
2006/2/24,7.0,10.6,3.2
2006/2/25,7.6,12.0,1.6
2006/2/26,10.8,13.1,9.2
2006/2/27,5.5,10.8,2.7
2006/2/28,4.6,7.1,1.9
2006/3/1,7.6,11.8,5.4
2006/3/2,5.3,8.3,2.4
2006/3/3,3.8,8.4,1.9
2006/3/4,5.2,11.2,0.5
2006/3/5,5.7,10.3,0.2
2006/3/6,8.4,10.7,6.4
2006/3/7,9.5,14.7,5.2
2006/3/8,10.3,17.3,4.8
2006/3/9,9.7,11.7,5.9
2006/3/10,10.2,12.5,8.8
2006/3/11,11.5,15.1,7.0
2006/3/12,10.5,15.4,5.3
2006/3/13,3.4,7.6,0.8
2006/3/14,3.2,8.6,0.1
2006/3/15,6.3,10.9,2.0
2006/3/16,6.2,11.3,2.4
2006/3/17,9.5,12.3,7.2
2006/3/18,7.2,10.0,4.6
2006/3/19,7.0,10.7,2.6
2006/3/20,7.1,12.4,2.5
2006/3/21,9.4,14.7,4.2
2006/3/22,6.9,8.9,4.7
2006/3/23,10.9,17.0,6.3
2006/3/24,8.9,13.9,6.1
2006/3/25,8.9,14.4,3.3
2006/3/26,9.3,12.2,5.2
2006/3/27,12.1,16.6,6.6
2006/3/28,10.9,15.2,7.1
2006/3/29,5.6,9.1,3.4
2006/3/30,4.0,8.2,1.5
2006/3/31,5.1,9.1,2.1
