ダウンロードした時刻：2019/10/10 16:09:29

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.4,15.3,5.0
2001/12/2,10.3,16.8,5.7
2001/12/3,10.7,16.2,5.5
2001/12/4,11.3,16.1,7.0
2001/12/5,7.9,11.1,4.4
2001/12/6,9.4,13.0,8.0
2001/12/7,8.4,14.6,4.4
2001/12/8,7.5,11.8,4.1
2001/12/9,9.3,15.6,4.6
2001/12/10,9.9,13.0,7.8
2001/12/11,7.8,11.8,4.0
2001/12/12,7.3,13.3,1.6
2001/12/13,9.4,14.5,7.0
2001/12/14,4.7,7.5,2.5
2001/12/15,4.8,8.6,1.4
2001/12/16,4.6,10.5,-0.4
2001/12/17,4.7,8.4,2.4
2001/12/18,4.9,10.0,0.7
2001/12/19,6.2,12.2,1.7
2001/12/20,6.5,12.2,2.2
2001/12/21,6.3,12.3,3.8
2001/12/22,4.6,7.8,1.5
2001/12/23,4.4,10.2,0.1
2001/12/24,5.4,11.3,2.3
2001/12/25,4.5,8.0,0.7
2001/12/26,6.1,12.1,2.5
2001/12/27,5.4,11.3,1.0
2001/12/28,5.4,11.4,1.9
2001/12/29,4.8,10.2,-0.5
2001/12/30,5.0,8.0,1.2
2001/12/31,4.2,10.4,-0.4
2002/1/1,4.3,7.9,1.4
2002/1/2,0.5,4.9,-2.6
2002/1/3,2.0,6.3,-2.2
2002/1/4,7.8,12.6,2.2
2002/1/5,7.5,11.4,2.6
2002/1/6,4.9,10.6,1.9
2002/1/7,5.1,10.3,0.9
2002/1/8,3.5,6.8,1.3
2002/1/9,4.5,10.3,0.6
2002/1/10,6.2,12.1,-0.5
2002/1/11,9.6,16.8,4.9
2002/1/12,8.0,15.9,1.7
2002/1/13,10.2,16.7,6.1
2002/1/14,9.5,12.4,6.0
2002/1/15,11.7,13.6,9.8
2002/1/16,13.0,16.6,9.9
2002/1/17,8.8,12.9,5.5
2002/1/18,6.2,9.8,4.2
2002/1/19,5.7,11.4,1.6
2002/1/20,5.6,10.6,1.3
2002/1/21,7.7,11.1,5.5
2002/1/22,5.2,8.6,3.3
2002/1/23,3.2,5.8,1.9
2002/1/24,4.0,9.9,1.2
2002/1/25,4.9,11.4,-0.2
2002/1/26,4.2,5.5,3.0
2002/1/27,5.9,11.3,3.5
2002/1/28,4.4,10.4,0.6
2002/1/29,2.9,6.6,0.7
2002/1/30,3.2,7.7,-0.2
2002/1/31,3.4,7.7,0.3
2002/2/1,4.9,10.5,0.9
2002/2/2,5.3,10.1,1.9
2002/2/3,7.2,12.7,3.1
2002/2/4,6.1,12.2,0.7
2002/2/5,7.3,12.0,3.5
2002/2/6,7.6,14.1,2.6
2002/2/7,7.6,15.7,2.6
2002/2/8,6.6,12.5,-0.1
2002/2/9,6.8,11.2,3.9
2002/2/10,3.8,8.3,1.8
2002/2/11,2.6,6.5,0.5
2002/2/12,3.3,9.4,-1.3
2002/2/13,4.2,9.8,-0.2
2002/2/14,4.9,10.8,1.4
2002/2/15,4.5,10.8,-0.5
2002/2/16,5.9,11.9,0.0
2002/2/17,5.8,8.0,4.1
2002/2/18,6.5,11.2,2.3
2002/2/19,3.8,6.5,0.6
2002/2/20,6.0,11.9,0.2
2002/2/21,7.9,14.1,1.4
2002/2/22,11.5,16.9,8.3
2002/2/23,9.0,14.5,3.9
2002/2/24,8.8,14.5,5.3
2002/2/25,7.1,13.1,1.6
2002/2/26,8.6,11.0,5.7
2002/2/27,10.3,13.5,8.4
2002/2/28,10.9,13.4,9.4
2002/3/1,11.4,17.1,6.9
2002/3/2,10.7,14.8,7.0
2002/3/3,8.4,13.5,4.4
2002/3/4,8.4,14.1,2.6
2002/3/5,7.9,9.1,7.0
2002/3/6,9.8,13.0,7.9
2002/3/7,7.3,11.8,2.8
2002/3/8,6.4,12.7,0.2
2002/3/9,8.1,14.8,0.8
2002/3/10,10.3,18.5,3.6
2002/3/11,11.6,16.3,7.5
2002/3/12,10.8,16.7,4.3
2002/3/13,11.8,18.5,5.9
2002/3/14,11.3,17.8,7.0
2002/3/15,15.3,20.2,11.8
2002/3/16,13.5,18.6,9.8
2002/3/17,13.2,19.6,7.8
2002/3/18,11.3,17.7,6.5
2002/3/19,11.1,17.7,3.0
2002/3/20,14.5,20.7,8.7
2002/3/21,14.4,19.1,9.0
2002/3/22,10.8,12.1,9.2
2002/3/23,9.6,13.4,7.1
2002/3/24,9.5,14.6,6.1
2002/3/25,9.2,15.0,3.4
2002/3/26,10.5,13.4,8.0
2002/3/27,12.6,17.3,7.8
2002/3/28,10.6,17.6,3.8
2002/3/29,11.0,13.9,8.8
2002/3/30,14.6,20.0,9.8
2002/3/31,14.2,20.7,9.6
