É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:22

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2004/1/1,9.0,13.8,4.5
2004/1/2,6.8,14.2,1.4
2004/1/3,7.5,15.3,1.4
2004/1/4,7.1,11.8,4.0
2004/1/5,4.8,10.0,-0.4
2004/1/6,4.1,11.3,-1.7
2004/1/7,2.9,8.0,-0.9
2004/1/8,3.8,7.4,-0.3
2004/1/9,4.2,9.5,0.3
2004/1/10,2.9,8.8,-2.6
2004/1/11,4.3,8.8,1.2
2004/1/12,3.7,8.5,-2.1
2004/1/13,5.0,10.5,0.7
2004/1/14,3.3,6.7,1.4
2004/1/15,2.9,8.1,-2.1
2004/1/16,3.1,8.3,-0.2
2004/1/17,1.7,4.6,-0.6
2004/1/18,4.4,9.7,-0.8
2004/1/19,4.1,9.1,0.9
2004/1/20,6.7,12.6,1.2
2004/1/21,5.3,9.9,1.6
2004/1/22,2.4,7.1,-2.0
2004/1/23,1.8,9.3,-5.7
2004/1/24,2.3,8.8,-3.6
2004/1/25,3.4,9.7,-2.6
2004/1/26,3.8,10.6,-1.8
2004/1/27,3.0,8.8,-1.7
2004/1/28,4.9,12.1,-2.0
2004/1/29,7.2,12.9,2.5
2004/1/30,6.4,11.8,0.9
2004/1/31,5.6,11.1,1.8
2004/2/1,5.0,11.5,-2.0
2004/2/2,3.7,5.3,1.6
2004/2/3,6.7,9.8,3.2
2004/2/4,6.0,11.8,2.0
2004/2/5,4.4,9.9,0.5
2004/2/6,3.6,9.8,-2.8
2004/2/7,3.7,8.9,-1.3
2004/2/8,3.7,10.9,-3.8
2004/2/9,4.9,11.1,-0.5
2004/2/10,3.3,8.9,-2.3
2004/2/11,3.6,9.4,-1.4
2004/2/12,6.5,13.8,-1.5
2004/2/13,6.4,12.2,1.0
2004/2/14,8.2,14.8,1.3
2004/2/15,7.1,12.2,2.6
2004/2/16,5.9,11.1,2.3
2004/2/17,6.1,14.3,-1.0
2004/2/18,6.8,12.2,3.1
2004/2/19,6.9,15.4,-1.4
2004/2/20,7.4,14.7,3.2
2004/2/21,8.9,17.5,1.6
2004/2/22,13.5,23.0,2.6
2004/2/23,9.9,14.9,4.4
2004/2/24,7.6,13.4,1.6
2004/2/25,9.0,17.5,1.3
2004/2/26,8.3,18.8,1.6
2004/2/27,5.2,11.8,-0.5
2004/2/28,6.2,14.6,-2.0
2004/2/29,10.0,18.0,4.0
2004/3/1,5.0,9.8,1.6
2004/3/2,4.0,9.7,-1.6
2004/3/3,4.3,9.5,-0.1
2004/3/4,4.7,11.0,1.8
2004/3/5,5.7,13.5,-2.3
2004/3/6,5.6,13.4,1.2
2004/3/7,3.4,9.3,-0.3
2004/3/8,4.3,11.4,-2.4
2004/3/9,7.6,15.4,0.8
2004/3/10,10.3,18.6,2.1
2004/3/11,14.6,25.9,6.6
2004/3/12,9.6,13.2,5.4
2004/3/13,8.4,17.7,0.9
2004/3/14,9.2,16.8,0.4
2004/3/15,10.8,17.5,6.3
2004/3/16,11.9,18.0,7.6
2004/3/17,15.6,25.0,6.2
2004/3/18,9.8,16.9,5.0
2004/3/19,6.8,12.4,1.8
2004/3/20,3.9,6.3,1.2
2004/3/21,6.9,13.8,0.0
2004/3/22,3.8,7.0,1.6
2004/3/23,6.1,10.0,1.9
2004/3/24,7.8,11.7,3.8
2004/3/25,9.6,12.5,4.9
2004/3/26,9.4,14.8,5.6
2004/3/27,10.4,17.4,5.0
2004/3/28,11.1,19.4,2.1
2004/3/29,14.1,23.0,4.1
2004/3/30,14.3,20.8,10.0
2004/3/31,14.9,20.0,8.6
2004/4/1,13.1,19.1,6.2
2004/4/2,15.7,22.9,10.4
2004/4/3,14.8,20.6,10.2
2004/4/4,6.0,10.3,2.6
2004/4/5,9.5,16.7,3.0
2004/4/6,12.0,19.4,3.7
2004/4/7,16.0,23.1,9.2
2004/4/8,13.1,18.0,8.9
2004/4/9,13.4,21.3,6.7
2004/4/10,17.2,25.9,8.4
2004/4/11,16.5,22.0,12.1
2004/4/12,19.3,27.6,10.1
2004/4/13,11.3,18.3,9.3
2004/4/14,12.5,15.8,9.4
2004/4/15,15.4,23.1,8.3
2004/4/16,17.2,25.0,10.3
2004/4/17,18.8,29.2,10.4
2004/4/18,16.7,25.4,9.6
2004/4/19,15.6,17.2,13.1
2004/4/20,20.1,29.4,14.4
2004/4/21,19.4,27.4,13.9
2004/4/22,21.2,30.8,12.4
2004/4/23,17.4,24.8,11.5
2004/4/24,11.8,17.6,7.0
2004/4/25,13.0,20.5,6.2
2004/4/26,15.3,23.8,7.1
2004/4/27,15.4,21.6,11.1
2004/4/28,16.2,22.3,12.0
2004/4/29,18.2,26.6,11.5
2004/4/30,18.9,27.5,9.2
2004/5/1,18.5,27.3,11.5
