ダウンロードした時刻：2019/10/10 16:06:38

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/12/1,6.4,11.4,3.1
2008/12/2,6.9,13.1,2.3
2008/12/3,8.7,16.1,4.1
2008/12/4,11.0,18.5,5.1
2008/12/5,9.6,17.3,2.8
2008/12/6,2.7,6.8,-0.3
2008/12/7,2.6,9.6,-0.8
2008/12/8,6.1,11.4,-0.8
2008/12/9,10.6,14.2,7.9
2008/12/10,9.5,15.8,6.3
2008/12/11,10.5,17.3,5.1
2008/12/12,8.4,14.1,4.3
2008/12/13,7.9,14.7,3.4
2008/12/14,7.2,9.4,3.9
2008/12/15,5.3,10.9,2.0
2008/12/16,5.8,11.4,2.7
2008/12/17,9.1,15.1,5.3
2008/12/18,7.8,13.5,3.5
2008/12/19,6.3,11.5,2.2
2008/12/20,7.8,15.5,1.0
2008/12/21,12.3,18.1,7.4
2008/12/22,7.8,11.2,4.6
2008/12/23,4.7,9.0,2.9
2008/12/24,5.2,10.4,1.1
2008/12/25,7.4,13.0,2.6
2008/12/26,2.4,4.2,0.7
2008/12/27,2.6,7.4,0.4
2008/12/28,4.5,7.8,2.3
2008/12/29,5.6,10.7,2.0
2008/12/30,5.6,12.5,0.5
2008/12/31,1.9,5.0,0.6
2009/1/1,1.2,2.7,0.4
2009/1/2,3.8,6.5,0.6
2009/1/3,4.9,7.9,2.6
2009/1/4,4.7,8.5,1.4
2009/1/5,5.5,10.0,3.0
2009/1/6,4.5,6.9,3.3
2009/1/7,3.3,7.0,0.7
2009/1/8,4.2,10.9,-0.2
2009/1/9,7.0,12.4,2.9
2009/1/10,1.8,6.5,0.2
2009/1/11,1.2,4.3,-0.5
2009/1/12,1.7,4.8,-0.9
2009/1/13,0.6,2.3,-0.4
2009/1/14,1.6,6.7,-1.0
2009/1/15,0.7,2.7,-0.8
2009/1/16,0.7,6.5,-1.9
2009/1/17,2.1,6.9,-0.8
2009/1/18,4.2,9.3,-1.3
2009/1/19,5.1,10.5,1.8
2009/1/20,3.4,8.1,0.2
2009/1/21,3.2,7.2,-0.4
2009/1/22,4.1,7.1,1.0
2009/1/23,6.5,11.6,2.2
2009/1/24,0.0,2.7,-2.5
2009/1/25,1.1,6.6,-2.7
2009/1/26,3.1,8.0,-1.6
2009/1/27,2.8,9.0,-1.5
2009/1/28,3.0,10.2,-0.9
2009/1/29,7.2,15.7,-0.2
2009/1/30,9.8,12.3,7.3
2009/1/31,8.6,10.9,6.3
2009/2/1,5.0,6.5,3.2
2009/2/2,4.6,9.1,1.1
2009/2/3,4.2,7.8,0.5
2009/2/4,4.4,8.7,-0.1
2009/2/5,4.8,12.1,-1.5
2009/2/6,6.1,9.0,0.0
2009/2/7,4.7,13.1,-1.9
2009/2/8,5.0,8.3,-0.9
2009/2/9,4.0,11.1,-1.6
2009/2/10,5.2,9.7,2.3
2009/2/11,5.7,13.0,1.3
2009/2/12,7.0,12.8,3.0
2009/2/13,14.5,19.2,7.7
2009/2/14,12.2,18.6,5.3
2009/2/15,8.6,16.3,4.0
2009/2/16,3.9,9.0,0.0
2009/2/17,0.7,3.8,-1.0
2009/2/18,2.6,7.4,-0.5
2009/2/19,2.5,4.7,0.8
2009/2/20,4.2,8.0,1.0
2009/2/21,2.6,5.8,-0.3
2009/2/22,4.5,8.5,-0.4
2009/2/23,7.7,9.4,4.9
2009/2/24,7.5,12.4,3.1
2009/2/25,9.2,10.2,7.7
2009/2/26,7.4,10.7,3.2
2009/2/27,4.8,7.1,3.1
2009/2/28,6.1,11.2,2.4
2009/3/1,6.9,12.8,1.3
2009/3/2,4.7,7.0,2.1
2009/3/3,4.2,6.3,3.0
2009/3/4,5.3,8.9,2.2
2009/3/5,6.2,12.0,0.0
2009/3/6,10.4,13.0,6.9
2009/3/7,7.1,11.5,3.5
2009/3/8,6.9,11.7,3.0
2009/3/9,7.1,11.9,2.2
2009/3/10,7.4,13.8,3.5
2009/3/11,4.3,9.5,1.2
2009/3/12,3.9,10.2,-0.9
2009/3/13,9.4,14.1,1.2
2009/3/14,5.8,13.3,1.9
2009/3/15,5.6,12.7,1.0
2009/3/16,9.0,16.4,1.2
2009/3/17,11.6,17.9,6.3
2009/3/18,16.1,24.4,8.0
2009/3/19,17.1,24.4,11.1
2009/3/20,10.5,18.1,5.4
2009/3/21,10.2,18.5,1.2
2009/3/22,15.5,19.8,10.7
2009/3/23,7.8,10.9,3.1
2009/3/24,6.3,12.5,0.8
2009/3/25,4.8,12.2,1.3
2009/3/26,4.1,9.5,-0.1
2009/3/27,5.0,9.6,2.1
2009/3/28,5.5,11.0,0.7
2009/3/29,6.0,9.3,2.0
2009/3/30,6.2,11.2,2.1
2009/3/31,7.5,18.1,0.9
