ダウンロードした時刻：2019/10/10 16:13:03

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,14.6,17.5,10.9
1993/12/2,12.6,17.6,7.4
1993/12/3,15.5,20.7,12.2
1993/12/4,9.6,13.1,6.8
1993/12/5,7.8,11.7,3.7
1993/12/6,8.6,12.3,4.5
1993/12/7,7.5,11.4,3.1
1993/12/8,8.2,12.9,3.8
1993/12/9,8.6,13.5,4.2
1993/12/10,11.0,16.7,6.2
1993/12/11,10.9,13.9,6.7
1993/12/12,7.8,12.9,3.9
1993/12/13,9.1,13.9,3.9
1993/12/14,9.6,11.0,7.6
1993/12/15,6.5,9.0,3.6
1993/12/16,5.2,10.4,0.8
1993/12/17,6.4,9.6,3.2
1993/12/18,6.4,9.4,3.4
1993/12/19,6.7,11.3,2.6
1993/12/20,7.3,8.8,5.7
1993/12/21,7.4,11.9,3.9
1993/12/22,5.4,7.2,3.6
1993/12/23,5.8,8.4,4.0
1993/12/24,7.2,12.4,3.7
1993/12/25,7.2,14.0,2.6
1993/12/26,9.3,16.1,2.9
1993/12/27,9.8,11.9,7.6
1993/12/28,8.7,10.5,7.0
1993/12/29,7.4,10.0,4.1
1993/12/30,6.6,12.1,1.0
1993/12/31,9.5,15.4,5.8
1994/1/1,5.5,8.4,1.5
1994/1/2,5.7,12.8,0.3
1994/1/3,7.2,12.3,2.6
1994/1/4,8.5,12.3,5.4
1994/1/5,6.3,10.5,2.5
1994/1/6,7.2,12.8,2.8
1994/1/7,6.7,9.7,2.6
1994/1/8,4.3,9.3,0.1
1994/1/9,5.8,11.4,0.4
1994/1/10,7.7,13.6,2.8
1994/1/11,7.9,12.9,3.3
1994/1/12,7.4,10.3,4.0
1994/1/13,6.5,8.4,5.0
1994/1/14,6.3,10.2,3.9
1994/1/15,4.7,7.5,1.4
1994/1/16,5.2,12.0,-0.4
1994/1/17,11.9,17.7,4.0
1994/1/18,9.7,12.5,6.7
1994/1/19,5.0,7.5,3.1
1994/1/20,4.2,7.4,2.4
1994/1/21,4.6,7.8,1.8
1994/1/22,4.1,7.9,0.2
1994/1/23,3.0,7.7,-0.4
1994/1/24,2.9,6.7,0.3
1994/1/25,4.5,11.4,-0.7
1994/1/26,7.0,13.8,1.0
1994/1/27,8.0,10.5,4.7
1994/1/28,4.3,7.1,2.1
1994/1/29,4.3,6.5,1.4
1994/1/30,2.2,4.6,0.9
1994/1/31,3.2,8.5,-1.8
1994/2/1,7.4,12.1,3.7
1994/2/2,4.9,7.2,2.7
1994/2/3,4.8,7.2,3.1
1994/2/4,5.3,7.9,2.5
1994/2/5,7.8,12.8,4.7
1994/2/6,7.4,12.7,2.3
1994/2/7,8.8,13.2,5.3
1994/2/8,7.7,12.7,2.0
1994/2/9,7.5,10.8,5.5
1994/2/10,4.1,6.1,2.2
1994/2/11,4.1,7.2,0.8
1994/2/12,2.2,5.0,0.8
1994/2/13,4.4,7.4,1.3
1994/2/14,6.3,10.0,3.3
1994/2/15,4.2,6.8,2.9
1994/2/16,5.4,9.7,1.5
1994/2/17,5.6,9.6,1.3
1994/2/18,5.8,11.6,0.3
1994/2/19,8.2,15.5,1.3
1994/2/20,10.9,16.2,6.8
1994/2/21,8.9,12.1,4.4
1994/2/22,6.7,9.9,4.5
1994/2/23,6.6,9.9,3.8
1994/2/24,3.8,6.4,2.7
1994/2/25,5.5,8.2,2.9
1994/2/26,5.9,9.5,3.8
1994/2/27,5.4,8.6,3.2
1994/2/28,6.1,11.0,1.6
1994/3/1,7.3,12.4,2.3
1994/3/2,6.5,10.1,3.4
1994/3/3,6.2,10.9,1.0
1994/3/4,7.1,12.5,2.6
1994/3/5,6.6,12.7,2.1
1994/3/6,6.5,11.0,2.2
1994/3/7,7.8,14.3,2.2
1994/3/8,13.2,16.9,9.0
1994/3/9,12.4,17.3,9.3
1994/3/10,7.7,10.3,3.9
1994/3/11,6.3,10.2,1.4
1994/3/12,5.7,6.8,4.7
1994/3/13,7.1,10.2,4.4
1994/3/14,5.8,10.5,2.3
1994/3/15,5.6,9.7,2.3
1994/3/16,6.2,10.4,0.5
1994/3/17,8.9,12.6,5.9
1994/3/18,8.9,14.4,3.0
1994/3/19,11.1,16.0,7.0
1994/3/20,9.3,14.1,6.4
1994/3/21,7.7,11.6,4.9
1994/3/22,7.7,11.6,2.4
1994/3/23,9.5,11.7,7.6
1994/3/24,9.2,12.6,6.5
1994/3/25,7.0,9.7,4.2
1994/3/26,5.8,10.6,2.0
1994/3/27,7.2,11.4,4.0
1994/3/28,9.6,13.8,2.5
1994/3/29,10.8,15.2,6.0
1994/3/30,8.6,14.7,2.5
1994/3/31,12.6,20.4,5.2
