ダウンロードした時刻：2019/10/10 15:52:48

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,11.5,15.5,7.3
1998/12/2,10.0,12.3,7.7
1998/12/3,8.8,10.4,6.8
1998/12/4,10.8,13.6,6.7
1998/12/5,11.4,13.3,10.0
1998/12/6,10.5,14.1,5.3
1998/12/7,12.2,14.9,5.5
1998/12/8,10.6,13.7,7.8
1998/12/9,7.8,10.3,5.9
1998/12/10,6.2,7.7,4.9
1998/12/11,6.6,10.0,3.8
1998/12/12,7.2,9.7,5.5
1998/12/13,8.7,13.6,4.5
1998/12/14,11.0,14.7,7.5
1998/12/15,9.9,11.8,7.4
1998/12/16,9.9,14.8,6.7
1998/12/17,10.7,15.4,7.3
1998/12/18,7.4,11.4,2.3
1998/12/19,10.9,16.5,5.7
1998/12/20,9.6,14.6,7.5
1998/12/21,7.2,10.8,2.2
1998/12/22,9.6,16.2,2.1
1998/12/23,10.2,13.1,6.4
1998/12/24,7.9,10.0,6.3
1998/12/25,7.8,11.5,4.2
1998/12/26,7.3,9.6,2.7
1998/12/27,5.2,11.5,1.3
1998/12/28,6.5,12.3,1.7
1998/12/29,9.4,14.5,4.2
1998/12/30,7.3,10.1,3.9
1998/12/31,3.4,5.1,1.2
1999/1/1,3.7,4.7,2.3
1999/1/2,5.3,8.5,3.3
1999/1/3,5.5,6.9,3.9
1999/1/4,5.2,7.8,2.9
1999/1/5,5.6,11.9,0.5
1999/1/6,8.4,12.9,2.9
1999/1/7,6.1,11.8,1.8
1999/1/8,0.4,3.5,-1.2
1999/1/9,0.8,2.5,-0.3
1999/1/10,2.1,4.8,0.3
1999/1/11,4.0,5.6,2.1
1999/1/12,2.4,5.5,0.4
1999/1/13,1.6,4.8,0.4
1999/1/14,3.7,6.3,2.1
1999/1/15,3.7,5.4,1.9
1999/1/16,4.3,8.1,1.7
1999/1/17,3.2,5.9,-1.0
1999/1/18,5.1,11.4,-1.3
1999/1/19,5.9,8.4,1.1
1999/1/20,6.7,11.7,3.6
1999/1/21,3.9,6.2,2.0
1999/1/22,5.7,11.3,1.7
1999/1/23,7.5,13.1,4.6
1999/1/24,6.4,11.3,4.0
1999/1/25,8.2,10.4,5.6
1999/1/26,7.2,10.3,3.3
1999/1/27,6.9,11.1,3.2
1999/1/28,6.8,8.3,4.5
1999/1/29,3.0,5.6,0.5
1999/1/30,2.1,4.0,0.5
1999/1/31,5.0,10.7,1.9
1999/2/1,5.7,10.1,1.1
1999/2/2,4.0,7.3,0.8
1999/2/3,-0.6,2.7,-2.7
1999/2/4,0.5,3.8,-2.5
1999/2/5,2.0,5.1,0.4
1999/2/6,2.6,5.3,-0.5
1999/2/7,4.9,10.3,-0.4
1999/2/8,7.1,11.3,2.4
1999/2/9,6.0,12.3,0.1
1999/2/10,4.8,8.1,2.2
1999/2/11,4.6,7.4,2.8
1999/2/12,1.5,5.8,0.0
1999/2/13,0.2,1.6,-1.4
1999/2/14,0.3,3.8,-1.3
1999/2/15,3.6,7.4,0.9
1999/2/16,6.0,12.7,0.7
1999/2/17,9.1,14.7,3.5
1999/2/18,8.0,10.5,5.8
1999/2/19,3.5,6.3,0.2
1999/2/20,3.3,8.8,-0.5
1999/2/21,0.9,2.6,0.0
1999/2/22,2.8,7.3,0.1
1999/2/23,4.5,9.0,1.5
1999/2/24,5.9,9.0,2.0
1999/2/25,7.8,11.3,2.5
1999/2/26,8.2,12.5,1.7
1999/2/27,6.2,12.3,0.7
1999/2/28,3.2,6.6,0.6
1999/3/1,7.7,14.3,2.1
1999/3/2,8.6,13.6,5.1
1999/3/3,8.2,13.9,3.4
1999/3/4,10.8,17.6,3.3
1999/3/5,13.7,16.8,10.6
1999/3/6,7.6,11.1,5.7
1999/3/7,7.7,11.3,6.3
1999/3/8,8.2,11.3,5.6
1999/3/9,7.0,8.9,4.5
1999/3/10,7.2,12.8,2.3
1999/3/11,7.7,9.8,5.5
1999/3/12,5.2,8.7,1.7
1999/3/13,10.6,15.7,1.4
1999/3/14,14.7,19.2,11.0
1999/3/15,14.6,17.3,10.5
1999/3/16,10.3,12.5,7.5
1999/3/17,13.9,20.2,5.6
1999/3/18,17.3,21.2,14.2
1999/3/19,14.0,17.2,7.7
1999/3/20,6.2,7.9,3.8
1999/3/21,6.1,7.8,3.4
1999/3/22,3.4,7.4,0.7
1999/3/23,4.8,9.4,1.9
1999/3/24,11.9,17.5,2.2
1999/3/25,14.3,21.2,9.6
1999/3/26,16.1,18.8,13.5
1999/3/27,10.0,13.5,6.9
1999/3/28,7.0,11.0,2.6
1999/3/29,4.4,7.2,2.7
1999/3/30,5.5,8.0,1.8
1999/3/31,9.3,12.2,6.5
