ダウンロードした時刻：2017/07/24 15:40:31

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,4.9,12.1,-1.0
2000/1/2,3.6,9.3,-2.9
2000/1/3,7.2,12.3,2.9
2000/1/4,5.5,13.3,-1.7
2000/1/5,5.9,12.1,-1.8
2000/1/6,9.9,15.4,5.3
2000/1/7,10.7,15.9,6.9
2000/1/8,6.8,10.9,2.4
2000/1/9,6.6,12.0,-0.9
2000/1/10,9.6,15.4,5.9
2000/1/11,5.6,10.9,0.7
2000/1/12,2.3,6.0,-0.1
2000/1/13,6.2,8.5,2.5
2000/1/14,9.8,16.0,6.4
2000/1/15,6.4,10.8,1.9
2000/1/16,4.0,10.2,-1.3
2000/1/17,5.5,9.5,3.1
2000/1/18,6.0,9.1,3.1
2000/1/19,4.3,7.7,2.6
2000/1/20,5.3,12.0,-0.4
2000/1/21,2.3,6.2,-1.2
2000/1/22,1.3,6.4,-3.1
2000/1/23,4.6,11.9,-1.3
2000/1/24,4.6,10.2,0.2
2000/1/25,2.9,5.6,-0.4
2000/1/26,0.1,5.9,-5.5
2000/1/27,-0.8,5.1,-6.0
2000/1/28,0.3,8.3,-6.5
2000/1/29,2.5,10.2,-4.4
2000/1/30,5.7,13.9,-1.1
2000/1/31,3.3,8.5,-1.0
2000/2/1,1.9,8.7,-4.9
2000/2/2,3.6,11.3,-2.3
2000/2/3,3.2,11.7,-3.3
2000/2/4,3.9,9.8,-0.2
2000/2/5,2.9,10.4,-4.1
2000/2/6,4.3,10.1,-2.0
2000/2/7,6.8,13.7,0.7
2000/2/8,4.4,10.3,-0.2
2000/2/9,2.4,6.9,-1.0
2000/2/10,1.8,8.3,-5.0
2000/2/11,2.9,10.6,-4.3
2000/2/12,3.2,9.7,-3.0
2000/2/13,4.6,11.3,-0.6
2000/2/14,3.4,7.5,0.6
2000/2/15,2.0,8.7,-1.1
2000/2/16,-0.2,5.5,-4.9
2000/2/17,0.8,7.8,-6.2
2000/2/18,1.1,7.3,-4.4
2000/2/19,1.4,7.2,-6.3
2000/2/20,2.7,4.8,-0.5
2000/2/21,1.9,8.0,-2.5
2000/2/22,2.2,7.8,-2.5
2000/2/23,2.1,8.4,-4.6
2000/2/24,1.5,8.7,-2.3
2000/2/25,-0.1,6.3,-6.6
2000/2/26,-0.8,3.7,-5.6
2000/2/27,2.1,7.9,-1.9
2000/2/28,3.7,12.8,-3.0
2000/2/29,2.3,8.0,-1.3
2000/3/1,1.6,9.6,-5.0
2000/3/2,4.0,13.6,-3.6
2000/3/3,6.8,15.7,-2.0
2000/3/4,8.3,15.2,0.7
2000/3/5,9.9,16.2,3.0
2000/3/6,5.5,7.3,3.7
2000/3/7,7.4,16.4,-0.1
2000/3/8,5.4,12.2,0.7
2000/3/9,2.1,10.2,-4.2
2000/3/10,2.6,9.3,-3.3
2000/3/11,4.7,11.6,-3.2
2000/3/12,6.1,9.3,3.6
2000/3/13,6.7,15.7,0.0
2000/3/14,6.0,11.7,0.8
2000/3/15,5.4,12.2,-2.1
2000/3/16,4.8,7.3,2.2
2000/3/17,5.6,12.8,-0.6
2000/3/18,7.3,15.9,-2.6
2000/3/19,9.9,16.9,1.5
2000/3/20,8.2,12.9,2.7
2000/3/21,5.3,10.2,0.1
2000/3/22,6.8,13.2,3.3
2000/3/23,7.0,12.7,-1.2
2000/3/24,10.3,14.4,2.7
2000/3/25,7.0,13.3,0.4
2000/3/26,4.8,12.3,-1.6
2000/3/27,5.9,13.1,-2.7
2000/3/28,9.8,15.8,1.9
2000/3/29,14.6,20.1,7.0
2000/3/30,11.8,18.5,5.0
2000/3/31,8.9,14.7,1.2
2000/4/1,10.3,14.4,4.8
2000/4/2,10.0,16.3,1.7
2000/4/3,7.2,10.8,2.1
2000/4/4,7.7,13.6,-0.3
2000/4/5,11.8,14.9,7.1
2000/4/6,12.7,17.2,5.3
2000/4/7,11.7,17.7,5.0
2000/4/8,11.5,19.3,5.5
2000/4/9,10.1,16.1,1.4
2000/4/10,14.1,18.7,8.4
2000/4/11,11.5,18.0,7.1
2000/4/12,13.6,21.4,3.4
2000/4/13,12.8,19.1,5.5
2000/4/14,15.7,23.0,9.3
2000/4/15,10.3,13.6,7.0
2000/4/16,8.7,13.9,4.6
2000/4/17,9.5,15.0,3.3
2000/4/18,11.4,17.5,5.0
2000/4/19,12.8,20.2,7.4
2000/4/20,11.2,13.3,9.4
2000/4/21,14.0,16.9,10.7
2000/4/22,17.9,24.6,13.7
2000/4/23,13.4,23.5,7.0
2000/4/24,11.2,19.7,4.0
2000/4/25,13.7,21.6,5.2
2000/4/26,11.2,15.9,8.7
2000/4/27,13.3,19.7,10.1
2000/4/28,13.8,21.8,8.7
2000/4/29,14.6,21.4,7.6
2000/4/30,14.5,20.6,6.0
2000/5/1,17.3,22.7,12.2
