ダウンロードした時刻：2017/07/24 15:42:09

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,6.2,10.6,1.6
2009/1/2,6.9,11.6,3.1
2009/1/3,6.6,10.7,2.0
2009/1/4,7.5,11.1,4.3
2009/1/5,8.5,11.8,5.6
2009/1/6,8.6,12.5,5.6
2009/1/7,7.0,9.1,5.1
2009/1/8,6.7,9.8,3.8
2009/1/9,4.4,6.8,2.8
2009/1/10,5.6,10.8,2.8
2009/1/11,5.1,7.9,2.0
2009/1/12,4.5,8.4,0.6
2009/1/13,5.1,10.3,0.0
2009/1/14,5.9,9.8,1.1
2009/1/15,4.3,7.6,2.2
2009/1/16,5.0,9.0,0.3
2009/1/17,6.4,11.6,0.8
2009/1/18,6.0,8.3,3.2
2009/1/19,9.1,15.3,4.5
2009/1/20,7.5,9.2,5.6
2009/1/21,6.6,9.1,5.1
2009/1/22,5.9,7.2,4.5
2009/1/23,10.3,14.8,6.7
2009/1/24,6.8,11.6,3.9
2009/1/25,5.9,10.0,1.9
2009/1/26,6.5,10.7,1.1
2009/1/27,7.6,11.3,4.2
2009/1/28,6.7,9.3,4.3
2009/1/29,8.9,10.9,7.0
2009/1/30,9.6,11.5,8.3
2009/1/31,7.8,8.9,5.7
2009/2/1,7.9,10.9,5.1
2009/2/2,6.2,8.9,3.4
2009/2/3,8.9,14.1,3.6
2009/2/4,7.5,9.9,5.9
2009/2/5,7.4,9.7,4.7
2009/2/6,7.9,12.0,5.0
2009/2/7,7.1,10.4,4.0
2009/2/8,7.4,11.9,3.8
2009/2/9,6.1,8.1,3.7
2009/2/10,8.7,14.3,4.3
2009/2/11,6.9,8.5,5.4
2009/2/12,9.8,15.3,3.7
2009/2/13,11.4,17.6,5.7
2009/2/14,18.1,23.9,13.3
2009/2/15,12.7,14.9,10.6
2009/2/16,10.5,15.4,3.8
2009/2/17,4.9,8.8,1.7
2009/2/18,6.1,10.3,2.2
2009/2/19,6.6,9.3,3.0
2009/2/20,6.3,11.1,2.7
2009/2/21,6.4,9.9,4.0
2009/2/22,7.7,14.0,1.4
2009/2/23,6.6,9.7,5.2
2009/2/24,5.2,7.4,4.2
2009/2/25,7.6,10.6,4.8
2009/2/26,6.9,9.9,4.1
2009/2/27,3.4,5.3,1.8
2009/2/28,6.8,10.3,3.4
2009/3/1,7.1,9.0,5.5
2009/3/2,6.9,10.6,3.2
2009/3/3,3.2,6.0,1.2
2009/3/4,5.8,9.2,1.1
2009/3/5,8.6,11.9,5.3
2009/3/6,8.1,12.6,5.6
2009/3/7,11.6,14.7,9.3
2009/3/8,8.6,9.8,7.7
2009/3/9,10.2,12.7,7.9
2009/3/10,11.5,17.6,6.6
2009/3/11,7.6,11.6,4.8
2009/3/12,8.1,11.8,4.1
2009/3/13,10.0,13.6,4.5
2009/3/14,11.6,16.3,6.4
2009/3/15,9.4,13.9,4.9
2009/3/16,11.1,14.9,6.3
2009/3/17,14.4,18.7,10.2
2009/3/18,15.1,20.7,9.0
2009/3/19,17.2,23.2,11.1
2009/3/20,15.3,19.9,9.1
2009/3/21,11.8,15.5,8.2
2009/3/22,15.3,17.0,13.0
2009/3/23,12.7,16.5,7.8
2009/3/24,8.6,10.9,6.8
2009/3/25,8.0,10.6,6.1
2009/3/26,8.0,11.7,5.1
2009/3/27,7.8,13.0,3.6
2009/3/28,7.8,10.8,4.9
2009/3/29,8.1,13.0,4.4
2009/3/30,8.7,12.7,5.0
2009/3/31,10.7,13.6,7.3
2009/4/1,9.9,12.5,5.7
2009/4/2,9.8,14.8,5.4
2009/4/3,12.3,17.2,7.2
2009/4/4,13.8,18.1,9.4
2009/4/5,14.5,19.0,10.3
2009/4/6,14.9,19.2,10.5
2009/4/7,16.0,20.7,11.3
2009/4/8,16.2,20.4,12.0
2009/4/9,18.3,24.3,12.9
2009/4/10,18.6,23.2,14.6
2009/4/11,18.1,26.1,13.3
2009/4/12,16.3,20.6,12.1
2009/4/13,18.8,23.1,14.4
2009/4/14,17.9,23.0,15.1
2009/4/15,19.7,24.4,15.3
2009/4/16,17.7,22.8,14.7
2009/4/17,12.7,15.4,11.5
2009/4/18,15.2,18.9,11.7
2009/4/19,17.4,22.5,14.2
2009/4/20,16.8,20.2,13.3
2009/4/21,18.1,20.2,16.3
2009/4/22,19.7,24.3,16.8
2009/4/23,17.1,21.6,14.0
2009/4/24,13.3,16.4,10.2
2009/4/25,11.2,13.3,10.0
2009/4/26,16.8,22.7,11.8
2009/4/27,14.4,19.4,10.8
2009/4/28,13.0,17.6,9.1
2009/4/29,15.5,20.8,9.9
2009/4/30,17.8,23.0,12.1
2009/5/1,19.5,23.8,14.0
