ダウンロードした時刻：2019/10/10 15:45:39

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,9.3,15.0,4.5
2009/12/2,10.6,17.5,5.7
2009/12/3,8.8,11.0,5.5
2009/12/4,9.1,11.9,5.4
2009/12/5,9.4,14.6,3.0
2009/12/6,8.5,11.5,5.8
2009/12/7,6.2,9.0,3.0
2009/12/8,5.4,11.1,1.2
2009/12/9,7.8,11.8,3.7
2009/12/10,9.1,13.5,5.4
2009/12/11,10.1,11.6,7.9
2009/12/12,11.6,14.5,7.8
2009/12/13,6.9,8.8,5.9
2009/12/14,4.5,7.9,0.7
2009/12/15,4.4,7.5,0.8
2009/12/16,4.2,6.2,2.4
2009/12/17,1.7,4.2,0.4
2009/12/18,0.7,2.2,-0.2
2009/12/19,0.3,1.5,-0.7
2009/12/20,1.8,4.3,0.5
2009/12/21,0.6,2.8,-0.5
2009/12/22,3.2,5.9,-0.1
2009/12/23,5.4,9.2,2.8
2009/12/24,4.2,8.7,1.1
2009/12/25,4.6,9.1,0.5
2009/12/26,6.9,9.6,3.8
2009/12/27,3.9,7.6,1.4
2009/12/28,3.6,6.6,1.2
2009/12/29,3.8,7.7,1.4
2009/12/30,6.6,11.0,1.1
2009/12/31,1.0,4.6,-0.9
2010/1/1,0.5,2.0,-0.5
2010/1/2,2.1,4.4,0.5
2010/1/3,1.4,3.1,0.3
2010/1/4,3.6,7.3,0.2
2010/1/5,2.5,7.2,0.7
2010/1/6,1.0,1.9,0.4
2010/1/7,2.4,5.5,0.5
2010/1/8,2.1,5.3,0.1
2010/1/9,2.7,6.2,0.9
2010/1/10,2.4,4.1,0.5
2010/1/11,3.7,8.9,0.1
2010/1/12,4.0,6.0,2.0
2010/1/13,0.7,4.0,-1.5
2010/1/14,-0.5,0.7,-1.7
2010/1/15,0.6,1.8,-0.6
2010/1/16,0.7,3.8,-1.1
2010/1/17,0.9,4.9,-2.4
2010/1/18,2.7,6.9,-2.3
2010/1/19,4.3,9.3,1.0
2010/1/20,8.8,14.1,0.3
2010/1/21,5.1,11.0,0.9
2010/1/22,3.3,7.4,0.2
2010/1/23,2.3,7.3,0.6
2010/1/24,5.0,9.8,1.3
2010/1/25,5.5,8.7,3.1
2010/1/26,2.8,6.4,0.3
2010/1/27,5.9,12.2,-0.2
2010/1/28,8.6,11.3,5.6
2010/1/29,5.1,6.9,3.3
2010/1/30,5.9,10.6,3.1
2010/1/31,7.7,12.9,3.3
2010/2/1,5.3,7.3,3.0
2010/2/2,3.6,8.4,0.2
2010/2/3,0.1,2.5,-1.3
2010/2/4,-0.1,2.1,-2.0
2010/2/5,0.6,3.8,-0.6
2010/2/6,-0.3,2.1,-2.2
2010/2/7,1.6,6.0,-0.9
2010/2/8,2.9,7.1,-1.2
2010/2/9,6.7,9.4,3.7
2010/2/10,3.4,4.6,1.6
2010/2/11,1.8,3.5,0.4
2010/2/12,0.9,1.5,0.4
2010/2/13,1.3,4.0,-1.0
2010/2/14,2.0,6.0,-2.5
2010/2/15,3.6,5.0,2.2
2010/2/16,1.7,4.9,0.2
2010/2/17,0.5,2.5,-1.8
2010/2/18,1.5,6.2,-2.8
2010/2/19,1.8,5.8,0.6
2010/2/20,2.6,7.7,0.6
2010/2/21,2.6,6.5,-0.6
2010/2/22,7.3,14.8,-1.5
2010/2/23,7.4,12.3,2.9
2010/2/24,8.4,16.4,1.6
2010/2/25,15.9,22.5,9.0
2010/2/26,14.3,17.8,10.0
2010/2/27,8.1,10.6,6.8
2010/2/28,6.0,7.3,4.2
2010/3/1,6.4,9.5,3.7
2010/3/2,6.7,8.9,5.1
2010/3/3,7.2,10.9,5.7
2010/3/4,8.2,14.5,4.2
2010/3/5,11.3,15.3,9.0
2010/3/6,8.2,9.6,7.1
2010/3/7,3.8,7.8,1.8
2010/3/8,4.6,7.7,1.8
2010/3/9,1.9,4.1,0.4
2010/3/10,3.4,7.3,0.9
2010/3/11,4.1,8.8,0.5
2010/3/12,9.8,16.4,2.1
2010/3/13,8.7,14.1,3.9
2010/3/14,5.9,10.6,1.6
2010/3/15,13.0,19.1,2.6
2010/3/16,8.9,16.0,4.0
2010/3/17,4.9,9.1,2.1
2010/3/18,5.5,9.1,4.1
2010/3/19,8.1,13.3,3.0
2010/3/20,18.3,25.7,10.2
2010/3/21,7.7,20.1,3.2
2010/3/22,6.6,12.3,1.5
2010/3/23,8.8,11.4,6.1
2010/3/24,7.3,8.8,6.5
2010/3/25,4.8,6.6,2.5
2010/3/26,2.7,5.0,0.7
2010/3/27,4.6,11.1,-0.4
2010/3/28,4.5,8.1,2.4
2010/3/29,2.9,6.6,0.4
2010/3/30,3.0,7.9,-1.9
2010/3/31,8.6,14.9,-0.7
