ダウンロードした時刻：2019/10/10 15:53:27

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,10.4,16.1,4.5
2004/12/2,11.1,17.3,7.0
2004/12/3,11.4,16.1,4.7
2004/12/4,13.5,16.2,10.6
2004/12/5,14.7,19.7,9.8
2004/12/6,9.0,12.9,4.5
2004/12/7,8.1,13.9,2.8
2004/12/8,10.4,16.9,5.3
2004/12/9,9.7,15.9,4.3
2004/12/10,11.6,19.1,5.7
2004/12/11,12.0,18.1,7.3
2004/12/12,10.1,15.8,4.9
2004/12/13,11.1,16.1,6.7
2004/12/14,9.1,15.8,3.0
2004/12/15,9.9,17.8,3.8
2004/12/16,9.2,16.2,2.7
2004/12/17,8.2,12.4,4.4
2004/12/18,8.7,14.8,2.2
2004/12/19,10.7,14.7,5.5
2004/12/20,12.5,16.7,9.6
2004/12/21,9.1,12.2,4.6
2004/12/22,6.5,10.2,3.9
2004/12/23,5.6,9.8,1.9
2004/12/24,5.7,10.7,0.7
2004/12/25,7.0,13.0,0.1
2004/12/26,6.3,8.9,4.4
2004/12/27,5.8,9.6,3.4
2004/12/28,5.1,10.7,0.4
2004/12/29,4.4,6.9,2.9
2004/12/30,4.2,9.1,0.0
2004/12/31,1.9,4.2,0.4
2005/1/1,3.1,7.3,-0.3
2005/1/2,2.2,8.2,-2.6
2005/1/3,5.2,11.2,-0.4
2005/1/4,5.8,9.7,3.4
2005/1/5,3.7,7.4,0.5
2005/1/6,3.9,7.9,-0.3
2005/1/7,5.5,11.5,2.1
2005/1/8,4.0,7.9,0.9
2005/1/9,2.6,7.7,-0.6
2005/1/10,2.6,6.9,-1.2
2005/1/11,3.1,5.6,0.5
2005/1/12,2.6,6.5,-0.9
2005/1/13,3.3,8.8,-2.3
2005/1/14,5.7,11.6,0.2
2005/1/15,6.9,11.7,5.2
2005/1/16,6.1,9.7,2.6
2005/1/17,5.7,10.8,0.8
2005/1/18,5.7,10.9,0.7
2005/1/19,5.7,9.5,1.1
2005/1/20,3.4,6.6,0.9
2005/1/21,2.5,5.4,-0.3
2005/1/22,3.8,8.4,-0.6
2005/1/23,3.4,7.4,0.5
2005/1/24,5.0,12.5,-2.0
2005/1/25,7.6,11.5,5.2
2005/1/26,6.0,9.0,1.8
2005/1/27,4.8,9.1,-0.2
2005/1/28,6.7,14.3,0.3
2005/1/29,6.2,9.2,1.8
2005/1/30,4.9,8.5,1.9
2005/1/31,2.4,6.9,-0.3
2005/2/1,0.6,5.6,-3.3
2005/2/2,-0.1,3.1,-3.2
2005/2/3,2.3,5.9,-0.7
2005/2/4,3.2,7.2,0.1
2005/2/5,5.2,7.6,2.8
2005/2/6,4.4,8.1,1.1
2005/2/7,4.5,8.5,-1.0
2005/2/8,5.7,8.5,3.9
2005/2/9,7.7,14.6,0.1
2005/2/10,7.5,12.9,3.3
2005/2/11,4.0,8.5,0.6
2005/2/12,4.0,8.4,-0.2
2005/2/13,3.4,8.6,-1.1
2005/2/14,5.1,11.0,1.1
2005/2/15,7.1,13.8,0.5
2005/2/16,6.8,8.4,4.4
2005/2/17,9.2,13.6,5.5
2005/2/18,5.6,8.3,2.0
2005/2/19,6.7,8.4,4.5
2005/2/20,5.4,8.9,1.3
2005/2/21,2.6,8.0,-0.5
2005/2/22,3.3,8.7,-1.8
2005/2/23,7.0,14.2,1.1
2005/2/24,6.5,9.3,3.3
2005/2/25,6.7,12.1,2.8
2005/2/26,3.7,7.7,-0.7
2005/2/27,3.7,9.0,-1.2
2005/2/28,4.5,9.0,0.7
2005/3/1,4.9,11.1,0.1
2005/3/2,4.5,9.4,-0.9
2005/3/3,6.4,12.0,1.8
2005/3/4,6.1,10.9,3.5
2005/3/5,6.1,11.7,2.2
2005/3/6,5.6,12.6,0.1
2005/3/7,6.5,13.5,-1.4
2005/3/8,9.4,17.1,1.7
2005/3/9,11.2,17.3,5.2
2005/3/10,11.9,19.8,5.4
2005/3/11,11.4,12.7,9.0
2005/3/12,6.1,11.0,0.7
2005/3/13,2.0,6.2,-0.5
2005/3/14,3.3,8.2,-0.3
2005/3/15,4.9,9.0,1.1
2005/3/16,9.5,17.1,2.5
2005/3/17,8.7,11.5,6.7
2005/3/18,8.7,12.3,4.9
2005/3/19,7.9,13.3,2.7
2005/3/20,7.4,13.1,1.7
2005/3/21,10.1,17.3,3.8
2005/3/22,10.3,13.0,7.0
2005/3/23,10.2,12.9,5.7
2005/3/24,8.5,16.3,3.5
2005/3/25,3.9,7.1,1.3
2005/3/26,6.1,11.1,2.1
2005/3/27,10.6,18.7,2.1
2005/3/28,10.8,12.0,9.7
2005/3/29,10.0,12.9,5.3
2005/3/30,8.2,13.0,3.5
2005/3/31,9.7,17.4,3.5
