ダウンロードした時刻：2019/10/10 16:10:07

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,11.6,15.2,7.2
1992/12/2,10.3,13.7,7.4
1992/12/3,9.0,12.6,6.4
1992/12/4,8.7,13.1,4.6
1992/12/5,7.3,12.4,2.5
1992/12/6,10.1,15.2,4.3
1992/12/7,15.6,19.4,12.0
1992/12/8,14.9,18.6,9.5
1992/12/9,10.5,15.0,5.5
1992/12/10,9.6,11.7,7.1
1992/12/11,5.9,10.6,2.6
1992/12/12,6.7,10.7,2.5
1992/12/13,8.1,15.4,3.2
1992/12/14,5.6,8.5,1.6
1992/12/15,3.9,8.2,0.3
1992/12/16,5.0,10.5,-0.3
1992/12/17,6.9,10.3,4.1
1992/12/18,6.4,10.9,1.8
1992/12/19,5.7,10.4,1.2
1992/12/20,6.4,7.9,4.4
1992/12/21,9.6,11.6,7.4
1992/12/22,8.6,13.1,5.0
1992/12/23,5.3,9.2,1.3
1992/12/24,3.1,5.7,0.8
1992/12/25,3.5,8.1,-0.5
1992/12/26,5.4,10.7,0.2
1992/12/27,6.5,11.0,1.7
1992/12/28,9.9,12.3,7.4
1992/12/29,10.4,13.7,6.9
1992/12/30,7.7,11.7,3.0
1992/12/31,7.0,10.9,4.0
1993/1/1,4.6,9.3,0.3
1993/1/2,5.4,11.3,0.7
1993/1/3,7.5,13.0,2.8
1993/1/4,7.7,10.4,5.5
1993/1/5,5.7,10.5,1.6
1993/1/6,4.6,7.9,0.9
1993/1/7,8.7,11.0,6.4
1993/1/8,9.0,10.7,6.6
1993/1/9,5.8,8.7,2.1
1993/1/10,7.0,8.4,5.3
1993/1/11,7.7,9.5,6.4
1993/1/12,6.8,9.7,4.5
1993/1/13,7.3,10.4,4.0
1993/1/14,7.6,8.5,6.6
1993/1/15,8.6,9.9,7.2
1993/1/16,8.4,12.2,5.1
1993/1/17,5.4,8.8,2.4
1993/1/18,5.1,10.4,1.1
1993/1/19,2.8,7.3,-0.9
1993/1/20,3.0,8.9,-0.8
1993/1/21,3.0,7.7,-1.9
1993/1/22,3.9,8.9,-1.5
1993/1/23,4.0,8.1,-0.1
1993/1/24,5.6,9.3,2.6
1993/1/25,7.5,11.4,4.1
1993/1/26,7.1,11.8,2.2
1993/1/27,5.1,11.6,1.5
1993/1/28,1.7,5.3,-0.6
1993/1/29,3.9,7.7,-0.3
1993/1/30,5.3,9.6,2.2
1993/1/31,5.9,10.8,0.9
1993/2/1,4.2,6.7,1.8
1993/2/2,2.2,4.4,0.0
1993/2/3,4.8,9.3,-0.8
1993/2/4,7.5,12.4,3.6
1993/2/5,6.5,12.5,0.4
1993/2/6,9.1,18.3,1.7
1993/2/7,10.1,19.3,5.5
1993/2/8,4.3,7.1,1.2
1993/2/9,3.8,8.4,1.2
1993/2/10,5.0,10.1,-0.1
1993/2/11,5.9,11.3,0.6
1993/2/12,6.6,10.1,2.4
1993/2/13,6.7,12.4,0.1
1993/2/14,6.0,8.8,1.4
1993/2/15,5.5,13.0,-1.7
1993/2/16,8.7,12.4,4.0
1993/2/17,11.5,15.0,7.0
1993/2/18,8.6,12.6,4.1
1993/2/19,5.7,10.0,2.4
1993/2/20,6.0,10.7,0.8
1993/2/21,9.5,13.0,6.2
1993/2/22,10.9,14.4,7.3
1993/2/23,3.0,7.3,0.0
1993/2/24,2.6,7.9,-1.2
1993/2/25,3.5,8.1,-0.7
1993/2/26,4.4,9.8,-1.4
1993/2/27,6.0,11.8,0.2
1993/2/28,8.0,12.2,5.3
1993/3/1,4.3,7.9,0.1
1993/3/2,3.1,7.7,-1.0
1993/3/3,5.7,10.9,-0.4
1993/3/4,7.0,13.0,1.9
1993/3/5,7.5,14.9,0.7
1993/3/6,9.5,15.9,2.8
1993/3/7,9.4,14.6,5.3
1993/3/8,5.6,9.2,2.8
1993/3/9,7.0,11.0,3.9
1993/3/10,7.9,12.9,3.1
1993/3/11,8.0,12.0,2.5
1993/3/12,7.8,13.1,4.3
1993/3/13,7.2,12.1,3.8
1993/3/14,7.3,12.7,0.1
1993/3/15,6.4,7.6,5.2
1993/3/16,4.8,6.9,3.1
1993/3/17,4.7,7.9,2.1
1993/3/18,5.2,10.7,0.0
1993/3/19,6.1,10.4,1.3
1993/3/20,6.4,11.2,1.0
1993/3/21,6.4,12.3,0.2
1993/3/22,9.2,15.7,2.9
1993/3/23,11.7,18.7,4.4
1993/3/24,11.7,13.8,10.5
1993/3/25,13.5,17.1,10.1
1993/3/26,12.4,16.9,8.7
1993/3/27,12.4,17.6,6.3
1993/3/28,10.2,12.3,8.5
1993/3/29,5.7,8.5,2.3
1993/3/30,6.1,11.5,-0.4
1993/3/31,11.7,15.8,7.5
