ダウンロードした時刻：2017/07/24 15:44:27

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,4.7,8.7,0.8
1984/1/2,5.8,9.5,3.7
1984/1/3,6.1,11.0,3.3
1984/1/4,3.0,6.8,0.6
1984/1/5,1.8,5.9,-0.8
1984/1/6,3.1,6.6,-1.2
1984/1/7,3.8,6.7,2.5
1984/1/8,2.7,5.7,-0.2
1984/1/9,4.3,7.6,0.1
1984/1/10,7.4,9.6,4.2
1984/1/11,4.3,8.1,0.7
1984/1/12,4.1,6.6,0.3
1984/1/13,4.8,8.1,1.3
1984/1/14,5.9,9.8,3.5
1984/1/15,5.9,9.7,3.3
1984/1/16,1.5,4.4,-1.2
1984/1/17,1.1,4.4,-1.5
1984/1/18,2.4,6.3,-0.8
1984/1/19,1.7,4.2,0.4
1984/1/20,1.1,5.5,-2.8
1984/1/21,1.8,2.4,1.0
1984/1/22,3.3,7.9,0.5
1984/1/23,2.1,5.7,-0.8
1984/1/24,2.4,6.1,-0.7
1984/1/25,1.4,4.9,-2.1
1984/1/26,-0.5,3.4,-2.6
1984/1/27,0.4,4.4,-2.9
1984/1/28,0.5,4.2,-1.8
1984/1/29,0.4,5.5,-3.3
1984/1/30,2.1,4.4,-1.5
1984/1/31,2.2,3.4,0.1
1984/2/1,3.7,7.5,1.2
1984/2/2,4.4,8.6,0.7
1984/2/3,0.1,4.0,-2.3
1984/2/4,-0.6,1.3,-3.5
1984/2/5,2.4,5.0,-0.5
1984/2/6,0.7,5.3,-3.7
1984/2/7,-2.6,0.6,-4.9
1984/2/8,-1.2,2.6,-5.0
1984/2/9,-0.4,4.2,-3.8
1984/2/10,0.4,5.3,-2.7
1984/2/11,1.5,4.7,-1.9
1984/2/12,1.2,5.8,-1.6
1984/2/13,4.0,7.8,1.0
1984/2/14,4.2,7.9,1.8
1984/2/15,2.3,5.6,0.2
1984/2/16,2.3,7.1,-1.7
1984/2/17,1.1,2.2,-0.1
1984/2/18,2.1,5.8,-0.2
1984/2/19,2.1,6.1,-0.7
1984/2/20,2.7,6.6,-1.6
1984/2/21,5.3,10.0,0.8
1984/2/22,6.0,10.6,1.7
1984/2/23,7.3,9.6,5.0
1984/2/24,5.6,9.4,4.0
1984/2/25,6.7,10.0,2.0
1984/2/26,6.9,9.2,4.3
1984/2/27,2.5,6.0,-0.7
1984/2/28,1.4,5.3,-1.8
1984/2/29,1.2,5.2,-1.6
1984/3/1,1.1,4.8,-2.7
1984/3/2,4.4,8.3,-0.3
1984/3/3,2.2,4.2,0.1
1984/3/4,2.3,6.2,-1.3
1984/3/5,2.9,6.5,-1.2
1984/3/6,3.6,7.6,0.0
1984/3/7,2.8,6.7,-0.9
1984/3/8,4.1,7.8,0.3
1984/3/9,5.1,7.7,1.4
1984/3/10,4.1,6.4,0.5
1984/3/11,2.5,7.1,-0.9
1984/3/12,5.7,10.9,0.0
1984/3/13,5.9,8.3,3.8
1984/3/14,3.5,5.1,1.9
1984/3/15,6.7,9.9,1.2
1984/3/16,8.1,10.1,6.8
1984/3/17,7.7,11.2,5.1
1984/3/18,6.8,10.9,3.9
1984/3/19,4.2,5.9,1.5
1984/3/20,5.4,8.9,2.1
1984/3/21,3.4,7.6,0.6
1984/3/22,2.7,7.1,-0.9
1984/3/23,4.3,9.0,-0.5
1984/3/24,5.7,7.4,3.0
1984/3/25,7.4,10.9,4.8
1984/3/26,7.8,12.7,3.7
1984/3/27,8.2,13.9,2.2
1984/3/28,8.2,13.5,5.5
1984/3/29,10.7,16.1,3.9
1984/3/30,13.6,17.4,9.0
1984/3/31,12.4,17.0,9.0
1984/4/1,8.8,12.4,6.7
1984/4/2,8.8,14.8,4.9
1984/4/3,12.0,15.3,6.9
1984/4/4,13.7,17.3,11.7
1984/4/5,14.5,17.7,11.7
1984/4/6,10.1,15.9,5.5
1984/4/7,7.2,12.2,2.0
1984/4/8,8.3,14.7,4.1
1984/4/9,10.3,15.2,3.1
1984/4/10,12.9,14.9,11.5
1984/4/11,11.7,17.2,8.1
1984/4/12,10.4,16.5,6.6
1984/4/13,10.8,16.3,4.8
1984/4/14,12.2,17.4,6.6
1984/4/15,15.0,18.8,10.9
1984/4/16,14.0,17.7,12.5
1984/4/17,16.6,22.6,11.7
1984/4/18,17.8,21.3,15.6
1984/4/19,15.5,18.4,10.7
1984/4/20,10.8,13.9,9.0
1984/4/21,12.1,14.6,8.9
1984/4/22,11.6,15.3,8.4
1984/4/23,11.9,19.7,6.4
1984/4/24,12.7,19.8,5.9
1984/4/25,16.0,20.1,11.7
1984/4/26,17.8,22.9,12.8
1984/4/27,18.3,23.6,14.2
1984/4/28,16.7,21.9,12.7
1984/4/29,18.2,22.7,13.5
1984/4/30,16.0,18.6,14.3
1984/5/1,14.0,15.7,10.0
