ダウンロードした時刻：2017/07/24 15:36:19

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,-0.3,2.9,-4.9
1988/1/2,-3.0,1.9,-5.4
1988/1/3,-3.1,-1.1,-5.0
1988/1/4,-1.4,0.3,-3.7
1988/1/5,-5.1,-3.5,-7.4
1988/1/6,-1.6,1.3,-4.6
1988/1/7,3.3,5.2,0.9
1988/1/8,1.8,5.5,0.3
1988/1/9,-2.3,0.5,-5.3
1988/1/10,-5.3,-4.4,-6.2
1988/1/11,-5.5,-4.3,-6.7
1988/1/12,-0.6,1.6,-6.5
1988/1/13,2.0,4.2,-1.8
1988/1/14,3.2,4.6,1.5
1988/1/15,0.6,4.0,-2.7
1988/1/16,-3.6,-2.4,-4.4
1988/1/17,-2.5,-1.0,-3.7
1988/1/18,-5.2,-2.7,-7.2
1988/1/19,-1.6,1.2,-5.8
1988/1/20,2.7,4.6,-0.2
1988/1/21,3.4,5.4,-1.4
1988/1/22,5.4,7.8,2.7
1988/1/23,-1.6,2.8,-5.6
1988/1/24,-6.6,-4.2,-8.4
1988/1/25,-6.7,-5.3,-8.4
1988/1/26,-7.6,-5.5,-9.2
1988/1/27,-5.6,-4.0,-7.8
1988/1/28,-5.1,-4.0,-6.1
1988/1/29,-5.1,-2.2,-7.5
1988/1/30,-5.8,-4.2,-7.8
1988/1/31,-4.4,-2.8,-5.7
1988/2/1,-3.9,-1.6,-5.9
1988/2/2,0.2,3.3,-4.0
1988/2/3,-6.7,-3.5,-8.1
1988/2/4,-5.0,-3.1,-7.7
1988/2/5,-2.3,-0.2,-3.6
1988/2/6,-3.2,-1.5,-5.2
1988/2/7,-4.9,-4.1,-6.1
1988/2/8,-2.8,-0.9,-4.4
1988/2/9,-2.1,0.2,-3.7
1988/2/10,-2.2,-0.3,-4.0
1988/2/11,-3.7,-1.4,-5.2
1988/2/12,-3.7,-1.5,-5.0
1988/2/13,-4.6,-1.7,-6.6
1988/2/14,-5.4,-2.8,-8.3
1988/2/15,-5.8,-3.3,-8.6
1988/2/16,-4.5,-1.0,-7.9
1988/2/17,-5.4,-3.3,-7.6
1988/2/18,-5.8,-3.7,-7.7
1988/2/19,-5.9,-4.4,-6.8
1988/2/20,-5.3,-3.5,-6.9
1988/2/21,-3.9,-0.3,-7.7
1988/2/22,-1.7,0.3,-6.0
1988/2/23,-0.5,1.8,-2.8
1988/2/24,-3.2,-0.8,-5.1
1988/2/25,-3.1,-0.8,-6.1
1988/2/26,-2.9,-1.6,-4.4
1988/2/27,-5.1,-3.2,-6.2
1988/2/28,-5.5,-3.7,-6.7
1988/2/29,-3.1,-1.8,-5.5
1988/3/1,-1.9,-0.8,-3.6
1988/3/2,-1.0,-0.4,-1.5
1988/3/3,-0.5,1.1,-2.2
1988/3/4,-1.8,0.7,-3.2
1988/3/5,-2.0,0.0,-4.5
1988/3/6,-3.1,-0.5,-5.9
1988/3/7,-3.7,-1.9,-5.5
1988/3/8,-3.8,-1.9,-5.9
1988/3/9,-3.9,-2.1,-6.2
1988/3/10,0.3,2.0,-2.4
1988/3/11,4.9,8.2,1.1
1988/3/12,3.4,5.9,1.4
1988/3/13,2.7,5.1,0.9
1988/3/14,3.5,6.8,0.8
1988/3/15,-2.1,3.0,-6.6
1988/3/16,-2.2,0.2,-5.4
1988/3/17,1.4,4.2,-0.9
1988/3/18,1.3,4.0,-2.3
1988/3/19,1.9,4.6,0.6
1988/3/20,0.4,2.6,-1.1
1988/3/21,1.2,4.8,-1.4
1988/3/22,0.9,2.1,0.1
1988/3/23,1.8,2.9,0.4
1988/3/24,-0.9,0.5,-2.7
1988/3/25,1.8,4.0,-0.1
1988/3/26,1.5,4.5,-1.4
1988/3/27,1.2,4.6,-2.5
1988/3/28,2.4,7.0,-0.8
1988/3/29,2.0,5.6,-0.7
1988/3/30,1.7,5.4,-1.8
1988/3/31,1.5,4.7,-0.8
1988/4/1,2.0,5.6,-1.0
1988/4/2,1.6,4.7,0.3
1988/4/3,2.2,4.6,-0.9
1988/4/4,3.3,7.9,0.6
1988/4/5,2.6,5.6,0.4
1988/4/6,2.1,3.2,0.5
1988/4/7,3.0,6.9,0.0
1988/4/8,2.2,6.1,-1.0
1988/4/9,4.4,7.9,0.3
1988/4/10,6.4,10.0,3.2
1988/4/11,9.0,13.0,2.7
1988/4/12,6.9,10.8,4.4
1988/4/13,8.3,13.5,4.4
1988/4/14,4.7,9.5,1.5
1988/4/15,4.7,8.6,1.8
1988/4/16,5.7,9.5,3.0
1988/4/17,9.2,16.4,3.9
1988/4/18,7.5,11.3,4.5
1988/4/19,6.1,7.5,5.0
1988/4/20,6.6,11.0,3.3
1988/4/21,4.1,8.1,2.6
1988/4/22,3.3,4.8,1.8
1988/4/23,4.0,6.7,2.4
1988/4/24,4.1,8.7,2.0
1988/4/25,5.9,9.3,2.5
1988/4/26,7.0,13.1,4.5
1988/4/27,10.3,15.9,5.5
1988/4/28,12.4,18.3,6.6
1988/4/29,10.3,16.9,7.0
1988/4/30,11.7,16.0,7.5
1988/5/1,12.5,15.8,9.0
