ダウンロードした時刻：2019/10/10 15:44:06

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,13.3,16.6,8.1
2014/12/2,5.5,8.6,3.3
2014/12/3,5.9,8.7,3.8
2014/12/4,6.1,7.0,4.6
2014/12/5,3.0,6.6,-0.2
2014/12/6,1.2,3.0,-0.6
2014/12/7,2.2,4.9,0.8
2014/12/8,2.3,3.9,0.7
2014/12/9,4.2,6.5,2.0
2014/12/10,4.9,7.5,2.0
2014/12/11,6.4,10.1,1.8
2014/12/12,3.3,6.4,0.3
2014/12/13,0.7,2.2,-0.4
2014/12/14,1.5,2.8,0.2
2014/12/15,0.7,2.9,-0.8
2014/12/16,3.0,7.8,-0.7
2014/12/17,1.4,4.1,-0.8
2014/12/18,2.3,4.1,-1.3
2014/12/19,2.6,4.9,0.7
2014/12/20,3.4,9.0,-0.3
2014/12/21,2.7,9.0,0.1
2014/12/22,1.5,4.4,0.0
2014/12/23,2.7,4.9,1.3
2014/12/24,3.9,8.4,1.2
2014/12/25,2.6,4.6,0.7
2014/12/26,2.2,4.2,0.1
2014/12/27,2.1,5.5,-0.5
2014/12/28,2.2,6.9,-0.9
2014/12/29,3.5,7.3,0.9
2014/12/30,3.5,7.3,1.5
2014/12/31,4.4,7.8,0.4
2015/1/1,0.8,2.1,-0.6
2015/1/2,1.3,3.4,-0.3
2015/1/3,1.7,4.1,-1.1
2015/1/4,2.4,4.4,0.9
2015/1/5,4.9,8.4,2.1
2015/1/6,3.7,6.4,0.5
2015/1/7,1.3,2.7,-0.4
2015/1/8,3.1,4.9,1.4
2015/1/9,3.3,4.9,1.7
2015/1/10,3.4,5.2,2.1
2015/1/11,2.3,3.9,0.2
2015/1/12,2.5,3.8,0.3
2015/1/13,5.1,7.4,3.2
2015/1/14,4.3,8.2,1.1
2015/1/15,3.2,6.2,0.5
2015/1/16,5.4,6.9,3.5
2015/1/17,2.1,6.4,-1.4
2015/1/18,1.7,5.0,-1.5
2015/1/19,3.4,6.8,-1.8
2015/1/20,2.7,4.8,-0.6
2015/1/21,2.1,5.5,-2.5
2015/1/22,4.2,6.5,1.6
2015/1/23,4.7,8.1,2.0
2015/1/24,4.0,6.2,1.8
2015/1/25,4.1,7.2,1.4
2015/1/26,6.6,11.7,1.4
2015/1/27,5.1,7.4,1.0
2015/1/28,1.1,2.7,0.1
2015/1/29,1.2,2.3,-0.4
2015/1/30,1.6,3.6,-0.2
2015/1/31,3.1,5.2,0.8
2015/2/1,0.6,1.8,-1.3
2015/2/2,2.1,4.0,0.5
2015/2/3,3.0,4.9,1.6
2015/2/4,1.8,4.1,0.3
2015/2/5,4.2,8.5,0.5
2015/2/6,3.5,5.9,1.0
2015/2/7,4.2,8.1,0.9
2015/2/8,3.6,8.5,-0.1
2015/2/9,-1.7,0.2,-3.4
2015/2/10,1.1,3.7,-3.2
2015/2/11,3.6,8.4,0.1
2015/2/12,4.2,6.5,2.4
2015/2/13,1.5,4.5,-0.8
2015/2/14,2.5,5.0,-1.0
2015/2/15,3.6,5.5,1.1
2015/2/16,3.6,6.5,-0.3
2015/2/17,4.8,8.0,0.9
2015/2/18,4.4,5.9,2.9
2015/2/19,5.1,7.7,2.3
2015/2/20,3.8,7.7,0.7
2015/2/21,5.1,9.0,1.2
2015/2/22,9.5,14.8,5.0
2015/2/23,9.1,11.1,7.0
2015/2/24,7.1,9.1,4.8
2015/2/25,4.2,6.3,1.2
2015/2/26,5.9,10.4,0.2
2015/2/27,5.2,7.1,3.3
2015/2/28,3.8,6.6,1.1
2015/3/1,5.6,9.3,1.0
2015/3/2,5.1,8.3,1.5
2015/3/3,4.6,7.6,-0.6
2015/3/4,6.3,10.8,3.3
2015/3/5,4.2,5.9,1.2
2015/3/6,4.9,7.7,1.3
2015/3/7,7.7,12.4,3.2
2015/3/8,8.6,11.7,6.8
2015/3/9,10.0,12.8,7.9
2015/3/10,3.8,8.5,-1.0
2015/3/11,1.7,3.5,-0.7
2015/3/12,2.1,3.9,0.2
2015/3/13,2.7,7.1,0.5
2015/3/14,3.1,6.9,0.4
2015/3/15,6.4,12.1,0.9
2015/3/16,9.1,15.4,4.7
2015/3/17,11.0,18.3,3.9
2015/3/18,9.9,14.5,5.7
2015/3/19,9.8,11.5,9.1
2015/3/20,9.1,12.6,7.0
2015/3/21,8.4,13.9,2.5
2015/3/22,10.4,16.0,5.4
2015/3/23,4.6,8.0,1.1
2015/3/24,4.1,7.0,2.2
2015/3/25,5.6,9.1,2.8
2015/3/26,6.1,10.3,1.8
2015/3/27,8.6,15.2,1.7
2015/3/28,10.6,18.1,2.5
2015/3/29,10.4,14.4,6.8
2015/3/30,10.0,13.6,7.1
2015/3/31,12.9,20.8,4.6
