ダウンロードした時刻：2019/10/10 16:17:43

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,15.3,18.4,13.1
2003/12/2,13.9,18.8,9.1
2003/12/3,12.3,18.4,7.4
2003/12/4,11.1,18.2,5.4
2003/12/5,11.7,16.6,6.8
2003/12/6,15.9,21.9,12.1
2003/12/7,10.3,14.7,4.9
2003/12/8,6.8,12.7,2.2
2003/12/9,8.0,13.4,2.7
2003/12/10,9.2,15.6,3.9
2003/12/11,9.5,11.5,7.6
2003/12/12,9.4,14.2,4.8
2003/12/13,7.4,12.7,3.8
2003/12/14,7.7,14.7,2.5
2003/12/15,7.6,14.3,2.1
2003/12/16,8.6,14.2,4.7
2003/12/17,8.8,13.5,3.5
2003/12/18,8.0,13.2,3.8
2003/12/19,5.2,7.9,2.6
2003/12/20,3.9,8.6,0.7
2003/12/21,5.5,11.1,1.3
2003/12/22,6.6,14.9,0.4
2003/12/23,8.0,16.3,2.0
2003/12/24,9.4,18.6,2.8
2003/12/25,10.5,17.1,2.9
2003/12/26,8.7,13.8,4.7
2003/12/27,5.9,9.7,3.0
2003/12/28,5.8,12.2,0.1
2003/12/29,9.3,16.2,1.3
2003/12/30,10.5,16.3,5.4
2003/12/31,9.2,13.1,6.0
2004/1/1,7.9,14.2,2.5
2004/1/2,8.4,15.4,2.8
2004/1/3,8.2,14.8,3.0
2004/1/4,8.4,15.0,3.2
2004/1/5,8.6,15.3,3.6
2004/1/6,8.8,14.7,3.4
2004/1/7,9.3,16.1,5.1
2004/1/8,6.5,9.7,3.1
2004/1/9,6.2,12.3,-0.3
2004/1/10,10.2,16.3,4.9
2004/1/11,7.3,10.3,3.4
2004/1/12,7.3,12.7,1.4
2004/1/13,6.4,8.9,4.5
2004/1/14,5.4,10.1,0.4
2004/1/15,5.0,12.1,-0.4
2004/1/16,4.9,8.9,2.4
2004/1/17,5.2,10.6,2.4
2004/1/18,6.8,13.7,0.2
2004/1/19,7.8,12.4,2.6
2004/1/20,5.6,12.1,-0.1
2004/1/21,5.1,11.1,1.1
2004/1/22,0.1,3.7,-3.4
2004/1/23,1.4,8.1,-5.1
2004/1/24,4.0,10.5,0.6
2004/1/25,2.5,9.2,-2.6
2004/1/26,3.0,8.5,-2.6
2004/1/27,4.6,10.7,1.0
2004/1/28,4.7,11.8,-1.5
2004/1/29,6.5,14.7,-1.0
2004/1/30,8.1,15.5,1.6
2004/1/31,8.1,15.2,2.0
2004/2/1,9.5,16.2,3.3
2004/2/2,12.1,17.3,9.4
2004/2/3,7.8,11.9,3.4
2004/2/4,4.5,10.6,-0.1
2004/2/5,3.0,8.7,-0.9
2004/2/6,2.9,8.9,-2.1
2004/2/7,2.5,8.0,-1.5
2004/2/8,4.2,11.7,-2.6
2004/2/9,5.8,10.0,2.4
2004/2/10,6.1,12.7,-0.1
2004/2/11,7.5,15.7,0.5
2004/2/12,8.8,15.2,2.8
2004/2/13,8.3,14.3,2.3
2004/2/14,9.3,17.1,2.4
2004/2/15,9.1,15.0,2.3
2004/2/16,9.0,14.7,4.3
2004/2/17,9.0,16.8,2.4
2004/2/18,10.0,17.7,3.0
2004/2/19,10.1,17.7,4.1
2004/2/20,11.9,18.7,4.6
2004/2/21,14.4,20.8,8.7
2004/2/22,15.2,18.6,12.3
2004/2/23,10.5,13.4,5.7
2004/2/24,8.2,13.5,1.6
2004/2/25,11.6,17.2,8.0
2004/2/26,10.6,17.0,5.7
2004/2/27,7.7,14.0,2.1
2004/2/28,8.8,14.9,1.8
2004/2/29,13.0,20.4,9.2
2004/3/1,10.9,14.8,7.9
2004/3/2,9.2,15.5,4.8
2004/3/3,6.7,10.5,3.6
2004/3/4,5.8,10.1,1.2
2004/3/5,5.8,11.7,-1.4
2004/3/6,5.3,8.9,0.8
2004/3/7,4.1,9.3,0.0
2004/3/8,5.8,11.7,-1.1
2004/3/9,9.8,16.2,3.5
2004/3/10,13.4,19.3,5.8
2004/3/11,16.0,21.3,12.6
2004/3/12,10.4,15.0,4.9
2004/3/13,10.1,18.7,2.1
2004/3/14,11.7,18.4,4.3
2004/3/15,13.3,20.8,7.1
2004/3/16,13.6,20.3,7.3
2004/3/17,16.8,20.4,12.8
2004/3/18,15.3,20.7,10.0
2004/3/19,11.4,18.2,5.8
2004/3/20,11.2,13.5,7.2
2004/3/21,10.6,15.7,5.5
2004/3/22,10.2,13.3,8.5
2004/3/23,12.1,17.9,6.8
2004/3/24,12.8,16.7,10.4
2004/3/25,12.2,16.6,9.6
2004/3/26,12.5,17.2,8.0
2004/3/27,11.3,16.6,5.2
2004/3/28,13.5,20.5,7.0
2004/3/29,15.5,21.4,8.3
2004/3/30,16.1,18.9,12.9
2004/3/31,14.5,20.9,9.1
