ダウンロードした時刻：2019/10/10 16:07:57

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,11.3,18.4,6.1
2010/12/2,13.6,20.3,6.0
2010/12/3,13.7,19.1,8.2
2010/12/4,9.4,14.3,5.2
2010/12/5,8.5,15.2,3.2
2010/12/6,10.9,17.5,4.0
2010/12/7,10.1,12.1,7.5
2010/12/8,7.9,12.6,5.5
2010/12/9,6.5,10.0,4.2
2010/12/10,6.5,11.2,3.1
2010/12/11,9.1,12.6,4.8
2010/12/12,8.0,11.1,4.5
2010/12/13,9.6,12.3,6.3
2010/12/14,12.5,16.2,9.7
2010/12/15,6.3,10.0,2.9
2010/12/16,3.4,6.0,1.7
2010/12/17,3.9,9.5,-0.5
2010/12/18,6.3,11.8,3.1
2010/12/19,6.2,12.1,1.6
2010/12/20,9.0,15.5,5.0
2010/12/21,8.8,13.4,3.3
2010/12/22,11.2,15.4,8.4
2010/12/23,9.6,13.9,5.7
2010/12/24,6.0,10.3,1.9
2010/12/25,1.9,4.9,0.0
2010/12/26,3.9,8.7,0.7
2010/12/27,4.1,8.9,-0.2
2010/12/28,6.6,12.9,0.9
2010/12/29,5.3,9.9,3.0
2010/12/30,2.6,4.9,0.5
2010/12/31,0.2,1.7,-1.3
2011/1/1,1.7,5.7,-2.2
2011/1/2,3.6,9.0,0.7
2011/1/3,3.3,9.6,-1.0
2011/1/4,4.0,9.3,0.3
2011/1/5,4.2,8.2,-0.8
2011/1/6,3.9,7.4,1.2
2011/1/7,2.3,6.3,0.2
2011/1/8,2.8,9.9,-1.2
2011/1/9,4.7,10.4,0.5
2011/1/10,1.6,4.7,-0.6
2011/1/11,1.9,7.5,-1.8
2011/1/12,3.2,8.5,-1.0
2011/1/13,3.6,7.6,0.9
2011/1/14,3.8,8.6,0.1
2011/1/15,3.7,6.9,-1.2
2011/1/16,-1.2,2.9,-3.9
2011/1/17,1.8,6.5,-1.9
2011/1/18,2.7,8.3,-1.8
2011/1/19,3.2,8.0,0.4
2011/1/20,3.0,7.6,0.3
2011/1/21,3.6,7.2,1.1
2011/1/22,3.9,10.2,-0.6
2011/1/23,4.1,8.0,0.8
2011/1/24,3.6,8.6,-0.3
2011/1/25,3.4,7.6,0.5
2011/1/26,2.9,7.3,0.2
2011/1/27,2.3,6.0,-1.2
2011/1/28,2.3,6.1,0.3
2011/1/29,2.4,8.2,-1.5
2011/1/30,0.3,4.2,-2.9
2011/1/31,0.7,6.5,-3.9
2011/2/1,4.3,9.4,-0.3
2011/2/2,5.1,10.9,1.4
2011/2/3,5.3,12.6,-0.6
2011/2/4,5.8,13.1,0.2
2011/2/5,5.6,11.7,1.0
2011/2/6,7.1,14.1,0.7
2011/2/7,6.4,11.6,3.1
2011/2/8,6.0,11.4,0.7
2011/2/9,6.2,10.0,3.6
2011/2/10,3.8,7.4,1.8
2011/2/11,2.5,6.3,0.0
2011/2/12,2.7,7.8,-0.4
2011/2/13,2.0,6.1,-0.3
2011/2/14,1.1,5.1,-1.0
2011/2/15,3.2,7.6,0.1
2011/2/16,4.0,11.5,-2.2
2011/2/17,8.8,15.2,2.5
2011/2/18,7.2,11.2,4.2
2011/2/19,5.7,11.7,0.6
2011/2/20,6.2,13.0,0.9
2011/2/21,7.3,13.5,3.0
2011/2/22,7.9,16.2,1.3
2011/2/23,10.4,16.8,4.4
2011/2/24,12.5,16.9,9.5
2011/2/25,11.4,19.5,5.8
2011/2/26,7.2,13.1,4.3
2011/2/27,11.4,18.9,3.2
2011/2/28,10.4,12.7,8.3
2011/3/1,7.5,8.5,6.3
2011/3/2,6.2,9.9,1.7
2011/3/3,2.3,6.6,0.0
2011/3/4,2.3,6.3,-0.9
2011/3/5,5.4,11.4,1.8
2011/3/6,6.5,11.4,1.6
2011/3/7,6.9,12.0,4.2
2011/3/8,5.7,10.1,2.9
2011/3/9,4.6,11.5,0.0
2011/3/10,3.8,8.6,0.2
2011/3/11,3.7,8.3,0.1
2011/3/12,6.0,12.1,-0.1
2011/3/13,10.3,18.6,2.5
2011/3/14,13.2,20.7,7.6
2011/3/15,12.9,19.0,6.5
2011/3/16,4.0,8.0,0.6
2011/3/17,1.7,6.9,-0.4
2011/3/18,4.5,10.0,0.2
2011/3/19,10.3,18.4,4.1
2011/3/20,12.1,17.0,6.4
2011/3/21,11.3,13.9,8.8
2011/3/22,9.8,16.2,5.1
2011/3/23,5.3,10.7,1.5
2011/3/24,4.9,10.9,0.6
2011/3/25,6.3,12.8,0.5
2011/3/26,4.0,8.8,1.6
2011/3/27,4.5,10.8,-0.2
2011/3/28,6.6,14.4,-0.7
2011/3/29,8.5,16.0,2.0
2011/3/30,8.7,15.2,3.0
2011/3/31,10.0,17.7,3.4
