ダウンロードした時刻：2019/10/10 15:35:33

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,1.2,5.3,-3.8
1987/12/2,0.4,4.3,-2.8
1987/12/3,0.5,4.6,-3.4
1987/12/4,-1.6,0.6,-3.7
1987/12/5,-0.8,2.5,-3.8
1987/12/6,-1.9,-0.1,-4.3
1987/12/7,-0.7,5.6,-5.8
1987/12/8,2.2,8.1,-5.0
1987/12/9,4.4,9.5,-0.7
1987/12/10,5.6,12.3,-0.7
1987/12/11,6.1,11.8,-0.1
1987/12/12,0.7,4.4,-1.3
1987/12/13,0.0,2.5,-2.7
1987/12/14,-0.7,1.5,-2.7
1987/12/15,0.5,2.9,-1.6
1987/12/16,2.8,5.6,-0.3
1987/12/17,-5.0,-0.3,-8.7
1987/12/18,-2.2,1.2,-5.6
1987/12/19,2.4,7.3,-1.9
1987/12/20,0.7,5.4,-2.3
1987/12/21,-2.6,0.8,-4.7
1987/12/22,-0.2,1.6,-3.3
1987/12/23,0.6,3.8,-2.5
1987/12/24,5.4,10.1,-1.9
1987/12/25,6.1,9.8,1.4
1987/12/26,5.7,9.2,2.5
1987/12/27,11.1,13.8,3.9
1987/12/28,11.2,14.4,6.2
1987/12/29,8.0,13.9,0.9
1987/12/30,-1.5,2.0,-6.2
1987/12/31,-4.7,-2.4,-7.3
1988/1/1,1.2,5.8,-5.3
1988/1/2,0.5,4.2,-3.3
1988/1/3,-1.6,1.5,-3.9
1988/1/4,-1.4,0.8,-4.0
1988/1/5,-3.8,-0.8,-7.0
1988/1/6,-1.7,1.7,-5.6
1988/1/7,1.6,4.8,-3.9
1988/1/8,4.0,7.6,1.2
1988/1/9,-1.8,1.4,-5.0
1988/1/10,-4.5,-1.6,-6.3
1988/1/11,-3.7,-0.4,-6.5
1988/1/12,1.0,4.8,-3.7
1988/1/13,4.4,8.7,0.4
1988/1/14,6.5,10.0,2.8
1988/1/15,3.2,7.8,0.0
1988/1/16,-0.2,3.3,-2.9
1988/1/17,-0.1,3.1,-3.1
1988/1/18,-3.4,-1.0,-6.0
1988/1/19,-0.3,3.2,-5.5
1988/1/20,3.3,10.2,-3.8
1988/1/21,5.8,9.4,-0.3
1988/1/22,8.2,15.0,3.3
1988/1/23,0.7,5.8,-3.8
1988/1/24,-4.2,-1.4,-5.6
1988/1/25,-4.1,-2.7,-5.5
1988/1/26,-3.7,-1.3,-4.8
1988/1/27,-3.1,0.8,-5.9
1988/1/28,-3.5,0.0,-5.1
1988/1/29,-2.6,-0.7,-5.7
1988/1/30,-4.0,-1.2,-5.4
1988/1/31,-2.3,1.4,-7.0
1988/2/1,-2.7,1.3,-6.3
1988/2/2,-0.4,5.2,-5.8
1988/2/3,-6.2,-3.7,-7.7
1988/2/4,-3.2,-0.5,-7.5
1988/2/5,-0.2,1.7,-2.8
1988/2/6,-1.2,1.6,-3.9
1988/2/7,-4.9,-1.9,-7.4
1988/2/8,-3.9,-0.7,-7.6
1988/2/9,-3.8,0.5,-8.2
1988/2/10,-3.5,1.0,-7.8
1988/2/11,-3.6,-0.7,-6.2
1988/2/12,-2.0,1.6,-7.0
1988/2/13,-2.3,0.9,-5.2
1988/2/14,-5.2,-2.3,-7.1
1988/2/15,-4.9,-0.3,-8.1
1988/2/16,-5.1,-0.7,-10.9
1988/2/17,-4.7,-0.4,-7.4
1988/2/18,-5.3,-0.6,-9.4
1988/2/19,-4.4,-0.4,-9.5
1988/2/20,-3.1,0.4,-5.8
1988/2/21,-4.0,0.7,-9.4
1988/2/22,-2.4,2.6,-10.0
1988/2/23,1.9,7.6,-1.1
1988/2/24,-0.5,3.1,-2.5
1988/2/25,-1.6,1.9,-4.1
1988/2/26,-0.8,3.3,-4.2
1988/2/27,-1.8,1.6,-4.8
1988/2/28,-2.6,1.4,-4.9
1988/2/29,-1.1,2.8,-4.4
1988/3/1,1.0,4.2,-2.2
1988/3/2,0.8,1.8,0.5
1988/3/3,-0.7,4.3,-2.8
1988/3/4,-0.4,3.1,-2.8
1988/3/5,-1.6,1.9,-4.9
1988/3/6,-3.0,1.8,-7.0
1988/3/7,-2.1,3.4,-6.1
1988/3/8,-1.9,1.4,-4.6
1988/3/9,-3.2,-0.7,-6.9
1988/3/10,0.4,5.5,-5.4
1988/3/11,6.2,12.3,-0.6
1988/3/12,6.1,14.4,2.3
1988/3/13,6.2,9.8,3.3
1988/3/14,7.0,11.8,2.1
1988/3/15,-0.5,6.6,-6.8
1988/3/16,-1.1,3.6,-6.7
1988/3/17,2.1,8.3,-1.8
1988/3/18,2.5,7.5,-2.6
1988/3/19,4.6,10.2,1.3
1988/3/20,1.8,6.6,-1.7
1988/3/21,1.0,5.0,-3.3
1988/3/22,2.7,3.8,-0.3
1988/3/23,3.5,4.9,2.0
1988/3/24,0.9,4.0,-1.9
1988/3/25,2.3,7.1,-1.4
1988/3/26,2.9,6.8,-2.3
1988/3/27,2.9,5.4,0.0
1988/3/28,3.7,8.5,-0.5
1988/3/29,2.3,6.6,-1.5
1988/3/30,1.3,7.4,-3.7
1988/3/31,1.0,5.7,-3.6
