ダウンロードした時刻：2019/10/10 15:48:43

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/12/1,7.1,9.4,5.8
2011/12/2,7.1,8.5,5.0
2011/12/3,10.4,14.0,7.3
2011/12/4,9.7,12.0,8.1
2011/12/5,8.2,12.3,3.3
2011/12/6,5.2,9.0,2.0
2011/12/7,8.7,12.0,3.9
2011/12/8,8.7,10.8,5.5
2011/12/9,3.8,7.5,1.6
2011/12/10,4.9,9.2,0.8
2011/12/11,5.5,6.8,3.5
2011/12/12,7.8,11.4,5.7
2011/12/13,7.5,12.2,2.4
2011/12/14,6.9,14.4,0.6
2011/12/15,8.3,12.8,6.2
2011/12/16,4.0,7.6,0.3
2011/12/17,1.2,3.1,0.3
2011/12/18,3.0,5.5,1.0
2011/12/19,3.9,7.4,2.1
2011/12/20,3.9,7.3,2.0
2011/12/21,3.9,5.7,2.1
2011/12/22,4.9,7.0,1.7
2011/12/23,2.1,4.9,0.3
2011/12/24,0.9,3.4,-0.4
2011/12/25,1.5,4.0,0.3
2011/12/26,1.5,4.7,0.3
2011/12/27,1.4,3.3,0.3
2011/12/28,2.1,5.2,0.1
2011/12/29,2.3,3.7,1.0
2011/12/30,2.2,5.4,0.7
2011/12/31,2.2,7.3,-0.3
2012/1/1,4.1,9.3,-0.2
2012/1/2,3.5,7.1,1.0
2012/1/3,2.6,6.2,0.4
2012/1/4,2.1,4.8,0.4
2012/1/5,1.9,4.9,0.4
2012/1/6,1.6,3.1,0.5
2012/1/7,1.9,4.3,0.6
2012/1/8,2.0,7.0,-0.6
2012/1/9,2.4,5.3,0.0
2012/1/10,4.1,8.6,0.8
2012/1/11,3.0,5.3,0.2
2012/1/12,1.8,5.0,-0.9
2012/1/13,2.9,5.9,0.6
2012/1/14,2.4,5.9,0.8
2012/1/15,2.4,4.9,1.1
2012/1/16,2.5,5.0,0.9
2012/1/17,2.5,7.6,-1.3
2012/1/18,3.3,10.9,-1.7
2012/1/19,3.3,7.3,-0.6
2012/1/20,5.5,8.7,3.6
2012/1/21,6.1,9.4,3.9
2012/1/22,5.5,11.3,2.3
2012/1/23,3.5,6.1,0.3
2012/1/24,1.0,4.4,-1.5
2012/1/25,0.3,1.5,-0.3
2012/1/26,-0.1,2.6,-2.0
2012/1/27,1.0,2.7,-0.1
2012/1/28,1.0,3.3,-0.9
2012/1/29,-0.1,3.3,-3.1
2012/1/30,0.3,2.5,-0.9
2012/1/31,0.3,2.9,-2.0
2012/2/1,1.2,5.2,-2.1
2012/2/2,-1.3,0.4,-2.8
2012/2/3,-0.8,1.5,-5.1
2012/2/4,1.2,3.4,-0.2
2012/2/5,2.3,6.1,0.3
2012/2/6,2.0,4.4,-1.3
2012/2/7,3.6,5.8,1.9
2012/2/8,1.2,4.7,-1.9
2012/2/9,0.2,3.8,-1.8
2012/2/10,1.0,3.6,-0.9
2012/2/11,1.4,4.1,-2.0
2012/2/12,1.5,4.2,-1.8
2012/2/13,0.9,3.8,-1.9
2012/2/14,2.6,4.2,1.2
2012/2/15,2.2,4.5,0.4
2012/2/16,2.4,6.0,-1.7
2012/2/17,0.7,4.3,-0.5
2012/2/18,-0.5,1.9,-3.7
2012/2/19,-0.5,4.2,-4.3
2012/2/20,1.6,5.4,-1.2
2012/2/21,2.8,9.0,-2.2
2012/2/22,4.3,10.7,0.1
2012/2/23,6.4,9.7,3.2
2012/2/24,6.0,9.6,3.0
2012/2/25,3.9,6.8,0.4
2012/2/26,1.3,2.8,-0.7
2012/2/27,0.8,3.5,-1.0
2012/2/28,1.4,6.7,-4.1
2012/2/29,4.1,10.5,0.4
2012/3/1,5.5,12.2,-0.2
2012/3/2,4.7,6.0,2.9
2012/3/3,7.1,12.2,2.4
2012/3/4,4.1,9.1,-0.5
2012/3/5,7.1,9.3,4.9
2012/3/6,10.2,14.4,6.3
2012/3/7,9.0,12.1,4.8
2012/3/8,6.9,11.9,1.8
2012/3/9,6.8,9.5,4.6
2012/3/10,6.8,10.7,5.3
2012/3/11,4.4,9.6,1.0
2012/3/12,3.2,6.6,0.5
2012/3/13,3.1,7.2,0.8
2012/3/14,4.3,10.2,-0.6
2012/3/15,4.4,9.2,0.5
2012/3/16,6.9,13.9,-1.3
2012/3/17,11.0,12.7,9.6
2012/3/18,9.8,12.4,7.6
2012/3/19,4.0,7.6,0.3
2012/3/20,4.2,10.1,-0.5
2012/3/21,4.5,9.7,1.3
2012/3/22,6.1,10.8,0.9
2012/3/23,7.2,9.3,5.6
2012/3/24,7.3,9.4,3.9
2012/3/25,4.2,8.5,1.5
2012/3/26,3.2,9.1,0.4
2012/3/27,6.8,13.3,0.6
2012/3/28,7.7,13.2,4.1
2012/3/29,10.5,19.3,1.6
2012/3/30,14.8,20.0,7.8
2012/3/31,8.9,17.5,2.4
