ダウンロードした時刻：2017/07/24 15:38:40

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,2.2,4.6,0.3
1981/1/2,4.3,5.9,1.8
1981/1/3,4.3,6.0,0.9
1981/1/4,4.7,6.8,1.4
1981/1/5,1.9,3.7,0.0
1981/1/6,1.0,3.2,-0.3
1981/1/7,0.3,2.1,-1.1
1981/1/8,2.6,4.3,-0.3
1981/1/9,3.0,5.3,0.7
1981/1/10,1.7,4.1,0.2
1981/1/11,0.9,2.3,-0.5
1981/1/12,-0.2,1.3,-1.8
1981/1/13,-0.1,1.2,-1.8
1981/1/14,0.1,1.6,-1.5
1981/1/15,1.1,4.0,-0.5
1981/1/16,0.3,1.5,-0.8
1981/1/17,1.7,3.9,-0.4
1981/1/18,0.9,3.4,-2.0
1981/1/19,1.6,3.6,0.3
1981/1/20,1.0,2.9,-0.5
1981/1/21,-0.6,0.4,-2.7
1981/1/22,0.1,2.0,-2.7
1981/1/23,1.6,4.6,-0.5
1981/1/24,2.0,5.5,-1.0
1981/1/25,0.8,2.5,-1.0
1981/1/26,-0.2,2.1,-1.2
1981/1/27,-0.2,2.0,-2.1
1981/1/28,-0.2,2.3,-1.5
1981/1/29,0.4,4.1,-2.3
1981/1/30,1.2,3.8,-0.7
1981/1/31,0.3,2.0,-1.0
1981/2/1,0.5,4.3,-2.1
1981/2/2,2.3,4.7,-0.4
1981/2/3,2.5,5.5,-0.6
1981/2/4,3.3,4.7,0.1
1981/2/5,1.7,4.1,0.5
1981/2/6,1.2,3.9,0.1
1981/2/7,2.0,5.9,-1.3
1981/2/8,2.4,4.9,0.2
1981/2/9,0.9,2.8,-0.4
1981/2/10,1.6,4.3,-0.3
1981/2/11,1.2,2.9,-0.4
1981/2/12,3.5,6.7,-0.2
1981/2/13,4.8,8.6,1.1
1981/2/14,5.7,9.9,2.6
1981/2/15,5.4,9.7,-1.0
1981/2/16,6.6,10.3,4.2
1981/2/17,0.9,4.2,-0.4
1981/2/18,2.2,7.0,-3.2
1981/2/19,3.1,6.5,0.6
1981/2/20,1.0,2.0,-0.5
1981/2/21,1.4,2.9,-1.2
1981/2/22,-0.1,1.3,-1.8
1981/2/23,0.8,3.5,-2.0
1981/2/24,2.4,6.1,0.3
1981/2/25,0.6,2.3,-0.7
1981/2/26,-2.5,-0.5,-4.2
1981/2/27,-2.5,0.9,-5.7
1981/2/28,-0.8,2.1,-2.4
1981/3/1,0.9,2.9,-2.9
1981/3/2,0.4,5.0,-2.8
1981/3/3,1.7,7.1,-2.6
1981/3/4,3.5,6.5,0.5
1981/3/5,3.7,6.2,0.4
1981/3/6,0.2,4.9,-1.6
1981/3/7,3.1,8.9,-2.1
1981/3/8,3.1,5.8,0.2
1981/3/9,2.7,5.2,-0.1
1981/3/10,2.3,3.8,-0.3
1981/3/11,1.9,5.1,-0.7
1981/3/12,4.4,12.7,-2.8
1981/3/13,7.6,13.3,0.8
1981/3/14,10.7,13.8,8.4
1981/3/15,6.8,10.9,2.1
1981/3/16,2.9,5.2,1.1
1981/3/17,5.0,6.9,1.7
1981/3/18,6.1,11.5,1.8
1981/3/19,9.8,17.2,1.4
1981/3/20,10.7,18.0,6.1
1981/3/21,8.2,10.7,5.0
1981/3/22,9.4,12.2,7.4
1981/3/23,6.6,8.8,4.5
1981/3/24,6.0,9.1,0.0
1981/3/25,9.0,11.8,5.9
1981/3/26,8.3,11.4,4.0
1981/3/27,4.5,6.0,2.5
1981/3/28,5.7,8.4,3.1
1981/3/29,5.9,11.9,1.0
1981/3/30,5.9,8.6,4.1
1981/3/31,5.0,8.9,1.1
1981/4/1,6.8,13.6,-0.1
1981/4/2,6.7,7.9,5.9
1981/4/3,8.2,12.0,5.5
1981/4/4,9.7,15.7,3.6
1981/4/5,10.1,14.7,3.4
1981/4/6,9.0,10.9,6.6
1981/4/7,9.5,13.3,7.0
1981/4/8,8.0,12.9,2.7
1981/4/9,13.8,20.9,4.9
1981/4/10,12.3,15.3,10.2
1981/4/11,10.8,12.3,9.3
1981/4/12,10.9,15.2,8.8
1981/4/13,7.2,9.3,3.2
1981/4/14,8.5,13.1,2.7
1981/4/15,9.7,15.2,3.1
1981/4/16,9.1,11.8,8.0
1981/4/17,9.1,12.5,6.0
1981/4/18,7.8,10.6,5.3
1981/4/19,9.6,15.2,2.8
1981/4/20,9.3,12.4,7.2
1981/4/21,8.6,11.2,6.0
1981/4/22,12.2,19.4,3.6
1981/4/23,15.2,22.6,7.1
1981/4/24,16.0,24.0,8.0
1981/4/25,11.3,13.2,9.1
1981/4/26,12.4,18.5,5.1
1981/4/27,12.1,19.4,7.6
1981/4/28,10.3,14.8,5.6
1981/4/29,16.9,25.3,6.4
1981/4/30,15.3,20.9,11.6
1981/5/1,14.8,19.5,12.2
