ダウンロードした時刻：2017/07/24 15:42:43

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,12.2,14.1,10.0
1982/1/2,11.2,12.1,10.2
1982/1/3,11.1,12.8,9.7
1982/1/4,15.5,17.1,11.9
1982/1/5,15.2,17.2,12.4
1982/1/6,9.7,12.7,9.0
1982/1/7,9.1,11.2,6.3
1982/1/8,7.7,10.4,5.4
1982/1/9,11.3,13.5,8.9
1982/1/10,9.8,13.5,5.8
1982/1/11,9.6,12.7,5.6
1982/1/12,13.7,17.5,6.5
1982/1/13,11.0,14.6,8.6
1982/1/14,9.2,9.9,7.9
1982/1/15,9.1,10.0,8.4
1982/1/16,8.3,9.8,5.5
1982/1/17,5.2,7.7,1.2
1982/1/18,9.2,11.6,4.0
1982/1/19,7.7,11.0,4.9
1982/1/20,7.3,8.5,5.7
1982/1/21,9.4,11.4,7.6
1982/1/22,11.4,12.2,10.1
1982/1/23,11.3,12.9,9.5
1982/1/24,9.6,13.0,4.4
1982/1/25,9.6,12.4,4.2
1982/1/26,8.5,10.4,6.0
1982/1/27,9.9,10.9,7.0
1982/1/28,8.1,9.8,5.6
1982/1/29,4.8,7.1,3.5
1982/1/30,4.3,6.3,1.1
1982/1/31,6.9,10.0,2.0
1982/2/1,8.8,10.7,7.0
1982/2/2,5.6,7.9,2.7
1982/2/3,7.9,10.0,2.2
1982/2/4,9.3,11.3,7.8
1982/2/5,7.2,8.6,4.6
1982/2/6,6.8,9.4,3.1
1982/2/7,5.6,6.7,4.8
1982/2/8,6.5,7.8,5.2
1982/2/9,7.2,8.3,5.5
1982/2/10,7.9,8.8,7.4
1982/2/11,8.1,9.7,6.5
1982/2/12,9.5,10.8,5.9
1982/2/13,9.4,10.0,8.7
1982/2/14,6.6,8.9,2.6
1982/2/15,6.6,9.1,3.0
1982/2/16,9.9,11.5,4.2
1982/2/17,9.1,11.4,6.8
1982/2/18,8.8,10.4,7.4
1982/2/19,12.0,14.7,6.5
1982/2/20,15.2,16.7,13.6
1982/2/21,11.8,14.7,9.0
1982/2/22,9.9,11.8,6.8
1982/2/23,9.7,12.2,6.7
1982/2/24,7.8,11.6,6.2
1982/2/25,6.0,9.1,1.6
1982/2/26,6.0,8.7,1.9
1982/2/27,8.5,12.0,1.6
1982/2/28,10.7,12.1,8.8
1982/3/1,10.4,11.7,8.8
1982/3/2,8.7,10.6,3.6
1982/3/3,6.8,9.4,3.7
1982/3/4,11.4,13.6,4.8
1982/3/5,14.6,16.5,12.0
1982/3/6,11.8,14.0,10.8
1982/3/7,9.3,10.8,8.4
1982/3/8,8.8,10.3,7.5
1982/3/9,10.1,11.3,8.3
1982/3/10,11.1,12.8,9.6
1982/3/11,12.2,14.4,9.9
1982/3/12,11.9,16.3,7.3
1982/3/13,11.9,13.2,10.1
1982/3/14,11.3,12.6,10.0
1982/3/15,14.7,17.0,11.2
1982/3/16,15.3,16.6,13.6
1982/3/17,14.1,17.6,12.6
1982/3/18,11.5,13.1,10.5
1982/3/19,10.9,11.9,9.5
1982/3/20,12.5,15.1,10.1
1982/3/21,14.5,19.0,13.1
1982/3/22,13.2,16.0,9.1
1982/3/23,16.5,19.1,12.6
1982/3/24,15.5,18.4,10.9
1982/3/25,9.0,12.1,7.8
1982/3/26,8.5,10.8,4.4
1982/3/27,10.1,11.2,8.4
1982/3/28,10.6,11.1,10.0
1982/3/29,9.9,11.8,6.8
1982/3/30,15.2,18.1,10.5
1982/3/31,15.1,17.7,11.6
1982/4/1,14.7,16.5,10.7
1982/4/2,15.5,18.3,12.6
1982/4/3,16.8,19.0,13.8
1982/4/4,10.0,13.8,8.1
1982/4/5,9.5,12.6,5.8
1982/4/6,12.4,16.9,6.1
1982/4/7,15.5,18.4,11.4
1982/4/8,15.6,17.8,11.5
1982/4/9,14.9,20.5,10.6
1982/4/10,11.0,13.9,9.0
1982/4/11,11.2,14.3,7.8
1982/4/12,13.0,17.8,8.2
1982/4/13,14.1,16.9,10.7
1982/4/14,16.4,20.8,11.1
1982/4/15,16.7,19.2,14.6
1982/4/16,17.3,19.6,14.6
1982/4/17,14.5,16.5,13.2
1982/4/18,14.0,15.4,12.8
1982/4/19,12.4,16.0,7.8
1982/4/20,15.6,19.0,7.3
1982/4/21,14.4,18.3,11.4
1982/4/22,13.2,14.0,12.5
1982/4/23,14.7,18.0,11.8
1982/4/24,15.3,18.2,11.9
1982/4/25,14.8,19.1,10.3
1982/4/26,15.5,21.1,9.6
1982/4/27,16.9,20.8,12.6
1982/4/28,17.4,19.8,15.6
1982/4/29,17.0,20.0,15.0
1982/4/30,18.8,21.3,13.9
1982/5/1,20.4,23.7,17.7
