ダウンロードした時刻：2019/10/10 16:25:25

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,9.8,13.1,6.7
2012/12/2,12.0,13.6,10.7
2012/12/3,14.0,18.6,11.4
2012/12/4,10.5,14.1,5.2
2012/12/5,8.1,11.2,4.4
2012/12/6,8.4,12.6,3.7
2012/12/7,9.0,14.8,3.1
2012/12/8,11.1,14.7,6.7
2012/12/9,7.7,11.5,4.1
2012/12/10,5.7,10.5,2.4
2012/12/11,6.7,10.6,3.2
2012/12/12,7.0,10.7,3.7
2012/12/13,8.5,15.0,1.8
2012/12/14,13.9,19.7,6.7
2012/12/15,16.1,18.7,13.8
2012/12/16,14.4,17.0,10.6
2012/12/17,14.9,18.1,12.8
2012/12/18,9.2,13.1,5.1
2012/12/19,5.7,10.0,2.5
2012/12/20,7.4,14.0,1.9
2012/12/21,12.8,16.4,6.3
2012/12/22,13.4,16.6,8.2
2012/12/23,6.8,10.9,3.7
2012/12/24,4.7,8.4,2.8
2012/12/25,7.4,12.2,4.0
2012/12/26,6.4,12.5,1.9
2012/12/27,8.9,13.5,2.3
2012/12/28,14.8,19.1,10.4
2012/12/29,12.3,17.3,7.7
2012/12/30,9.5,13.1,5.4
2012/12/31,4.7,8.1,2.2
2013/1/1,7.3,13.3,2.8
2013/1/2,9.1,16.1,4.3
2013/1/3,5.6,8.2,1.7
2013/1/4,4.4,8.7,0.9
2013/1/5,7.1,10.4,5.6
2013/1/6,6.7,10.1,4.1
2013/1/7,7.3,11.4,2.2
2013/1/8,9.4,12.6,6.6
2013/1/9,7.6,12.1,4.7
2013/1/10,5.3,10.0,2.6
2013/1/11,6.6,12.7,0.8
2013/1/12,10.8,16.2,7.3
2013/1/13,11.3,12.4,8.1
2013/1/14,10.9,14.6,7.2
2013/1/15,8.6,13.7,4.8
2013/1/16,8.6,15.3,3.2
2013/1/17,6.2,9.8,2.3
2013/1/18,5.3,10.9,1.3
2013/1/19,6.3,13.0,0.8
2013/1/20,7.4,12.8,1.7
2013/1/21,10.9,13.9,7.0
2013/1/22,12.8,16.2,10.1
2013/1/23,10.1,14.2,6.5
2013/1/24,8.9,13.6,4.5
2013/1/25,7.2,10.6,4.5
2013/1/26,5.3,7.7,3.2
2013/1/27,4.2,8.1,2.2
2013/1/28,5.4,11.2,1.0
2013/1/29,6.4,12.7,0.3
2013/1/30,9.2,15.8,2.6
2013/1/31,11.7,17.9,5.5
2013/2/1,15.2,18.4,12.2
2013/2/2,14.0,18.3,8.5
2013/2/3,12.1,17.2,5.7
2013/2/4,16.6,20.7,12.9
2013/2/5,12.5,13.9,10.6
2013/2/6,12.4,15.1,9.8
2013/2/7,8.5,11.6,3.6
2013/2/8,3.4,6.9,0.8
2013/2/9,6.1,12.2,2.4
2013/2/10,7.8,14.2,3.0
2013/2/11,8.6,15.6,2.2
2013/2/12,9.6,11.7,5.6
2013/2/13,8.3,14.4,4.8
2013/2/14,9.6,12.9,5.1
2013/2/15,9.6,12.5,5.7
2013/2/16,7.8,14.1,3.0
2013/2/17,10.2,14.8,3.3
2013/2/18,15.7,18.6,13.2
2013/2/19,9.9,13.2,7.1
2013/2/20,8.1,14.2,4.1
2013/2/21,7.6,14.2,2.6
2013/2/22,7.9,13.3,3.8
2013/2/23,7.8,14.2,3.2
2013/2/24,8.1,14.9,1.9
2013/2/25,10.4,15.3,5.2
2013/2/26,12.1,14.3,10.7
2013/2/27,15.1,20.7,10.8
2013/2/28,13.5,19.4,7.8
2013/3/1,13.2,22.2,9.0
2013/3/2,9.4,14.5,6.6
2013/3/3,8.5,14.4,5.3
2013/3/4,9.2,14.8,4.1
2013/3/5,10.3,17.5,4.6
2013/3/6,11.0,19.3,4.3
2013/3/7,12.9,19.9,5.5
2013/3/8,17.4,22.7,12.7
2013/3/9,18.0,25.5,12.0
2013/3/10,18.7,24.1,12.6
2013/3/11,13.2,17.8,8.5
2013/3/12,15.3,21.0,9.1
2013/3/13,17.7,23.0,13.6
2013/3/14,12.4,18.1,9.0
2013/3/15,12.4,17.9,7.4
2013/3/16,13.9,21.9,8.3
2013/3/17,15.3,20.4,9.1
2013/3/18,18.5,21.8,14.8
2013/3/19,16.7,22.6,11.2
2013/3/20,15.9,20.7,11.9
2013/3/21,12.6,18.7,8.4
2013/3/22,11.7,15.7,6.7
2013/3/23,13.8,18.9,9.8
2013/3/24,14.2,17.9,12.4
2013/3/25,13.8,18.8,9.0
2013/3/26,12.0,16.6,6.5
2013/3/27,13.8,15.6,12.0
2013/3/28,17.3,22.3,13.3
2013/3/29,16.1,19.9,13.7
2013/3/30,15.9,22.0,10.5
2013/3/31,16.6,21.3,12.8
