ダウンロードした時刻：2017/07/24 15:38:49

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,2.8,6.0,-0.2
1981/1/2,2.9,9.6,0.1
1981/1/3,2.4,3.9,0.5
1981/1/4,1.9,4.0,0.3
1981/1/5,0.2,1.5,-0.8
1981/1/6,0.4,1.6,-0.8
1981/1/7,1.2,2.4,-0.5
1981/1/8,1.8,3.6,0.3
1981/1/9,3.5,6.6,0.8
1981/1/10,2.6,4.8,0.1
1981/1/11,0.0,1.5,-0.9
1981/1/12,0.6,2.2,-0.9
1981/1/13,-0.7,0.8,-1.7
1981/1/14,0.7,2.8,-1.5
1981/1/15,0.4,3.6,-1.3
1981/1/16,-0.6,1.5,-3.5
1981/1/17,-0.4,1.4,-3.6
1981/1/18,1.0,4.2,-5.0
1981/1/19,0.9,3.0,-0.2
1981/1/20,0.2,2.8,-0.5
1981/1/21,0.1,2.6,-1.1
1981/1/22,-0.9,1.1,-2.8
1981/1/23,1.0,4.2,-1.1
1981/1/24,2.7,5.1,-0.5
1981/1/25,1.2,4.0,-0.4
1981/1/26,-1.0,0.8,-2.2
1981/1/27,-0.2,2.9,-2.7
1981/1/28,0.0,2.5,-1.6
1981/1/29,1.2,4.3,-2.1
1981/1/30,1.0,3.8,-1.8
1981/1/31,1.9,6.7,-1.9
1981/2/1,2.5,4.7,0.5
1981/2/2,2.2,4.2,0.6
1981/2/3,2.0,5.2,-0.2
1981/2/4,0.5,3.0,-0.9
1981/2/5,0.3,2.0,-2.9
1981/2/6,2.0,5.8,-1.0
1981/2/7,1.7,6.0,-2.7
1981/2/8,2.1,4.1,0.6
1981/2/9,2.0,5.9,0.7
1981/2/10,2.0,4.1,0.1
1981/2/11,1.4,3.3,-0.2
1981/2/12,5.7,8.7,2.9
1981/2/13,5.1,7.9,1.3
1981/2/14,4.5,7.7,0.8
1981/2/15,7.6,13.4,0.5
1981/2/16,5.7,8.8,1.6
1981/2/17,0.6,2.6,-1.1
1981/2/18,1.9,9.0,-4.7
1981/2/19,3.8,8.0,0.8
1981/2/20,1.0,4.0,-1.7
1981/2/21,1.6,4.0,-1.3
1981/2/22,2.1,6.1,-2.7
1981/2/23,2.3,4.1,-0.3
1981/2/24,3.9,7.6,0.9
1981/2/25,-1.8,2.5,-3.5
1981/2/26,-3.9,-1.7,-5.5
1981/2/27,-1.7,1.0,-5.7
1981/2/28,0.6,3.1,-2.8
1981/3/1,1.9,4.6,-0.7
1981/3/2,2.6,6.0,-0.1
1981/3/3,3.4,8.2,-2.6
1981/3/4,5.5,9.1,2.7
1981/3/5,5.0,8.9,1.2
1981/3/6,2.0,6.9,0.0
1981/3/7,4.8,10.3,-1.8
1981/3/8,3.6,6.9,1.7
1981/3/9,2.7,3.6,0.8
1981/3/10,1.1,2.9,0.0
1981/3/11,1.9,6.1,-0.9
1981/3/12,6.2,13.9,-1.5
1981/3/13,9.0,15.0,3.3
1981/3/14,11.6,17.0,6.2
1981/3/15,6.5,14.1,2.9
1981/3/16,4.1,8.1,1.5
1981/3/17,5.4,10.8,1.0
1981/3/18,6.8,12.0,1.3
1981/3/19,11.2,19.9,1.8
1981/3/20,11.8,18.5,7.3
1981/3/21,8.6,12.4,5.7
1981/3/22,9.5,14.3,6.6
1981/3/23,7.6,10.5,4.9
1981/3/24,7.6,11.8,2.2
1981/3/25,12.8,22.4,6.8
1981/3/26,8.7,13.6,3.7
1981/3/27,5.8,8.8,3.8
1981/3/28,5.5,10.7,1.4
1981/3/29,7.9,13.6,1.4
1981/3/30,6.9,11.0,4.3
1981/3/31,5.7,8.8,2.3
1981/4/1,8.1,13.8,1.7
1981/4/2,7.2,8.7,3.9
1981/4/3,8.0,12.8,1.1
1981/4/4,9.1,14.6,5.1
1981/4/5,8.5,13.3,3.4
1981/4/6,9.5,12.1,4.9
1981/4/7,9.4,16.5,4.1
1981/4/8,10.4,18.6,2.1
1981/4/9,14.2,21.4,7.9
1981/4/10,11.5,14.4,9.0
1981/4/11,13.4,18.8,9.8
1981/4/12,14.6,21.1,8.0
1981/4/13,9.2,13.1,7.5
1981/4/14,10.7,14.9,6.6
1981/4/15,12.7,19.9,4.3
1981/4/16,9.0,12.6,7.5
1981/4/17,10.1,13.7,6.7
1981/4/18,11.4,17.1,6.6
1981/4/19,11.2,17.7,8.0
1981/4/20,8.4,12.0,6.9
1981/4/21,10.6,14.5,7.4
1981/4/22,13.8,21.6,5.1
1981/4/23,15.3,21.8,9.1
1981/4/24,18.5,24.4,8.9
1981/4/25,12.0,20.1,7.8
1981/4/26,13.7,21.7,5.6
1981/4/27,16.7,21.7,9.9
1981/4/28,14.2,21.8,8.1
1981/4/29,18.8,27.0,10.3
1981/4/30,15.3,18.9,13.3
1981/5/1,16.9,22.3,10.2
