ダウンロードした時刻：2019/10/10 16:05:51

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,8.5,11.6,5.8
1998/12/2,9.2,11.3,7.4
1998/12/3,8.8,10.4,7.2
1998/12/4,9.2,16.7,4.6
1998/12/5,9.8,14.2,7.7
1998/12/6,8.6,11.3,4.2
1998/12/7,8.7,13.5,3.0
1998/12/8,9.2,12.9,6.9
1998/12/9,6.0,8.7,4.3
1998/12/10,5.6,10.2,1.5
1998/12/11,4.4,8.6,0.6
1998/12/12,5.4,10.4,0.8
1998/12/13,5.1,15.3,-1.2
1998/12/14,7.2,16.5,0.5
1998/12/15,8.3,11.8,4.9
1998/12/16,7.2,14.6,3.2
1998/12/17,8.7,15.3,3.4
1998/12/18,7.9,13.6,2.9
1998/12/19,6.5,17.7,-0.4
1998/12/20,8.7,13.1,3.9
1998/12/21,6.1,10.7,1.6
1998/12/22,6.7,16.3,0.5
1998/12/23,8.6,12.5,6.5
1998/12/24,7.8,9.6,5.5
1998/12/25,6.4,10.8,3.8
1998/12/26,6.2,9.2,3.3
1998/12/27,5.1,11.4,2.2
1998/12/28,5.8,11.0,1.1
1998/12/29,8.2,15.2,4.4
1998/12/30,6.0,10.9,2.1
1998/12/31,2.8,4.4,0.3
1999/1/1,1.4,2.8,0.3
1999/1/2,3.7,7.5,0.0
1999/1/3,3.4,4.7,1.7
1999/1/4,4.8,8.3,2.9
1999/1/5,5.1,12.6,1.2
1999/1/6,5.3,13.3,-0.3
1999/1/7,4.2,8.4,-0.1
1999/1/8,-1.2,1.6,-1.9
1999/1/9,-0.8,0.6,-1.8
1999/1/10,0.6,3.4,-2.7
1999/1/11,2.1,4.9,0.6
1999/1/12,1.3,3.5,0.4
1999/1/13,2.2,5.9,0.4
1999/1/14,2.5,5.1,1.2
1999/1/15,2.5,7.9,0.8
1999/1/16,3.5,9.1,0.4
1999/1/17,2.7,5.9,-1.8
1999/1/18,1.6,11.4,-3.7
1999/1/19,1.2,3.6,-1.8
1999/1/20,4.7,12.6,1.6
1999/1/21,2.4,6.7,0.2
1999/1/22,3.4,11.8,-1.5
1999/1/23,5.3,12.6,1.1
1999/1/24,6.3,10.4,3.9
1999/1/25,5.4,9.3,2.0
1999/1/26,5.1,10.0,0.6
1999/1/27,4.3,12.7,-1.9
1999/1/28,3.2,6.1,1.1
1999/1/29,1.3,3.8,0.1
1999/1/30,1.8,6.0,0.1
1999/1/31,3.6,10.4,-0.3
1999/2/1,3.0,8.3,-1.3
1999/2/2,2.0,4.3,0.2
1999/2/3,-1.8,0.4,-3.9
1999/2/4,-1.1,2.3,-4.1
1999/2/5,-0.7,5.8,-5.7
1999/2/6,1.3,5.5,-2.4
1999/2/7,1.5,10.0,-3.9
1999/2/8,3.4,11.3,-1.4
1999/2/9,3.5,12.8,-0.3
1999/2/10,2.3,5.0,0.4
1999/2/11,2.4,5.0,0.7
1999/2/12,0.4,2.8,-1.2
1999/2/13,-0.4,1.2,-1.8
1999/2/14,1.0,3.9,-1.9
1999/2/15,2.5,8.0,-0.4
1999/2/16,2.6,12.4,-1.6
1999/2/17,3.6,15.5,-4.0
1999/2/18,2.7,4.6,0.6
1999/2/19,1.7,5.2,-0.7
1999/2/20,1.7,7.2,-2.5
1999/2/21,0.9,4.3,-0.3
1999/2/22,2.6,8.3,-2.0
1999/2/23,3.3,9.6,-0.3
1999/2/24,3.0,6.1,0.9
1999/2/25,5.1,9.9,0.5
1999/2/26,3.4,7.5,0.1
1999/2/27,3.9,10.9,0.5
1999/2/28,2.1,6.6,-0.5
1999/3/1,5.0,15.7,-1.2
1999/3/2,6.1,13.8,0.5
1999/3/3,7.3,17.5,2.0
1999/3/4,7.9,18.8,-0.9
1999/3/5,13.8,21.0,5.5
1999/3/6,7.2,10.7,4.4
1999/3/7,5.7,7.1,4.5
1999/3/8,6.5,8.5,4.9
1999/3/9,5.5,7.9,3.0
1999/3/10,6.2,12.0,2.6
1999/3/11,6.2,10.9,3.5
1999/3/12,4.8,8.6,0.1
1999/3/13,8.1,17.9,-2.1
1999/3/14,14.1,21.2,7.8
1999/3/15,12.4,16.9,8.9
1999/3/16,8.8,11.8,4.9
1999/3/17,12.3,22.6,3.0
1999/3/18,15.9,22.1,8.3
1999/3/19,12.1,17.9,5.7
1999/3/20,6.0,6.7,4.1
1999/3/21,6.3,9.8,2.8
1999/3/22,3.1,6.6,1.3
1999/3/23,4.0,11.0,-1.4
1999/3/24,9.2,19.7,-1.5
1999/3/25,13.8,20.1,8.9
1999/3/26,14.3,18.0,10.8
1999/3/27,8.1,13.3,3.1
1999/3/28,5.7,10.6,1.5
1999/3/29,4.4,8.1,2.2
1999/3/30,5.3,9.0,1.3
1999/3/31,9.2,16.4,5.4
