ダウンロードした時刻：2019/10/10 16:01:08

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,14.3,17.8,9.5
1982/12/2,11.1,17.3,4.9
1982/12/3,14.5,19.2,9.1
1982/12/4,11.2,17.1,6.4
1982/12/5,15.3,20.0,4.9
1982/12/6,8.6,15.8,5.2
1982/12/7,4.8,9.0,0.6
1982/12/8,6.3,12.9,-0.8
1982/12/9,6.0,11.4,2.5
1982/12/10,7.4,15.0,1.5
1982/12/11,17.0,20.3,3.9
1982/12/12,15.6,19.0,12.0
1982/12/13,8.9,12.9,5.2
1982/12/14,5.8,9.4,2.8
1982/12/15,5.5,12.9,1.5
1982/12/16,9.5,13.7,1.2
1982/12/17,12.5,13.9,10.7
1982/12/18,8.6,13.0,4.4
1982/12/19,4.2,6.9,1.4
1982/12/20,4.9,12.8,-0.8
1982/12/21,6.4,13.8,0.2
1982/12/22,8.7,9.8,6.3
1982/12/23,12.2,16.4,6.6
1982/12/24,12.5,15.4,4.9
1982/12/25,11.1,14.7,6.6
1982/12/26,7.3,10.3,5.8
1982/12/27,8.5,12.5,3.9
1982/12/28,7.8,12.3,3.2
1982/12/29,6.5,12.6,2.0
1982/12/30,6.5,14.8,0.7
1982/12/31,7.0,10.9,2.3
1983/1/1,5.7,10.6,1.2
1983/1/2,4.4,7.2,0.6
1983/1/3,4.4,9.9,-0.1
1983/1/4,5.6,10.2,-0.9
1983/1/5,13.9,16.2,5.4
1983/1/6,8.5,11.8,5.5
1983/1/7,6.8,11.5,1.4
1983/1/8,12.5,16.7,7.1
1983/1/9,8.0,11.5,4.7
1983/1/10,5.1,10.0,0.9
1983/1/11,2.8,9.0,-1.7
1983/1/12,5.8,12.0,-2.4
1983/1/13,6.4,11.4,0.0
1983/1/14,4.4,9.7,-0.4
1983/1/15,4.1,11.4,-2.1
1983/1/16,4.3,9.4,0.1
1983/1/17,6.1,12.4,-0.9
1983/1/18,5.0,6.9,3.2
1983/1/19,7.4,11.7,1.1
1983/1/20,6.0,9.9,2.0
1983/1/21,5.4,9.3,0.1
1983/1/22,2.7,6.8,-2.3
1983/1/23,0.8,7.1,-5.9
1983/1/24,4.0,11.5,-1.8
1983/1/25,6.2,11.7,-2.0
1983/1/26,7.0,14.0,-0.6
1983/1/27,6.4,12.6,2.4
1983/1/28,5.7,12.8,0.5
1983/1/29,9.8,15.9,-0.8
1983/1/30,10.5,17.2,2.5
1983/1/31,6.5,11.6,3.0
1983/2/1,9.0,14.4,1.2
1983/2/2,6.5,8.0,5.5
1983/2/3,6.6,9.7,3.5
1983/2/4,4.8,9.6,0.4
1983/2/5,5.1,10.9,1.0
1983/2/6,8.8,14.2,-0.6
1983/2/7,9.4,11.7,5.6
1983/2/8,7.3,10.3,1.0
1983/2/9,8.9,12.0,6.9
1983/2/10,7.5,10.8,4.1
1983/2/11,5.7,8.4,2.5
1983/2/12,7.0,10.0,1.9
1983/2/13,3.3,8.4,-1.9
1983/2/14,3.0,7.2,-0.5
1983/2/15,8.8,13.0,-0.8
1983/2/16,7.3,13.4,-0.9
1983/2/17,4.6,8.3,2.7
1983/2/18,8.6,14.1,4.7
1983/2/19,6.1,9.7,3.4
1983/2/20,7.0,10.6,4.4
1983/2/21,4.2,8.6,-2.1
1983/2/22,4.0,10.3,-2.4
1983/2/23,5.4,11.7,-1.4
1983/2/24,4.8,6.7,3.7
1983/2/25,6.4,10.9,1.6
1983/2/26,5.4,9.8,1.8
1983/2/27,4.7,10.3,-1.8
1983/2/28,5.7,12.4,-0.4
1983/3/1,8.1,14.0,-1.0
1983/3/2,9.3,17.4,7.5
1983/3/3,13.5,18.1,9.2
1983/3/4,6.2,9.2,1.6
1983/3/5,5.1,10.6,-0.6
1983/3/6,6.0,11.6,-2.0
1983/3/7,6.4,11.1,0.5
1983/3/8,4.7,10.0,-0.9
1983/3/9,5.4,10.5,-2.9
1983/3/10,8.7,10.8,6.2
1983/3/11,10.2,17.2,3.4
1983/3/12,10.0,14.4,1.4
1983/3/13,11.6,14.9,7.7
1983/3/14,7.6,11.6,1.9
1983/3/15,6.0,12.4,0.0
1983/3/16,8.0,11.7,2.5
1983/3/17,9.3,15.0,6.4
1983/3/18,7.8,12.8,1.3
1983/3/19,5.7,12.6,-2.1
1983/3/20,10.5,15.3,1.6
1983/3/21,12.2,16.7,8.7
1983/3/22,10.3,17.5,4.2
1983/3/23,12.4,16.8,3.8
1983/3/24,11.4,17.0,7.9
1983/3/25,7.8,9.6,5.0
1983/3/26,9.5,13.3,5.1
1983/3/27,7.0,8.4,6.1
1983/3/28,9.0,11.9,6.5
1983/3/29,8.6,12.4,5.4
1983/3/30,9.8,13.7,6.4
1983/3/31,11.0,16.3,7.5
