ダウンロードした時刻：2019/10/10 15:43:01

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,15.6,18.1,13.1
1990/12/2,10.7,13.2,8.3
1990/12/3,6.9,10.5,5.7
1990/12/4,8.0,10.2,5.3
1990/12/5,9.4,12.7,5.7
1990/12/6,12.6,14.6,8.2
1990/12/7,14.4,15.8,12.9
1990/12/8,14.7,16.3,12.9
1990/12/9,14.4,16.9,11.2
1990/12/10,12.6,14.6,10.6
1990/12/11,10.2,12.5,7.7
1990/12/12,7.6,10.2,5.1
1990/12/13,6.3,9.3,3.7
1990/12/14,10.4,13.7,4.3
1990/12/15,4.4,8.7,2.6
1990/12/16,3.5,5.8,1.2
1990/12/17,4.3,6.7,1.6
1990/12/18,6.8,9.5,4.2
1990/12/19,5.5,6.1,4.2
1990/12/20,6.5,9.3,3.2
1990/12/21,9.0,12.7,6.3
1990/12/22,11.1,13.7,7.6
1990/12/23,5.5,10.5,2.9
1990/12/24,4.3,5.4,2.1
1990/12/25,5.7,8.2,3.6
1990/12/26,6.2,11.4,2.7
1990/12/27,5.4,6.8,2.8
1990/12/28,4.8,6.5,3.0
1990/12/29,4.8,6.1,3.4
1990/12/30,6.0,8.0,3.6
1990/12/31,9.2,11.3,6.3
1991/1/1,9.9,13.2,7.5
1991/1/2,7.1,11.5,4.3
1991/1/3,2.1,5.5,0.4
1991/1/4,2.7,4.8,1.0
1991/1/5,1.9,3.6,0.2
1991/1/6,1.7,3.1,-0.1
1991/1/7,2.6,4.6,0.0
1991/1/8,2.2,3.8,0.2
1991/1/9,3.4,4.6,-0.3
1991/1/10,4.8,6.4,3.4
1991/1/11,4.0,4.8,2.7
1991/1/12,3.5,7.9,0.2
1991/1/13,3.1,6.8,0.8
1991/1/14,3.6,5.9,1.1
1991/1/15,1.9,3.5,-0.7
1991/1/16,3.0,4.7,1.7
1991/1/17,4.8,7.3,1.3
1991/1/18,1.9,6.3,-1.4
1991/1/19,5.6,9.0,1.9
1991/1/20,7.3,11.1,3.0
1991/1/21,7.5,9.9,5.1
1991/1/22,4.0,6.8,1.2
1991/1/23,0.3,2.3,-1.7
1991/1/24,4.4,6.9,2.1
1991/1/25,5.7,9.3,3.2
1991/1/26,3.6,5.1,2.1
1991/1/27,2.8,4.8,-0.1
1991/1/28,1.3,3.0,-1.0
1991/1/29,2.3,4.8,0.4
1991/1/30,2.7,4.7,0.6
1991/1/31,3.9,5.3,2.4
1991/2/1,2.7,3.9,0.6
1991/2/2,1.2,2.5,-0.7
1991/2/3,2.4,4.0,-0.4
1991/2/4,2.9,5.0,-0.9
1991/2/5,1.5,3.0,-0.6
1991/2/6,2.6,4.1,0.8
1991/2/7,2.3,5.2,-0.4
1991/2/8,0.7,1.7,-0.3
1991/2/9,2.9,5.6,1.0
1991/2/10,5.0,7.1,2.1
1991/2/11,5.5,7.4,2.5
1991/2/12,3.5,5.7,0.8
1991/2/13,2.5,6.0,-0.7
1991/2/14,4.2,9.4,-1.0
1991/2/15,9.3,12.0,6.1
1991/2/16,6.6,9.8,1.9
1991/2/17,2.9,4.5,0.0
1991/2/18,1.7,4.4,-0.2
1991/2/19,2.7,4.3,0.0
1991/2/20,1.3,3.7,-2.0
1991/2/21,1.8,3.5,0.0
1991/2/22,0.2,2.2,-1.7
1991/2/23,-2.1,0.2,-3.8
1991/2/24,-2.0,0.7,-3.7
1991/2/25,1.9,4.2,-1.0
1991/2/26,5.5,7.0,2.2
1991/2/27,7.0,9.4,4.6
1991/2/28,5.4,9.5,1.9
1991/3/1,1.5,3.3,0.3
1991/3/2,1.6,5.3,-2.9
1991/3/3,4.1,6.2,2.2
1991/3/4,8.0,9.5,4.8
1991/3/5,8.8,12.8,4.6
1991/3/6,8.7,12.3,4.3
1991/3/7,2.7,5.1,0.8
1991/3/8,2.9,5.9,-0.7
1991/3/9,5.8,8.4,4.1
1991/3/10,4.4,6.0,3.0
1991/3/11,2.9,5.0,0.5
1991/3/12,5.8,9.0,3.9
1991/3/13,4.0,6.2,2.7
1991/3/14,1.3,4.1,-1.5
1991/3/15,1.6,4.4,-0.6
1991/3/16,2.7,5.5,0.5
1991/3/17,5.0,7.6,3.7
1991/3/18,4.7,8.2,1.4
1991/3/19,9.2,13.4,3.6
1991/3/20,9.6,13.8,3.0
1991/3/21,2.9,5.1,0.7
1991/3/22,6.2,10.9,-0.2
1991/3/23,10.7,16.4,8.6
1991/3/24,8.5,12.2,4.1
1991/3/25,7.7,11.3,4.0
1991/3/26,7.5,10.8,4.3
1991/3/27,7.8,12.1,5.0
1991/3/28,6.6,8.7,5.2
1991/3/29,5.3,7.7,3.3
1991/3/30,8.4,14.8,3.4
1991/3/31,5.4,7.6,2.3
