ダウンロードした時刻：2019/10/10 15:41:11

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,9.1,14.1,5.7
2016/12/2,8.2,12.8,5.0
2016/12/3,9.3,14.5,4.6
2016/12/4,8.1,16.1,1.4
2016/12/5,10.5,16.1,6.4
2016/12/6,7.5,14.9,2.9
2016/12/7,4.5,8.2,2.7
2016/12/8,4.2,8.7,1.0
2016/12/9,6.1,12.6,0.8
2016/12/10,3.9,6.7,0.0
2016/12/11,2.2,5.7,-0.5
2016/12/12,4.2,8.7,0.1
2016/12/13,6.1,13.1,-0.2
2016/12/14,3.5,7.1,0.6
2016/12/15,2.5,5.6,-0.2
2016/12/16,0.7,5.6,-1.7
2016/12/17,2.7,6.2,-1.5
2016/12/18,6.8,12.6,0.0
2016/12/19,6.3,11.5,3.7
2016/12/20,8.5,15.1,4.0
2016/12/21,7.9,16.0,3.2
2016/12/22,11.2,16.7,3.5
2016/12/23,10.9,16.1,4.6
2016/12/24,4.6,7.6,1.3
2016/12/25,2.9,8.5,-1.3
2016/12/26,2.8,8.3,-1.8
2016/12/27,5.4,9.2,2.8
2016/12/28,2.2,5.1,-0.9
2016/12/29,2.6,11.1,-2.7
2016/12/30,1.6,4.2,-0.8
2016/12/31,2.5,5.9,-1.7
2017/1/1,4.5,7.9,1.8
2017/1/2,6.0,11.4,1.2
2017/1/3,5.1,7.8,1.2
2017/1/4,2.9,6.1,0.1
2017/1/5,2.6,5.8,-0.1
2017/1/6,2.3,6.8,-1.1
2017/1/7,3.8,9.8,-1.8
2017/1/8,4.4,7.7,0.6
2017/1/9,5.3,8.4,2.3
2017/1/10,5.6,10.2,1.4
2017/1/11,0.8,2.9,-0.6
2017/1/12,0.3,1.6,-0.6
2017/1/13,0.2,2.2,-1.6
2017/1/14,-2.2,-0.2,-4.2
2017/1/15,-3.1,-1.1,-5.2
2017/1/16,0.9,4.4,-2.5
2017/1/17,2.0,5.3,-1.2
2017/1/18,2.8,7.0,-0.6
2017/1/19,2.8,6.2,-2.1
2017/1/20,-0.6,3.6,-4.6
2017/1/21,2.2,5.9,-0.3
2017/1/22,1.8,7.5,-3.3
2017/1/23,-0.1,1.9,-1.6
2017/1/24,-1.8,0.4,-3.2
2017/1/25,-0.2,3.2,-4.5
2017/1/26,1.3,7.0,-3.0
2017/1/27,2.9,10.5,-2.4
2017/1/28,3.1,6.0,-0.3
2017/1/29,1.8,6.0,-3.0
2017/1/30,4.6,11.8,0.7
2017/1/31,1.7,4.9,-1.0
2017/2/1,1.8,9.0,-3.4
2017/2/2,-1.2,1.7,-3.5
2017/2/3,3.0,6.1,0.3
2017/2/4,5.6,9.5,1.0
2017/2/5,2.6,6.2,-1.4
2017/2/6,5.3,10.8,3.0
2017/2/7,1.1,3.7,-1.2
2017/2/8,1.7,4.6,-0.8
2017/2/9,0.5,2.1,-1.0
2017/2/10,2.1,6.2,-0.1
2017/2/11,1.2,6.4,-2.3
2017/2/12,2.9,6.7,0.0
2017/2/13,3.7,7.9,-0.3
2017/2/14,2.3,8.1,-3.0
2017/2/15,3.9,6.7,0.9
2017/2/16,6.4,13.6,-1.5
2017/2/17,7.3,15.0,1.6
2017/2/18,2.3,5.5,0.3
2017/2/19,0.8,4.6,-1.5
2017/2/20,2.0,6.1,-2.1
2017/2/21,1.2,3.5,-0.9
2017/2/22,3.9,8.6,-1.2
2017/2/23,5.8,15.1,1.9
2017/2/24,2.7,6.3,0.6
2017/2/25,3.1,9.9,-2.7
2017/2/26,4.0,8.7,0.2
2017/2/27,3.4,7.8,0.7
2017/2/28,2.0,8.6,-3.3
2017/3/1,3.2,10.7,-3.2
2017/3/2,5.3,9.7,2.5
2017/3/3,6.1,9.1,3.3
2017/3/4,6.4,12.6,-0.2
2017/3/5,6.8,13.0,1.2
2017/3/6,7.1,13.0,1.0
2017/3/7,2.3,5.8,-0.5
2017/3/8,1.3,5.4,-2.7
2017/3/9,3.9,8.6,-0.5
2017/3/10,3.7,8.6,0.5
2017/3/11,4.2,8.9,0.9
2017/3/12,4.3,11.1,-1.2
2017/3/13,4.4,8.9,-0.3
2017/3/14,4.4,6.7,0.8
2017/3/15,2.3,4.7,0.4
2017/3/16,6.0,9.8,2.8
2017/3/17,5.3,9.5,1.1
2017/3/18,8.4,13.2,3.9
2017/3/19,8.5,13.0,5.0
2017/3/20,8.7,13.9,4.4
2017/3/21,5.8,7.8,3.4
2017/3/22,6.9,11.1,3.9
2017/3/23,5.8,10.9,3.0
2017/3/24,3.7,7.8,1.0
2017/3/25,6.0,10.5,2.9
2017/3/26,5.8,11.7,1.5
2017/3/27,2.0,4.5,0.4
2017/3/28,5.5,10.3,1.1
2017/3/29,6.2,12.0,1.3
2017/3/30,8.8,16.9,0.9
2017/3/31,7.4,9.7,4.8
