ダウンロードした時刻：2017/07/24 15:43:18

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,4.3,6.4,1.4
2001/1/2,6.4,9.0,2.2
2001/1/3,2.9,5.5,0.0
2001/1/4,0.6,2.5,-0.6
2001/1/5,1.8,4.8,0.2
2001/1/6,2.7,4.5,1.0
2001/1/7,3.0,9.5,0.4
2001/1/8,6.7,9.5,3.6
2001/1/9,7.8,13.2,0.7
2001/1/10,7.2,11.3,1.5
2001/1/11,4.2,8.3,0.3
2001/1/12,3.0,5.6,0.7
2001/1/13,2.0,5.3,-0.4
2001/1/14,-1.2,1.9,-4.0
2001/1/15,-2.0,1.4,-4.7
2001/1/16,-1.4,2.9,-5.9
2001/1/17,-0.2,1.9,-1.8
2001/1/18,1.3,4.7,-2.4
2001/1/19,2.0,3.7,-1.3
2001/1/20,1.3,4.2,-2.0
2001/1/21,5.1,8.5,1.4
2001/1/22,3.7,8.5,0.9
2001/1/23,3.2,8.3,0.9
2001/1/24,3.0,6.0,0.3
2001/1/25,3.5,5.1,0.4
2001/1/26,6.2,7.6,3.7
2001/1/27,3.8,8.2,0.4
2001/1/28,4.0,8.5,0.8
2001/1/29,2.4,7.2,-0.5
2001/1/30,2.1,7.0,-2.1
2001/1/31,4.4,9.2,-0.8
2001/2/1,5.3,8.2,3.6
2001/2/2,2.9,5.6,0.4
2001/2/3,1.9,4.4,0.3
2001/2/4,4.1,8.1,0.5
2001/2/5,6.1,12.3,2.3
2001/2/6,5.3,6.9,3.6
2001/2/7,6.2,9.6,2.4
2001/2/8,3.4,8.8,0.0
2001/2/9,2.7,7.2,0.2
2001/2/10,2.5,5.7,1.0
2001/2/11,3.7,8.6,-0.6
2001/2/12,3.2,6.4,1.2
2001/2/13,2.5,6.2,0.0
2001/2/14,2.3,4.6,-0.1
2001/2/15,1.5,5.2,-2.6
2001/2/16,1.6,5.6,0.0
2001/2/17,2.9,8.1,-0.9
2001/2/18,5.8,11.3,0.9
2001/2/19,6.5,13.2,0.6
2001/2/20,4.9,10.8,-0.7
2001/2/21,8.5,13.8,-0.1
2001/2/22,9.2,16.4,4.2
2001/2/23,7.8,14.8,2.1
2001/2/24,6.8,8.5,4.1
2001/2/25,4.0,5.4,1.9
2001/2/26,3.2,7.8,-0.4
2001/2/27,7.6,16.1,-1.5
2001/2/28,10.3,12.8,7.5
2001/3/1,6.2,7.6,4.6
2001/3/2,5.9,9.5,1.2
2001/3/3,7.0,12.6,0.0
2001/3/4,5.6,11.9,-0.2
2001/3/5,3.9,8.6,-0.8
2001/3/6,9.9,16.3,1.7
2001/3/7,5.9,13.3,0.4
2001/3/8,1.6,6.1,-0.8
2001/3/9,0.2,2.4,-1.6
2001/3/10,2.3,5.6,-2.7
2001/3/11,2.1,6.3,-1.5
2001/3/12,3.0,9.9,-3.1
2001/3/13,3.8,8.1,-0.3
2001/3/14,10.9,17.9,-0.4
2001/3/15,9.9,15.7,1.9
2001/3/16,5.4,11.9,0.0
2001/3/17,8.3,12.1,2.8
2001/3/18,10.3,14.9,5.1
2001/3/19,10.3,17.9,2.8
2001/3/20,13.4,20.4,6.0
2001/3/21,12.2,18.4,6.4
2001/3/22,14.4,22.8,5.4
2001/3/23,10.9,16.3,5.1
2001/3/24,13.3,22.7,1.8
2001/3/25,14.4,17.1,11.7
2001/3/26,10.4,13.4,5.3
2001/3/27,8.5,12.6,4.1
2001/3/28,8.9,14.8,3.0
2001/3/29,8.6,12.5,1.3
2001/3/30,2.8,6.1,0.4
2001/3/31,3.2,7.9,1.1
2001/4/1,5.8,11.3,1.3
2001/4/2,11.5,20.4,3.1
2001/4/3,9.3,14.2,4.1
2001/4/4,8.7,13.9,2.5
2001/4/5,10.6,18.6,1.5
2001/4/6,12.5,20.8,5.6
2001/4/7,12.4,19.5,6.1
2001/4/8,17.4,25.9,8.9
2001/4/9,18.1,23.2,12.9
2001/4/10,14.6,20.3,9.6
2001/4/11,16.2,24.6,9.6
2001/4/12,10.6,15.2,6.9
2001/4/13,11.2,16.6,6.5
2001/4/14,11.4,19.7,5.5
2001/4/15,12.9,21.3,5.4
2001/4/16,14.1,23.3,6.4
2001/4/17,16.0,24.3,8.7
2001/4/18,16.7,23.6,10.7
2001/4/19,15.9,24.1,8.4
2001/4/20,10.8,13.5,5.5
2001/4/21,9.4,13.2,5.4
2001/4/22,9.7,15.3,4.6
2001/4/23,13.4,24.0,1.8
2001/4/24,14.4,18.6,11.0
2001/4/25,11.6,16.4,6.4
2001/4/26,10.8,18.7,3.7
2001/4/27,13.3,22.4,3.4
2001/4/28,17.7,25.8,8.3
2001/4/29,16.2,19.5,12.7
2001/4/30,15.9,21.0,10.0
2001/5/1,13.9,18.4,8.9
