ダウンロードした時刻：2017/07/24 15:44:51

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,9.6,11.2,7.8
1991/1/2,9.5,12.1,6.0
1991/1/3,5.4,7.8,2.5
1991/1/4,4.4,6.8,2.4
1991/1/5,3.3,5.5,0.8
1991/1/6,2.9,5.3,0.7
1991/1/7,5.4,8.5,1.5
1991/1/8,5.5,7.4,1.3
1991/1/9,4.3,7.5,1.0
1991/1/10,6.2,9.8,1.6
1991/1/11,6.9,9.8,4.8
1991/1/12,5.9,8.5,3.5
1991/1/13,3.4,6.5,1.4
1991/1/14,3.3,5.9,1.5
1991/1/15,3.8,6.5,1.6
1991/1/16,5.8,9.1,2.0
1991/1/17,6.6,11.1,3.8
1991/1/18,3.6,6.4,1.6
1991/1/19,5.4,9.0,1.8
1991/1/20,6.8,9.0,4.1
1991/1/21,7.4,8.1,6.9
1991/1/22,7.5,10.9,4.2
1991/1/23,3.8,5.5,0.7
1991/1/24,4.7,8.6,0.6
1991/1/25,6.5,8.2,3.6
1991/1/26,4.6,7.2,1.6
1991/1/27,4.3,8.1,1.0
1991/1/28,3.3,5.8,0.6
1991/1/29,3.7,6.6,0.7
1991/1/30,4.1,6.8,1.3
1991/1/31,4.1,7.6,0.8
1991/2/1,5.1,8.7,2.1
1991/2/2,4.4,7.3,1.1
1991/2/3,3.9,7.1,1.0
1991/2/4,5.2,8.9,2.7
1991/2/5,4.0,6.6,1.7
1991/2/6,4.8,8.1,1.3
1991/2/7,5.4,10.0,1.8
1991/2/8,5.4,8.4,2.5
1991/2/9,4.6,7.7,0.7
1991/2/10,7.8,13.2,3.8
1991/2/11,8.6,12.5,6.2
1991/2/12,6.5,9.5,2.8
1991/2/13,5.4,7.0,2.6
1991/2/14,8.1,11.2,5.4
1991/2/15,10.3,12.8,8.8
1991/2/16,6.0,9.4,3.3
1991/2/17,3.1,6.1,1.6
1991/2/18,3.4,6.1,1.2
1991/2/19,3.7,6.2,0.2
1991/2/20,2.3,6.4,-0.7
1991/2/21,2.3,7.4,-0.1
1991/2/22,1.4,7.3,-1.8
1991/2/23,-0.7,1.5,-1.9
1991/2/24,0.4,4.7,-1.8
1991/2/25,0.8,5.1,-1.7
1991/2/26,3.5,8.3,-1.7
1991/2/27,6.7,10.4,2.1
1991/2/28,10.3,15.2,6.5
1991/3/1,3.8,6.5,1.6
1991/3/2,4.4,8.3,0.2
1991/3/3,5.7,10.7,1.4
1991/3/4,7.9,11.6,3.9
1991/3/5,10.3,13.4,7.8
1991/3/6,12.5,17.2,9.6
1991/3/7,8.5,12.0,5.3
1991/3/8,5.8,11.2,3.5
1991/3/9,11.1,15.1,8.1
1991/3/10,8.4,12.0,5.0
1991/3/11,7.0,7.8,6.0
1991/3/12,8.3,11.8,6.1
1991/3/13,8.5,12.5,5.0
1991/3/14,5.2,7.8,2.1
1991/3/15,3.4,6.5,-0.2
1991/3/16,3.4,5.1,0.8
1991/3/17,7.1,12.0,2.8
1991/3/18,7.3,10.8,2.7
1991/3/19,11.6,17.1,6.2
1991/3/20,15.2,20.9,11.5
1991/3/21,8.3,13.7,6.5
1991/3/22,7.9,9.6,5.2
1991/3/23,11.7,16.1,9.0
1991/3/24,10.9,15.1,8.0
1991/3/25,10.1,12.8,7.4
1991/3/26,12.4,16.7,8.8
1991/3/27,12.8,16.7,9.5
1991/3/28,9.6,13.9,7.7
1991/3/29,9.5,13.4,7.1
1991/3/30,10.0,12.2,7.8
1991/3/31,8.7,11.2,7.0
1991/4/1,6.9,9.7,3.7
1991/4/2,6.1,10.1,2.4
1991/4/3,7.8,13.8,2.8
1991/4/4,10.7,16.0,5.2
1991/4/5,13.7,17.8,10.3
1991/4/6,13.0,15.6,11.8
1991/4/7,13.2,15.6,11.8
1991/4/8,14.5,19.8,12.6
1991/4/9,14.3,18.0,11.6
1991/4/10,14.6,21.7,9.4
1991/4/11,15.7,19.1,13.2
1991/4/12,18.6,24.0,14.9
1991/4/13,16.5,19.6,14.4
1991/4/14,14.2,17.3,10.3
1991/4/15,14.4,19.4,9.3
1991/4/16,17.0,22.5,13.4
1991/4/17,17.3,23.0,12.5
1991/4/18,16.4,21.1,9.9
1991/4/19,11.7,17.3,8.2
1991/4/20,12.4,15.9,9.2
1991/4/21,13.4,19.5,8.2
1991/4/22,14.6,20.3,9.7
1991/4/23,14.7,21.0,11.8
1991/4/24,12.5,13.8,11.0
1991/4/25,15.3,20.6,12.0
1991/4/26,15.4,19.2,12.6
1991/4/27,14.3,18.9,12.0
1991/4/28,17.0,23.2,12.1
1991/4/29,15.6,21.4,11.7
1991/4/30,13.9,18.2,9.9
1991/5/1,15.3,18.7,12.2
