ダウンロードした時刻：2019/10/10 15:53:02

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,8.0,11.5,3.0
1984/12/2,7.4,10.2,4.1
1984/12/3,8.2,13.8,2.9
1984/12/4,8.1,15.2,2.0
1984/12/5,10.8,16.4,4.6
1984/12/6,9.3,14.2,3.6
1984/12/7,6.6,13.2,0.2
1984/12/8,6.0,13.9,-0.5
1984/12/9,6.8,14.9,-0.2
1984/12/10,10.3,16.8,2.7
1984/12/11,11.2,12.8,9.4
1984/12/12,14.0,20.0,7.3
1984/12/13,12.1,16.4,9.4
1984/12/14,11.5,13.9,9.2
1984/12/15,6.6,10.3,4.0
1984/12/16,5.8,8.9,1.8
1984/12/17,9.9,14.5,5.5
1984/12/18,6.5,8.4,3.6
1984/12/19,5.2,9.5,2.7
1984/12/20,4.5,10.0,0.4
1984/12/21,4.7,8.0,1.5
1984/12/22,4.3,9.2,1.1
1984/12/23,2.8,7.5,-0.4
1984/12/24,1.2,5.4,-0.5
1984/12/25,-1.2,-0.1,-3.5
1984/12/26,1.3,5.5,-0.6
1984/12/27,2.3,5.8,0.1
1984/12/28,2.9,6.5,1.1
1984/12/29,1.8,5.6,-0.2
1984/12/30,1.3,5.0,-1.0
1984/12/31,1.9,7.3,-2.6
1985/1/1,2.8,8.2,-1.0
1985/1/2,4.0,10.2,-1.4
1985/1/3,3.0,5.7,0.6
1985/1/4,3.6,9.1,-0.3
1985/1/5,1.6,6.6,-2.4
1985/1/6,2.2,6.8,-0.1
1985/1/7,1.8,6.6,-1.0
1985/1/8,2.7,7.9,-1.9
1985/1/9,3.4,9.8,-2.4
1985/1/10,5.0,9.4,0.7
1985/1/11,6.1,10.8,2.4
1985/1/12,4.7,9.2,-0.8
1985/1/13,3.4,7.4,-0.5
1985/1/14,-0.5,3.6,-2.9
1985/1/15,-1.1,3.9,-6.0
1985/1/16,1.7,5.9,-2.3
1985/1/17,1.8,6.0,-1.9
1985/1/18,1.0,6.4,-4.8
1985/1/19,3.7,9.0,-3.5
1985/1/20,5.5,12.0,3.2
1985/1/21,3.3,6.5,0.9
1985/1/22,3.1,6.3,-0.6
1985/1/23,6.1,11.9,3.0
1985/1/24,3.7,6.3,0.2
1985/1/25,2.3,6.7,-1.9
1985/1/26,2.4,8.2,-1.9
1985/1/27,2.7,7.5,-2.4
1985/1/28,3.8,8.8,0.5
1985/1/29,0.9,4.9,-2.0
1985/1/30,-1.2,2.3,-3.5
1985/1/31,0.1,6.0,-5.8
1985/2/1,3.5,8.0,-1.2
1985/2/2,5.0,10.0,1.4
1985/2/3,5.1,10.0,-0.6
1985/2/4,6.5,12.0,2.0
1985/2/5,5.3,6.6,4.0
1985/2/6,6.1,9.3,1.0
1985/2/7,8.1,15.9,1.9
1985/2/8,8.3,13.4,3.2
1985/2/9,10.0,11.7,8.0
1985/2/10,8.8,12.4,3.6
1985/2/11,5.9,10.3,1.9
1985/2/12,5.3,9.8,-0.8
1985/2/13,5.5,9.9,2.7
1985/2/14,1.4,5.5,-1.3
1985/2/15,3.1,9.0,-2.8
1985/2/16,4.0,7.7,0.6
1985/2/17,5.8,9.6,1.9
1985/2/18,6.5,10.5,0.6
1985/2/19,6.3,8.1,5.2
1985/2/20,6.5,8.9,3.4
1985/2/21,2.9,7.9,-2.0
1985/2/22,0.6,4.6,-2.2
1985/2/23,2.4,7.3,-1.3
1985/2/24,0.2,3.9,-1.8
1985/2/25,2.4,8.8,-4.0
1985/2/26,4.1,9.0,0.0
1985/2/27,5.9,10.4,1.2
1985/2/28,6.5,8.0,4.4
1985/3/1,9.3,15.8,6.5
1985/3/2,6.9,9.6,3.7
1985/3/3,6.5,10.8,1.9
1985/3/4,6.1,12.0,1.2
1985/3/5,7.5,12.0,3.6
1985/3/6,7.7,12.5,4.0
1985/3/7,8.3,13.4,2.6
1985/3/8,8.2,11.0,6.2
1985/3/9,9.3,12.5,5.5
1985/3/10,7.3,11.4,5.0
1985/3/11,6.4,7.7,5.2
1985/3/12,6.8,10.3,3.8
1985/3/13,6.9,12.1,1.1
1985/3/14,7.9,12.0,5.0
1985/3/15,6.9,12.9,1.6
1985/3/16,7.9,12.4,2.5
1985/3/17,8.2,10.0,7.0
1985/3/18,12.0,18.1,6.8
1985/3/19,8.8,11.4,5.2
1985/3/20,9.6,14.8,3.3
1985/3/21,9.2,12.8,7.0
1985/3/22,9.4,16.4,3.4
1985/3/23,9.0,15.4,3.0
1985/3/24,10.9,17.9,3.6
1985/3/25,12.3,14.8,8.8
1985/3/26,13.6,18.5,9.0
1985/3/27,9.5,11.9,7.0
1985/3/28,12.4,18.8,7.6
1985/3/29,12.6,20.4,7.0
1985/3/30,8.7,13.2,5.7
1985/3/31,6.1,11.0,2.6
