É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:47:52

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2009/12/1,8.2,14.6,3.4
2009/12/2,8.8,15.4,2.2
2009/12/3,9.4,10.4,7.8
2009/12/4,9.7,14.4,6.3
2009/12/5,9.0,11.8,6.9
2009/12/6,9.0,15.8,3.9
2009/12/7,6.4,13.5,1.5
2009/12/8,5.5,11.7,-0.8
2009/12/9,8.7,12.0,4.5
2009/12/10,8.9,13.5,4.8
2009/12/11,7.5,8.8,6.7
2009/12/12,11.7,16.7,8.0
2009/12/13,8.1,12.1,4.3
2009/12/14,6.6,9.8,2.6
2009/12/15,3.9,8.3,-0.5
2009/12/16,4.2,7.9,-0.1
2009/12/17,3.8,8.3,0.9
2009/12/18,3.2,8.9,-1.2
2009/12/19,1.2,7.2,-3.5
2009/12/20,2.5,9.8,-3.8
2009/12/21,2.3,7.6,-1.9
2009/12/22,2.2,9.5,-4.5
2009/12/23,4.4,11.8,-1.8
2009/12/24,5.5,12.0,-0.7
2009/12/25,5.8,11.4,1.6
2009/12/26,6.6,11.8,2.2
2009/12/27,5.8,10.9,-0.6
2009/12/28,6.8,11.0,1.9
2009/12/29,3.5,9.4,-1.9
2009/12/30,4.3,8.3,1.8
2009/12/31,2.6,10.5,-2.3
2010/1/1,1.6,7.4,-2.9
2010/1/2,2.8,9.5,-2.8
2010/1/3,2.2,8.8,-2.0
2010/1/4,2.3,7.8,-3.5
2010/1/5,4.9,11.9,1.3
2010/1/6,3.1,9.4,-2.1
2010/1/7,3.6,9.8,-2.5
2010/1/8,4.0,10.9,-1.3
2010/1/9,2.8,10.1,-3.0
2010/1/10,3.4,10.2,-2.2
2010/1/11,1.5,5.2,-2.1
2010/1/12,1.7,5.4,-1.1
2010/1/13,2.2,7.4,-2.3
2010/1/14,-0.2,5.5,-5.0
2010/1/15,0.6,6.6,-5.3
2010/1/16,-0.3,5.4,-5.0
2010/1/17,0.7,7.2,-5.5
2010/1/18,1.8,8.3,-4.3
2010/1/19,4.1,12.2,-3.1
2010/1/20,6.6,12.6,0.9
2010/1/21,7.5,17.2,1.7
2010/1/22,3.1,8.7,-2.2
2010/1/23,3.2,9.3,-1.2
2010/1/24,3.9,10.3,-1.6
2010/1/25,5.1,10.3,-0.8
2010/1/26,4.0,9.6,-1.2
2010/1/27,2.6,9.7,-4.3
2010/1/28,7.1,14.8,0.5
2010/1/29,5.3,10.1,1.5
2010/1/30,5.6,13.4,-1.3
2010/1/31,6.4,11.9,1.1
2010/2/1,3.6,9.7,0.2
2010/2/2,1.4,4.0,-1.1
2010/2/3,0.6,5.8,-1.8
2010/2/4,0.3,6.3,-5.1
2010/2/5,1.7,9.2,-4.0
2010/2/6,-1.1,3.6,-4.2
2010/2/7,2.1,9.4,-3.9
2010/2/8,3.3,9.8,-4.3
2010/2/9,8.8,17.4,-0.1
2010/2/10,6.3,9.4,3.4
2010/2/11,2.4,3.9,0.0
2010/2/12,0.9,1.8,-0.1
2010/2/13,0.1,1.3,-0.7
2010/2/14,1.8,5.8,-1.7
2010/2/15,3.9,7.1,1.4
2010/2/16,2.1,3.8,0.2
2010/2/17,1.2,3.6,-1.4
2010/2/18,2.5,7.1,-0.5
2010/2/19,2.6,8.9,-2.0
2010/2/20,4.1,11.8,-2.2
2010/2/21,3.3,10.2,-2.4
2010/2/22,4.8,8.3,2.1
2010/2/23,7.5,16.4,-0.6
2010/2/24,9.8,17.6,2.7
2010/2/25,10.3,17.2,3.5
2010/2/26,11.4,15.7,7.2
2010/2/27,11.6,15.5,6.9
2010/2/28,5.6,9.0,3.1
2010/3/1,7.2,10.7,4.4
2010/3/2,3.4,5.7,2.3
2010/3/3,7.0,14.6,2.5
2010/3/4,5.6,8.4,3.6
2010/3/5,12.5,19.9,4.8
2010/3/6,11.9,15.4,9.1
2010/3/7,5.1,9.1,2.1
2010/3/8,4.7,10.2,1.9
2010/3/9,1.8,3.3,0.2
2010/3/10,2.6,4.4,0.8
2010/3/11,5.5,13.4,-1.4
2010/3/12,7.6,14.1,0.7
2010/3/13,10.0,20.6,1.9
2010/3/14,8.1,14.9,2.0
2010/3/15,9.4,13.2,4.1
2010/3/16,12.8,17.2,7.0
2010/3/17,8.1,14.3,2.0
2010/3/18,6.8,13.1,1.3
2010/3/19,7.5,13.4,2.4
2010/3/20,11.5,19.2,4.0
2010/3/21,11.4,18.3,4.2
2010/3/22,7.3,13.4,1.9
2010/3/23,9.0,12.6,5.7
2010/3/24,6.2,10.0,1.4
2010/3/25,3.9,6.0,1.4
2010/3/26,4.9,11.2,1.6
2010/3/27,5.4,12.3,-1.9
2010/3/28,3.7,5.1,2.0
2010/3/29,3.2,9.2,-0.2
2010/3/30,4.0,10.7,-2.0
2010/3/31,6.5,12.8,-1.1
