ダウンロードした時刻：2019/10/10 16:08:20

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,6.6,10.9,3.6
1988/12/2,7.4,11.9,2.3
1988/12/3,4.8,9.8,-0.2
1988/12/4,6.6,9.5,2.0
1988/12/5,6.2,9.4,2.9
1988/12/6,4.7,9.0,1.8
1988/12/7,4.4,9.9,-0.2
1988/12/8,5.8,11.3,0.8
1988/12/9,6.9,10.0,4.7
1988/12/10,5.3,8.1,2.5
1988/12/11,5.0,9.1,2.1
1988/12/12,4.1,9.7,-0.8
1988/12/13,3.6,8.7,-0.7
1988/12/14,5.9,11.0,-0.1
1988/12/15,4.6,7.3,0.4
1988/12/16,0.9,4.9,-1.2
1988/12/17,1.2,3.4,-1.1
1988/12/18,4.2,7.4,1.3
1988/12/19,6.5,10.6,3.1
1988/12/20,9.0,13.2,5.8
1988/12/21,7.0,9.0,5.0
1988/12/22,5.5,8.1,3.9
1988/12/23,4.0,9.6,0.2
1988/12/24,5.1,7.9,0.2
1988/12/25,5.2,8.7,3.3
1988/12/26,4.6,6.8,2.9
1988/12/27,5.6,9.1,2.3
1988/12/28,4.6,7.0,2.6
1988/12/29,4.5,6.5,2.8
1988/12/30,5.2,9.2,0.9
1988/12/31,3.7,6.6,-0.8
1989/1/1,5.7,7.4,4.4
1989/1/2,5.8,10.2,1.5
1989/1/3,4.9,9.1,-0.2
1989/1/4,4.1,5.7,2.1
1989/1/5,4.1,7.1,0.7
1989/1/6,4.6,9.3,-0.9
1989/1/7,8.0,12.5,3.2
1989/1/8,10.3,11.7,8.4
1989/1/9,10.1,11.1,9.7
1989/1/10,9.8,11.1,7.6
1989/1/11,8.0,10.3,3.6
1989/1/12,7.8,9.5,4.6
1989/1/13,4.2,6.7,0.9
1989/1/14,3.9,6.6,1.1
1989/1/15,3.2,5.4,2.0
1989/1/16,3.6,8.8,-0.8
1989/1/17,5.2,10.6,0.8
1989/1/18,4.0,6.3,-1.1
1989/1/19,8.8,9.9,6.3
1989/1/20,11.5,16.3,9.0
1989/1/21,7.7,9.9,6.2
1989/1/22,5.8,8.1,4.5
1989/1/23,7.1,9.2,4.1
1989/1/24,6.4,8.3,4.8
1989/1/25,4.8,8.7,1.3
1989/1/26,3.6,5.4,0.2
1989/1/27,4.4,6.5,0.1
1989/1/28,0.1,2.3,-1.3
1989/1/29,2.8,4.8,-0.8
1989/1/30,4.3,9.9,-0.5
1989/1/31,5.3,9.5,-0.5
1989/2/1,5.7,8.1,2.4
1989/2/2,2.3,5.4,1.0
1989/2/3,1.9,4.1,0.1
1989/2/4,3.4,5.3,1.0
1989/2/5,4.2,9.0,-0.2
1989/2/6,5.3,10.4,-0.1
1989/2/7,6.1,10.0,1.8
1989/2/8,5.6,7.4,1.0
1989/2/9,8.4,10.5,7.0
1989/2/10,4.9,7.1,0.7
1989/2/11,2.7,5.6,0.8
1989/2/12,3.5,7.4,1.6
1989/2/13,4.1,8.1,0.9
1989/2/14,5.6,9.3,1.3
1989/2/15,6.3,12.5,-1.1
1989/2/16,8.5,9.3,7.6
1989/2/17,9.0,10.1,8.0
1989/2/18,7.1,10.0,6.2
1989/2/19,5.9,9.3,1.6
1989/2/20,5.6,9.8,-0.1
1989/2/21,7.4,8.7,6.7
1989/2/22,5.8,9.8,2.6
1989/2/23,5.1,8.1,2.9
1989/2/24,6.2,7.2,4.8
1989/2/25,8.0,9.8,6.6
1989/2/26,5.7,8.1,2.9
1989/2/27,4.6,9.9,-1.2
1989/2/28,10.4,15.6,3.1
1989/3/1,7.8,10.8,4.1
1989/3/2,5.8,12.0,0.2
1989/3/3,10.1,14.3,4.0
1989/3/4,9.5,15.2,7.0
1989/3/5,6.3,7.5,5.2
1989/3/6,7.2,11.5,4.3
1989/3/7,6.2,10.3,3.2
1989/3/8,4.4,8.4,2.3
1989/3/9,4.0,8.4,-1.2
1989/3/10,5.5,10.2,1.9
1989/3/11,5.4,10.8,0.1
1989/3/12,8.3,13.7,0.9
1989/3/13,8.5,9.7,6.7
1989/3/14,10.9,15.5,8.2
1989/3/15,8.5,12.4,5.5
1989/3/16,6.9,10.2,4.4
1989/3/17,4.9,6.7,2.3
1989/3/18,5.3,8.3,0.8
1989/3/19,6.9,9.8,5.0
1989/3/20,7.0,10.8,4.5
1989/3/21,7.2,11.4,4.9
1989/3/22,6.0,8.6,4.5
1989/3/23,7.5,11.0,4.7
1989/3/24,9.1,12.9,4.8
1989/3/25,8.2,10.0,6.5
1989/3/26,7.3,11.6,4.7
1989/3/27,6.9,8.8,3.7
1989/3/28,7.9,10.3,5.7
1989/3/29,8.1,12.7,4.5
1989/3/30,8.9,16.0,2.0
1989/3/31,11.7,15.6,7.9
