ダウンロードした時刻：2019/10/10 16:08:18

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.5,11.2,2.3
1987/12/2,2.1,4.3,-0.7
1987/12/3,4.7,8.6,0.6
1987/12/4,5.1,8.6,3.3
1987/12/5,4.9,7.8,2.5
1987/12/6,4.2,8.2,1.3
1987/12/7,4.3,8.3,0.4
1987/12/8,4.1,10.4,-0.7
1987/12/9,5.6,8.0,1.9
1987/12/10,6.6,9.5,4.5
1987/12/11,7.9,10.2,4.7
1987/12/12,8.0,11.3,5.4
1987/12/13,7.9,11.9,3.8
1987/12/14,6.7,11.4,3.3
1987/12/15,6.4,9.6,1.7
1987/12/16,7.9,11.4,4.4
1987/12/17,5.2,8.1,3.4
1987/12/18,4.1,7.8,0.7
1987/12/19,3.9,7.3,-0.4
1987/12/20,6.1,9.9,1.2
1987/12/21,7.0,9.2,6.1
1987/12/22,6.4,10.8,2.2
1987/12/23,6.9,12.1,3.7
1987/12/24,4.8,9.4,0.9
1987/12/25,5.4,10.4,1.4
1987/12/26,9.5,15.4,4.5
1987/12/27,7.1,12.9,3.8
1987/12/28,6.2,11.7,2.7
1987/12/29,6.8,11.2,2.2
1987/12/30,6.9,10.9,4.5
1987/12/31,5.3,9.3,0.8
1988/1/1,3.6,10.4,-1.9
1988/1/2,7.7,11.3,1.9
1988/1/3,7.3,10.6,2.2
1988/1/4,4.8,8.1,0.7
1988/1/5,4.9,7.7,3.5
1988/1/6,4.1,7.2,-0.5
1988/1/7,2.9,6.9,-2.0
1988/1/8,7.4,11.8,4.4
1988/1/9,5.4,7.9,2.4
1988/1/10,1.2,3.1,-0.2
1988/1/11,1.9,4.2,-0.4
1988/1/12,3.1,6.1,0.4
1988/1/13,3.6,9.9,-0.6
1988/1/14,3.5,8.7,-1.3
1988/1/15,5.1,7.0,1.6
1988/1/16,7.7,11.2,5.5
1988/1/17,5.0,8.0,3.2
1988/1/18,3.5,5.8,1.9
1988/1/19,5.0,8.3,2.7
1988/1/20,4.5,10.3,0.1
1988/1/21,5.2,9.7,-0.7
1988/1/22,9.4,12.0,5.5
1988/1/23,5.3,11.9,1.2
1988/1/24,1.8,4.4,0.2
1988/1/25,3.9,8.4,0.3
1988/1/26,4.1,7.6,1.1
1988/1/27,5.0,8.3,2.4
1988/1/28,3.3,6.3,0.1
1988/1/29,4.7,9.2,-0.7
1988/1/30,6.1,8.4,4.8
1988/1/31,3.9,6.4,2.8
1988/2/1,3.3,7.1,0.5
1988/2/2,3.0,10.4,-0.7
1988/2/3,-1.2,0.6,-2.6
1988/2/4,1.4,5.7,-2.9
1988/2/5,3.3,6.1,-0.8
1988/2/6,6.2,9.3,2.1
1988/2/7,0.0,2.4,-1.5
1988/2/8,0.5,2.9,-2.0
1988/2/9,1.9,5.0,-1.5
1988/2/10,0.7,2.4,-0.2
1988/2/11,1.9,4.3,-0.4
1988/2/12,2.4,6.2,-0.2
1988/2/13,4.1,6.6,1.8
1988/2/14,3.5,6.7,-0.4
1988/2/15,1.6,4.3,0.2
1988/2/16,0.8,2.8,-0.5
1988/2/17,1.3,4.8,-1.5
1988/2/18,1.4,4.9,-1.5
1988/2/19,1.8,5.0,-0.8
1988/2/20,2.5,6.5,-2.4
1988/2/21,2.5,4.6,0.9
1988/2/22,3.0,7.5,0.0
1988/2/23,4.8,6.0,1.4
1988/2/24,5.1,8.2,3.6
1988/2/25,5.0,8.3,2.6
1988/2/26,5.9,8.1,4.5
1988/2/27,4.1,6.1,2.2
1988/2/28,4.4,7.9,2.0
1988/2/29,5.8,8.1,3.7
1988/3/1,6.1,7.2,4.1
1988/3/2,7.7,11.3,4.7
1988/3/3,2.8,6.7,-0.4
1988/3/4,2.0,5.5,-0.4
1988/3/5,2.8,6.1,-0.6
1988/3/6,3.9,7.8,0.6
1988/3/7,2.4,5.9,0.6
1988/3/8,2.9,7.3,-0.1
1988/3/9,3.9,7.7,0.7
1988/3/10,5.2,9.8,1.9
1988/3/11,8.2,15.9,-0.1
1988/3/12,8.5,12.7,4.7
1988/3/13,8.8,14.7,3.8
1988/3/14,8.8,12.0,3.4
1988/3/15,5.9,9.7,1.4
1988/3/16,2.9,5.3,0.1
1988/3/17,4.2,5.9,1.8
1988/3/18,6.9,10.2,3.6
1988/3/19,7.0,10.9,1.4
1988/3/20,7.3,10.9,4.9
1988/3/21,7.3,10.5,5.5
1988/3/22,8.9,10.4,7.1
1988/3/23,8.3,10.6,6.5
1988/3/24,6.3,9.6,2.7
1988/3/25,5.7,8.3,2.3
1988/3/26,6.8,7.7,6.1
1988/3/27,6.3,9.5,4.2
1988/3/28,6.3,13.5,-0.8
1988/3/29,9.0,13.4,7.0
1988/3/30,8.3,10.7,7.1
1988/3/31,8.0,11.9,3.7
