É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:16:59

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1993/12/1,15.8,19.0,12.2
1993/12/2,13.8,19.6,8.0
1993/12/3,14.8,19.5,11.7
1993/12/4,8.9,12.6,7.5
1993/12/5,8.5,9.8,7.0
1993/12/6,9.0,11.3,6.2
1993/12/7,7.7,13.6,3.0
1993/12/8,7.9,14.3,2.7
1993/12/9,8.6,15.3,2.9
1993/12/10,12.9,17.6,8.1
1993/12/11,10.3,14.5,5.6
1993/12/12,7.9,15.1,3.0
1993/12/13,9.7,14.0,5.7
1993/12/14,10.8,12.9,7.4
1993/12/15,8.1,11.9,5.0
1993/12/16,4.9,7.1,1.4
1993/12/17,7.6,9.5,5.4
1993/12/18,5.9,9.0,2.7
1993/12/19,6.1,9.8,2.4
1993/12/20,9.0,14.6,6.3
1993/12/21,7.0,12.7,4.6
1993/12/22,6.1,9.0,2.1
1993/12/23,7.6,9.5,6.0
1993/12/24,8.0,13.1,4.4
1993/12/25,7.8,15.0,3.7
1993/12/26,10.2,17.1,4.2
1993/12/27,10.1,11.9,8.3
1993/12/28,9.2,12.9,3.1
1993/12/29,5.5,13.0,0.0
1993/12/30,9.3,15.3,2.8
1993/12/31,11.1,15.2,7.1
1994/1/1,6.9,11.5,3.2
1994/1/2,6.6,14.1,0.9
1994/1/3,6.4,9.9,3.8
1994/1/4,8.9,13.8,4.3
1994/1/5,6.9,13.0,1.7
1994/1/6,8.9,14.9,4.5
1994/1/7,9.1,11.8,2.4
1994/1/8,5.6,8.8,2.1
1994/1/9,6.9,13.8,1.8
1994/1/10,7.1,13.5,1.7
1994/1/11,8.6,14.7,2.2
1994/1/12,8.9,12.8,5.3
1994/1/13,6.8,9.0,4.5
1994/1/14,7.0,12.4,4.0
1994/1/15,5.7,12.4,1.1
1994/1/16,8.0,15.4,1.0
1994/1/17,14.2,17.9,10.2
1994/1/18,9.8,12.7,6.0
1994/1/19,4.1,6.4,2.1
1994/1/20,4.6,8.0,2.2
1994/1/21,4.1,5.8,2.3
1994/1/22,5.1,7.5,0.7
1994/1/23,5.1,7.7,2.0
1994/1/24,3.7,8.1,0.0
1994/1/25,5.1,10.9,0.0
1994/1/26,8.0,17.3,2.0
1994/1/27,8.8,11.5,3.8
1994/1/28,5.5,10.6,1.8
1994/1/29,3.6,6.5,1.2
1994/1/30,3.1,7.1,0.2
1994/1/31,6.0,12.9,-1.2
1994/2/1,11.2,15.6,8.5
1994/2/2,7.6,9.6,6.3
1994/2/3,6.0,8.2,1.9
1994/2/4,4.9,9.8,-1.2
1994/2/5,8.7,13.5,5.9
1994/2/6,8.3,14.0,2.6
1994/2/7,9.4,13.2,4.6
1994/2/8,7.5,12.1,1.7
1994/2/9,7.8,11.7,5.1
1994/2/10,4.3,6.6,0.7
1994/2/11,4.1,7.5,-0.3
1994/2/12,6.3,8.8,2.2
1994/2/13,6.0,10.2,1.2
1994/2/14,7.1,13.2,0.5
1994/2/15,6.4,8.2,4.2
1994/2/16,5.8,10.5,0.9
1994/2/17,6.5,12.9,0.9
1994/2/18,7.0,14.5,-0.2
1994/2/19,11.0,16.3,5.6
1994/2/20,12.7,15.8,10.4
1994/2/21,10.1,12.4,7.7
1994/2/22,8.1,11.8,4.2
1994/2/23,8.8,12.0,4.2
1994/2/24,5.5,9.4,3.4
1994/2/25,6.0,10.2,4.0
1994/2/26,6.3,10.0,2.8
1994/2/27,7.3,12.1,3.8
1994/2/28,7.2,12.6,0.8
1994/3/1,8.0,11.6,3.8
1994/3/2,6.6,11.8,2.4
1994/3/3,5.1,10.9,0.4
1994/3/4,6.5,13.1,0.6
1994/3/5,7.7,13.7,2.4
1994/3/6,7.7,13.8,2.2
1994/3/7,11.5,14.4,5.8
1994/3/8,14.3,17.7,12.0
1994/3/9,11.5,14.3,9.2
1994/3/10,7.4,10.1,2.7
1994/3/11,6.3,12.0,0.4
1994/3/12,7.6,10.0,5.2
1994/3/13,9.4,14.3,6.1
1994/3/14,7.1,9.7,3.9
1994/3/15,5.6,9.8,1.4
1994/3/16,6.0,9.3,1.1
1994/3/17,8.4,14.0,3.0
1994/3/18,10.0,16.6,3.1
1994/3/19,10.8,16.2,5.6
1994/3/20,11.0,17.4,6.7
1994/3/21,9.2,14.0,4.4
1994/3/22,9.0,13.3,5.8
1994/3/23,10.1,12.9,7.7
1994/3/24,8.8,13.9,4.0
1994/3/25,7.9,11.2,5.6
1994/3/26,7.2,9.7,4.9
1994/3/27,7.2,13.0,0.7
1994/3/28,9.4,15.9,2.5
1994/3/29,11.8,16.6,7.7
1994/3/30,10.8,16.2,5.8
1994/3/31,11.4,17.2,4.8
