ダウンロードした時刻：2019/10/10 15:44:37

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,9.2,13.2,5.8
2000/12/2,8.5,12.8,5.2
2000/12/3,8.7,15.1,4.0
2000/12/4,5.5,8.3,2.7
2000/12/5,9.1,12.4,1.6
2000/12/6,6.3,11.0,2.8
2000/12/7,4.6,9.3,-0.1
2000/12/8,7.8,12.2,2.1
2000/12/9,10.2,16.5,4.7
2000/12/10,10.6,15.5,5.3
2000/12/11,4.8,8.4,0.8
2000/12/12,2.5,4.6,0.2
2000/12/13,4.9,9.1,2.8
2000/12/14,6.4,10.5,4.1
2000/12/15,9.1,12.2,4.6
2000/12/16,10.5,14.6,4.9
2000/12/17,5.6,8.4,1.8
2000/12/18,8.0,13.7,1.5
2000/12/19,10.9,15.4,6.1
2000/12/20,7.5,10.6,2.7
2000/12/21,7.6,10.4,4.1
2000/12/22,7.0,12.5,2.9
2000/12/23,9.5,16.3,2.2
2000/12/24,5.3,8.9,2.7
2000/12/25,4.6,8.3,1.2
2000/12/26,1.7,3.5,0.0
2000/12/27,2.4,3.7,0.8
2000/12/28,3.5,7.0,1.5
2000/12/29,2.4,5.1,-0.1
2000/12/30,4.2,9.8,-1.2
2000/12/31,7.6,13.7,2.2
2001/1/1,3.0,6.2,0.6
2001/1/2,5.5,8.1,2.6
2001/1/3,4.5,6.0,2.4
2001/1/4,2.3,4.5,0.2
2001/1/5,2.2,4.1,0.6
2001/1/6,1.0,2.4,-0.5
2001/1/7,1.4,3.8,-1.2
2001/1/8,5.1,8.7,3.1
2001/1/9,5.8,10.9,0.7
2001/1/10,7.0,12.0,2.7
2001/1/11,5.5,9.1,2.4
2001/1/12,3.5,4.6,0.8
2001/1/13,1.5,2.9,0.4
2001/1/14,-1.0,3.8,-3.2
2001/1/15,-2.6,-1.9,-3.4
2001/1/16,-1.6,-0.1,-2.7
2001/1/17,0.0,1.9,-2.1
2001/1/18,1.1,5.0,-3.1
2001/1/19,0.3,1.7,-1.2
2001/1/20,1.4,4.9,-2.7
2001/1/21,4.4,6.6,1.2
2001/1/22,2.2,3.3,0.8
2001/1/23,1.1,3.4,-0.3
2001/1/24,1.6,5.1,-1.2
2001/1/25,2.1,5.2,-1.3
2001/1/26,3.6,5.5,1.8
2001/1/27,3.3,7.1,1.1
2001/1/28,4.0,6.8,2.2
2001/1/29,2.5,5.2,0.4
2001/1/30,2.0,3.1,0.5
2001/1/31,3.5,7.0,0.3
2001/2/1,5.7,7.8,2.6
2001/2/2,2.2,5.4,0.0
2001/2/3,2.8,5.5,-0.1
2001/2/4,2.0,6.0,-0.6
2001/2/5,5.3,10.5,0.0
2001/2/6,4.4,9.2,0.7
2001/2/7,4.9,8.3,2.0
2001/2/8,2.3,8.8,-0.7
2001/2/9,2.0,6.9,-1.3
2001/2/10,3.0,5.4,0.9
2001/2/11,2.5,5.5,0.1
2001/2/12,0.3,2.3,-1.5
2001/2/13,1.8,4.0,-0.3
2001/2/14,0.2,2.9,-1.2
2001/2/15,1.4,5.0,-1.5
2001/2/16,2.0,6.0,-1.3
2001/2/17,3.2,6.7,-1.7
2001/2/18,8.3,10.9,6.2
2001/2/19,6.6,10.1,2.2
2001/2/20,3.6,7.6,-0.2
2001/2/21,7.6,17.2,-0.1
2001/2/22,9.3,13.8,4.8
2001/2/23,7.9,13.7,2.2
2001/2/24,4.5,6.8,2.6
2001/2/25,1.5,5.0,-1.1
2001/2/26,1.9,6.1,-0.9
2001/2/27,5.0,10.9,-1.4
2001/2/28,8.6,14.1,4.3
2001/3/1,4.9,7.1,2.7
2001/3/2,4.1,7.7,1.7
2001/3/3,5.3,9.2,1.0
2001/3/4,5.3,10.8,0.9
2001/3/5,4.4,7.2,0.5
2001/3/6,9.8,13.9,4.8
2001/3/7,6.7,13.9,1.9
2001/3/8,0.6,4.8,-1.4
2001/3/9,1.5,4.9,-1.3
2001/3/10,1.7,5.2,-0.7
2001/3/11,0.3,3.5,-1.4
2001/3/12,2.1,7.0,-3.0
2001/3/13,2.4,6.9,-0.9
2001/3/14,9.5,17.4,-0.8
2001/3/15,9.6,16.9,4.5
2001/3/16,5.3,10.0,1.5
2001/3/17,7.6,13.6,3.1
2001/3/18,10.3,13.3,7.0
2001/3/19,11.8,16.0,6.9
2001/3/20,15.7,19.5,9.5
2001/3/21,12.2,16.2,7.4
2001/3/22,13.9,22.2,5.7
2001/3/23,10.5,15.0,7.2
2001/3/24,11.9,18.9,3.8
2001/3/25,12.3,16.9,8.6
2001/3/26,9.7,12.9,6.4
2001/3/27,8.4,11.4,5.7
2001/3/28,6.7,11.8,4.9
2001/3/29,5.7,7.1,3.7
2001/3/30,4.2,8.9,0.4
2001/3/31,3.7,8.2,2.1
