ダウンロードした時刻：2019/10/10 15:43:15

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.0,12.9,5.4
2001/12/2,7.6,12.9,4.4
2001/12/3,10.0,13.2,6.0
2001/12/4,7.1,9.3,5.3
2001/12/5,6.6,7.9,5.4
2001/12/6,7.8,12.2,4.7
2001/12/7,5.7,6.6,4.5
2001/12/8,5.4,7.2,3.8
2001/12/9,5.9,6.9,3.7
2001/12/10,4.7,6.4,1.8
2001/12/11,4.8,6.6,1.8
2001/12/12,6.6,9.0,3.1
2001/12/13,9.0,13.1,5.4
2001/12/14,4.3,7.0,2.1
2001/12/15,3.7,5.6,1.0
2001/12/16,4.7,5.7,2.5
2001/12/17,5.3,8.5,2.4
2001/12/18,4.1,6.2,1.8
2001/12/19,4.6,5.6,3.5
2001/12/20,5.1,6.4,3.4
2001/12/21,5.9,9.3,3.6
2001/12/22,4.8,9.1,1.3
2001/12/23,4.9,6.7,1.8
2001/12/24,5.9,9.7,2.3
2001/12/25,3.8,8.3,-0.2
2001/12/26,5.3,6.9,3.3
2001/12/27,5.0,6.4,3.0
2001/12/28,2.6,4.1,1.2
2001/12/29,5.1,9.6,0.5
2001/12/30,4.3,8.1,1.2
2001/12/31,3.4,4.8,1.0
2002/1/1,5.5,10.3,0.9
2002/1/2,0.0,2.5,-1.8
2002/1/3,2.5,4.1,-0.7
2002/1/4,4.8,8.0,1.8
2002/1/5,4.2,7.2,0.7
2002/1/6,2.4,5.1,0.2
2002/1/7,4.9,9.2,0.0
2002/1/8,4.9,7.5,2.3
2002/1/9,4.5,5.7,2.5
2002/1/10,7.1,8.8,5.3
2002/1/11,8.2,10.1,6.7
2002/1/12,8.5,11.4,6.3
2002/1/13,5.8,8.0,2.3
2002/1/14,3.3,8.1,-1.0
2002/1/15,10.7,13.2,5.7
2002/1/16,6.0,10.0,3.8
2002/1/17,3.8,4.9,1.6
2002/1/18,3.8,4.7,2.2
2002/1/19,3.4,5.8,-0.4
2002/1/20,5.4,10.3,-0.5
2002/1/21,9.1,11.8,7.0
2002/1/22,6.1,8.8,3.0
2002/1/23,4.4,5.6,2.4
2002/1/24,4.4,5.2,3.0
2002/1/25,3.3,4.4,0.6
2002/1/26,4.3,6.8,0.3
2002/1/27,5.1,7.1,3.5
2002/1/28,3.9,5.6,0.2
2002/1/29,2.0,4.0,-0.1
2002/1/30,3.5,5.4,0.5
2002/1/31,1.6,3.6,-0.4
2002/2/1,3.7,6.3,0.7
2002/2/2,6.9,9.8,4.2
2002/2/3,4.3,8.5,1.0
2002/2/4,4.3,7.4,0.8
2002/2/5,5.6,8.2,2.0
2002/2/6,8.0,10.9,5.4
2002/2/7,7.3,10.9,5.2
2002/2/8,8.4,10.9,5.3
2002/2/9,1.0,7.0,-1.4
2002/2/10,0.5,2.5,-1.3
2002/2/11,1.1,2.8,-0.7
2002/2/12,1.8,3.0,-0.9
2002/2/13,1.4,3.2,0.1
2002/2/14,2.6,4.2,-0.4
2002/2/15,2.6,4.1,0.0
2002/2/16,5.4,6.9,2.6
2002/2/17,8.8,12.1,4.2
2002/2/18,3.9,9.8,-0.4
2002/2/19,2.8,5.5,-0.1
2002/2/20,7.0,9.3,4.4
2002/2/21,8.9,11.7,7.6
2002/2/22,8.2,9.9,5.3
2002/2/23,6.4,7.5,5.7
2002/2/24,3.3,6.0,-0.6
2002/2/25,3.1,6.5,-0.8
2002/2/26,6.5,9.9,1.7
2002/2/27,8.1,11.5,4.7
2002/2/28,8.2,9.9,4.8
2002/3/1,7.9,10.9,3.8
2002/3/2,4.0,10.3,0.9
2002/3/3,1.5,3.6,-0.7
2002/3/4,4.1,8.6,-1.6
2002/3/5,6.0,10.2,1.7
2002/3/6,8.0,10.8,4.8
2002/3/7,5.8,8.3,3.4
2002/3/8,5.3,6.7,3.1
2002/3/9,9.3,11.5,6.4
2002/3/10,7.6,11.7,3.1
2002/3/11,8.3,9.9,6.3
2002/3/12,8.8,10.5,7.1
2002/3/13,7.0,9.3,3.5
2002/3/14,11.8,15.6,5.3
2002/3/15,11.0,13.7,7.3
2002/3/16,7.0,9.1,5.4
2002/3/17,11.0,14.0,6.6
2002/3/18,8.8,12.8,4.3
2002/3/19,9.4,13.3,4.7
2002/3/20,8.1,9.9,6.4
2002/3/21,13.7,20.5,9.2
2002/3/22,9.4,11.7,6.3
2002/3/23,6.3,9.2,3.4
2002/3/24,5.3,8.1,3.4
2002/3/25,5.6,9.7,1.2
2002/3/26,12.2,17.0,2.0
2002/3/27,8.2,14.3,4.7
2002/3/28,5.4,8.8,0.7
2002/3/29,12.4,19.9,3.0
2002/3/30,9.4,11.0,5.7
2002/3/31,9.6,14.6,5.5
