ダウンロードした時刻：2019/10/10 15:39:56

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,2.8,6.0,0.1
1996/12/2,4.1,8.3,1.2
1996/12/3,4.9,9.4,-1.1
1996/12/4,7.3,11.5,2.0
1996/12/5,11.0,15.6,6.4
1996/12/6,5.8,12.8,0.1
1996/12/7,2.4,5.5,-1.3
1996/12/8,4.0,7.2,-0.4
1996/12/9,5.6,9.5,1.3
1996/12/10,6.9,11.1,2.5
1996/12/11,8.6,13.3,3.7
1996/12/12,7.2,9.8,4.0
1996/12/13,5.8,8.8,3.2
1996/12/14,8.2,14.1,3.9
1996/12/15,5.7,9.7,2.0
1996/12/16,6.7,12.5,2.4
1996/12/17,8.9,13.8,2.8
1996/12/18,7.6,11.8,2.7
1996/12/19,2.3,6.1,-0.6
1996/12/20,1.0,4.3,-2.9
1996/12/21,3.4,6.2,1.7
1996/12/22,5.0,10.0,-0.1
1996/12/23,4.8,8.4,2.3
1996/12/24,5.8,9.6,2.1
1996/12/25,7.3,9.5,4.0
1996/12/26,3.1,5.5,0.9
1996/12/27,3.0,7.4,-0.7
1996/12/28,3.2,10.1,-1.1
1996/12/29,4.4,7.4,1.6
1996/12/30,5.7,11.8,0.6
1996/12/31,5.1,10.6,-0.1
1997/1/1,7.5,15.6,2.3
1997/1/2,6.7,11.3,3.2
1997/1/3,1.2,3.7,0.0
1997/1/4,2.5,5.2,0.3
1997/1/5,3.0,6.3,-0.3
1997/1/6,2.1,3.5,-0.3
1997/1/7,2.0,2.8,0.8
1997/1/8,0.9,4.2,-1.4
1997/1/9,1.3,5.3,-1.9
1997/1/10,2.1,5.8,-1.1
1997/1/11,2.7,6.6,-1.6
1997/1/12,3.3,6.7,0.7
1997/1/13,3.5,7.2,0.5
1997/1/14,4.1,10.2,-2.4
1997/1/15,2.9,5.5,0.8
1997/1/16,3.2,6.6,-0.6
1997/1/17,5.2,9.5,0.7
1997/1/18,3.7,8.2,1.4
1997/1/19,1.2,3.5,-1.3
1997/1/20,1.6,4.5,-2.6
1997/1/21,-1.1,1.5,-3.2
1997/1/22,-1.7,1.1,-4.5
1997/1/23,2.9,5.9,-2.6
1997/1/24,2.2,5.3,0.1
1997/1/25,-1.3,0.4,-2.3
1997/1/26,1.4,3.9,-0.4
1997/1/27,2.9,6.8,-1.1
1997/1/28,3.4,8.0,-1.4
1997/1/29,3.1,5.7,-0.2
1997/1/30,0.2,3.7,-1.7
1997/1/31,1.4,5.2,-3.0
1997/2/1,2.2,5.8,-1.8
1997/2/2,2.4,6.4,-1.5
1997/2/3,0.8,4.3,-1.3
1997/2/4,2.2,5.3,-0.8
1997/2/5,2.3,5.7,-1.0
1997/2/6,2.2,6.6,-1.7
1997/2/7,2.0,5.5,-0.9
1997/2/8,2.0,6.6,-1.5
1997/2/9,3.3,8.1,-0.9
1997/2/10,4.6,9.1,-0.1
1997/2/11,0.9,1.9,-0.9
1997/2/12,2.1,5.6,-0.4
1997/2/13,0.0,3.2,-2.7
1997/2/14,0.7,4.6,-3.0
1997/2/15,3.5,7.9,-1.9
1997/2/16,5.4,9.1,3.7
1997/2/17,3.1,5.8,0.8
1997/2/18,1.2,4.1,-1.7
1997/2/19,0.6,2.7,-1.7
1997/2/20,5.0,9.8,0.8
1997/2/21,1.2,6.0,-4.2
1997/2/22,-1.6,0.8,-3.8
1997/2/23,1.3,4.8,-4.4
1997/2/24,4.6,9.8,-1.3
1997/2/25,6.8,12.8,0.0
1997/2/26,6.5,10.5,2.6
1997/2/27,3.6,8.7,0.6
1997/2/28,3.3,7.6,-2.3
1997/3/1,7.8,12.2,1.8
1997/3/2,2.7,5.9,-1.0
1997/3/3,0.3,4.2,-2.9
1997/3/4,3.0,10.4,-4.3
1997/3/5,5.7,12.1,-0.3
1997/3/6,7.3,12.8,-0.4
1997/3/7,10.6,17.7,5.2
1997/3/8,5.1,9.5,0.0
1997/3/9,3.6,6.3,2.2
1997/3/10,5.5,10.5,1.5
1997/3/11,5.8,12.4,1.2
1997/3/12,3.6,7.6,0.9
1997/3/13,5.0,11.2,-0.1
1997/3/14,7.5,16.7,2.5
1997/3/15,5.3,7.4,3.7
1997/3/16,2.3,3.9,1.4
1997/3/17,2.9,7.2,-0.4
1997/3/18,3.9,9.6,-1.3
1997/3/19,4.2,10.5,-0.6
1997/3/20,6.2,11.7,0.4
1997/3/21,7.2,13.1,-0.6
1997/3/22,6.1,8.3,3.0
1997/3/23,4.3,8.1,1.6
1997/3/24,2.9,5.5,0.5
1997/3/25,8.9,14.8,0.8
1997/3/26,7.7,12.6,5.3
1997/3/27,7.5,11.3,3.9
1997/3/28,8.7,17.2,1.2
1997/3/29,9.4,14.2,3.2
1997/3/30,10.3,19.5,4.6
1997/3/31,5.9,10.1,3.6
