ダウンロードした時刻：2019/10/10 16:01:36

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,8.9,15.4,4.7
2004/12/2,8.9,17.0,3.1
2004/12/3,12.1,18.5,1.6
2004/12/4,18.8,21.0,16.6
2004/12/5,19.8,23.7,9.7
2004/12/6,9.5,15.5,4.2
2004/12/7,13.6,18.3,3.9
2004/12/8,13.9,19.2,8.4
2004/12/9,11.8,14.6,9.4
2004/12/10,12.2,17.7,8.3
2004/12/11,11.8,19.1,6.3
2004/12/12,9.6,12.6,7.3
2004/12/13,12.4,18.3,8.5
2004/12/14,10.0,13.5,6.7
2004/12/15,9.7,11.8,8.2
2004/12/16,12.8,20.1,6.8
2004/12/17,10.7,16.0,7.0
2004/12/18,11.1,17.6,5.8
2004/12/19,10.0,14.6,6.2
2004/12/20,11.4,17.6,8.2
2004/12/21,11.1,16.0,7.1
2004/12/22,8.7,13.9,4.1
2004/12/23,8.3,13.5,4.0
2004/12/24,7.9,11.9,5.7
2004/12/25,7.5,13.4,3.2
2004/12/26,9.4,14.5,4.7
2004/12/27,7.2,13.0,0.9
2004/12/28,7.2,10.3,2.8
2004/12/29,4.9,7.8,1.8
2004/12/30,4.9,10.4,-0.1
2004/12/31,3.8,9.3,0.2
2005/1/1,7.2,11.1,1.9
2005/1/2,4.5,10.7,-2.5
2005/1/3,11.8,14.9,7.1
2005/1/4,13.3,17.1,7.6
2005/1/5,4.8,9.1,-1.1
2005/1/6,4.5,12.2,-2.1
2005/1/7,9.1,15.9,1.2
2005/1/8,6.4,9.7,4.3
2005/1/9,5.9,12.1,0.1
2005/1/10,4.9,9.5,-1.8
2005/1/11,8.1,10.8,6.7
2005/1/12,5.7,10.9,-1.8
2005/1/13,2.8,11.2,-3.4
2005/1/14,6.0,12.2,-1.5
2005/1/15,5.8,8.5,4.5
2005/1/16,7.2,9.7,5.1
2005/1/17,8.1,13.1,2.7
2005/1/18,7.1,13.7,1.0
2005/1/19,8.7,13.6,2.4
2005/1/20,9.1,12.0,4.6
2005/1/21,6.6,11.6,0.1
2005/1/22,3.7,11.5,-3.2
2005/1/23,3.8,5.5,0.6
2005/1/24,7.6,12.7,0.5
2005/1/25,9.5,13.5,6.2
2005/1/26,3.2,6.3,-0.5
2005/1/27,6.2,10.9,-0.5
2005/1/28,6.6,12.6,1.9
2005/1/29,8.1,15.8,1.0
2005/1/30,8.8,14.4,4.5
2005/1/31,6.4,11.1,2.6
2005/2/1,5.9,9.3,2.9
2005/2/2,5.4,9.4,-0.5
2005/2/3,3.4,11.2,-2.4
2005/2/4,3.6,11.4,-2.9
2005/2/5,4.9,11.0,-1.7
2005/2/6,7.0,11.7,3.3
2005/2/7,6.5,8.2,4.6
2005/2/8,5.1,6.4,4.4
2005/2/9,8.4,14.4,-0.6
2005/2/10,13.0,18.8,6.3
2005/2/11,5.3,8.2,2.9
2005/2/12,5.3,10.4,-1.5
2005/2/13,4.8,9.4,-0.3
2005/2/14,5.6,11.4,-1.3
2005/2/15,7.0,12.6,1.0
2005/2/16,5.6,8.3,3.8
2005/2/17,8.0,12.2,4.8
2005/2/18,6.5,8.7,2.6
2005/2/19,4.2,6.3,2.4
2005/2/20,8.9,14.1,4.7
2005/2/21,5.5,11.3,2.0
2005/2/22,6.2,11.7,-0.4
2005/2/23,13.0,17.1,7.9
2005/2/24,9.1,14.1,3.9
2005/2/25,5.5,10.1,2.6
2005/2/26,6.0,10.1,2.5
2005/2/27,4.0,9.8,-2.8
2005/2/28,5.7,10.8,0.0
2005/3/1,5.5,10.2,2.7
2005/3/2,6.7,11.1,-1.6
2005/3/3,6.6,10.2,1.1
2005/3/4,3.0,6.7,1.1
2005/3/5,5.3,10.5,1.3
2005/3/6,4.0,7.8,-0.3
2005/3/7,7.0,12.8,-2.1
2005/3/8,11.8,16.3,1.9
2005/3/9,14.3,20.3,9.0
2005/3/10,12.7,17.1,7.6
2005/3/11,14.7,16.7,11.1
2005/3/12,12.3,16.2,5.5
2005/3/13,3.6,10.0,0.0
2005/3/14,4.2,11.8,-1.9
2005/3/15,7.0,12.4,-1.2
2005/3/16,11.6,17.5,6.1
2005/3/17,11.9,17.7,5.3
2005/3/18,14.6,17.7,8.7
2005/3/19,8.6,13.8,4.1
2005/3/20,9.4,14.6,2.3
2005/3/21,10.7,16.3,6.1
2005/3/22,14.3,16.2,7.5
2005/3/23,14.1,17.7,8.0
2005/3/24,11.1,14.8,7.8
2005/3/25,9.2,12.4,7.3
2005/3/26,9.7,15.0,4.8
2005/3/27,11.6,17.6,1.8
2005/3/28,13.6,15.5,10.3
2005/3/29,12.3,17.1,8.4
2005/3/30,8.9,13.9,3.6
2005/3/31,10.3,17.1,1.5
