ダウンロードした時刻：2019/10/10 15:46:05

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,13.7,20.5,8.8
1990/12/2,9.5,13.9,4.4
1990/12/3,5.3,10.5,1.9
1990/12/4,4.0,9.6,-0.8
1990/12/5,3.8,10.7,-1.7
1990/12/6,4.2,11.4,-1.4
1990/12/7,4.2,11.6,-1.4
1990/12/8,4.5,11.9,-1.5
1990/12/9,5.1,10.6,-0.8
1990/12/10,6.8,15.4,0.5
1990/12/11,5.9,16.6,1.2
1990/12/12,4.0,7.6,0.0
1990/12/13,2.7,7.2,-0.2
1990/12/14,5.2,11.9,-1.4
1990/12/15,3.1,5.6,1.1
1990/12/16,1.5,6.6,-0.5
1990/12/17,-0.1,3.6,-3.4
1990/12/18,0.6,6.3,-2.8
1990/12/19,1.5,4.0,0.2
1990/12/20,3.2,7.0,1.1
1990/12/21,4.9,10.4,1.6
1990/12/22,6.8,13.3,0.9
1990/12/23,4.1,9.1,-0.6
1990/12/24,0.5,5.2,-2.6
1990/12/25,2.2,7.5,-1.7
1990/12/26,4.7,12.6,-1.3
1990/12/27,-1.0,2.7,-3.5
1990/12/28,-1.3,1.7,-6.4
1990/12/29,0.1,2.9,-1.8
1990/12/30,0.5,4.2,-2.4
1990/12/31,-1.0,3.1,-5.0
1991/1/1,3.2,8.4,-1.6
1991/1/2,3.9,6.7,1.0
1991/1/3,2.0,5.4,-0.5
1991/1/4,-0.7,0.3,-1.9
1991/1/5,0.4,5.0,-1.9
1991/1/6,-2.0,-0.2,-3.0
1991/1/7,-1.6,1.8,-4.4
1991/1/8,-1.6,0.8,-4.1
1991/1/9,-0.4,2.7,-2.6
1991/1/10,-0.7,2.5,-4.5
1991/1/11,0.6,2.8,-1.6
1991/1/12,0.5,4.5,-3.1
1991/1/13,1.2,5.6,-1.2
1991/1/14,-1.1,1.6,-4.1
1991/1/15,-3.5,-0.5,-5.7
1991/1/16,-2.0,2.5,-5.1
1991/1/17,-0.6,5.3,-5.8
1991/1/18,-1.5,0.5,-3.5
1991/1/19,0.5,5.4,-2.8
1991/1/20,-0.3,5.2,-4.5
1991/1/21,-1.7,0.1,-4.1
1991/1/22,1.2,3.4,-1.6
1991/1/23,-3.2,-0.9,-5.9
1991/1/24,-2.9,2.9,-8.8
1991/1/25,2.7,6.7,-0.2
1991/1/26,-0.2,2.6,-2.4
1991/1/27,-0.8,3.2,-3.0
1991/1/28,-2.5,0.9,-4.4
1991/1/29,-3.0,2.7,-8.3
1991/1/30,-1.2,2.5,-4.2
1991/1/31,-1.7,4.0,-6.8
1991/2/1,-1.9,3.1,-6.2
1991/2/2,-1.7,1.1,-4.2
1991/2/3,-2.2,2.7,-6.7
1991/2/4,-1.6,3.1,-5.5
1991/2/5,-1.4,3.0,-4.0
1991/2/6,-0.7,5.1,-7.1
1991/2/7,-0.6,2.1,-3.4
1991/2/8,-2.9,1.4,-5.9
1991/2/9,-2.3,2.7,-7.3
1991/2/10,0.3,4.3,-5.1
1991/2/11,3.5,6.6,0.4
1991/2/12,0.4,3.2,-1.0
1991/2/13,0.1,3.3,-3.0
1991/2/14,1.1,6.8,-5.9
1991/2/15,6.5,9.2,4.7
1991/2/16,3.2,7.5,0.0
1991/2/17,-1.5,0.1,-4.1
1991/2/18,-2.2,0.0,-4.1
1991/2/19,-2.5,0.3,-3.6
1991/2/20,-2.2,2.5,-6.2
1991/2/21,-2.3,2.5,-7.3
1991/2/22,-1.5,1.9,-5.0
1991/2/23,-3.1,0.4,-4.7
1991/2/24,-3.2,0.2,-5.5
1991/2/25,-3.5,1.4,-6.6
1991/2/26,-2.1,5.0,-9.0
1991/2/27,0.4,7.3,-5.9
1991/2/28,1.9,6.6,-1.4
1991/3/1,-0.3,1.8,-1.3
1991/3/2,1.0,6.0,-3.1
1991/3/3,0.6,4.4,-2.1
1991/3/4,2.0,9.9,-4.9
1991/3/5,5.3,14.2,-0.9
1991/3/6,6.2,15.3,-0.1
1991/3/7,2.4,5.4,-0.3
1991/3/8,3.3,7.3,-1.0
1991/3/9,5.3,9.5,1.9
1991/3/10,2.6,7.0,-0.2
1991/3/11,1.2,2.4,0.1
1991/3/12,3.6,8.3,1.3
1991/3/13,3.1,8.6,-0.5
1991/3/14,-0.7,2.5,-4.0
1991/3/15,-1.4,3.0,-4.4
1991/3/16,0.4,5.0,-2.4
1991/3/17,2.6,6.6,0.3
1991/3/18,3.4,9.4,-1.1
1991/3/19,6.4,16.3,-1.5
1991/3/20,7.2,14.0,1.6
1991/3/21,2.5,5.5,0.8
1991/3/22,5.6,9.2,0.8
1991/3/23,8.2,13.1,4.6
1991/3/24,9.6,16.4,5.9
1991/3/25,9.7,14.4,4.8
1991/3/26,9.3,16.6,6.1
1991/3/27,9.8,12.5,6.3
1991/3/28,6.4,9.4,3.7
1991/3/29,6.1,11.2,2.8
1991/3/30,9.6,15.5,5.6
1991/3/31,4.1,6.1,2.7
