ダウンロードした時刻：2019/10/10 15:52:36

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,5.7,11.3,1.9
1989/12/2,9.0,12.2,4.0
1989/12/3,11.5,15.0,7.1
1989/12/4,13.9,18.3,10.6
1989/12/5,10.5,14.7,6.8
1989/12/6,9.5,12.8,5.1
1989/12/7,9.3,13.8,2.3
1989/12/8,7.2,10.7,4.8
1989/12/9,4.2,7.2,0.4
1989/12/10,6.3,9.2,2.1
1989/12/11,6.9,7.9,3.4
1989/12/12,8.1,9.8,5.8
1989/12/13,6.3,9.6,3.4
1989/12/14,7.2,10.0,4.8
1989/12/15,8.1,8.7,4.3
1989/12/16,8.9,13.9,3.5
1989/12/17,9.1,11.1,7.9
1989/12/18,8.0,11.5,3.9
1989/12/19,3.3,5.0,1.6
1989/12/20,6.2,8.6,3.4
1989/12/21,6.7,8.2,4.9
1989/12/22,8.1,10.7,4.8
1989/12/23,8.2,12.8,3.7
1989/12/24,5.8,8.4,2.7
1989/12/25,6.8,12.9,2.2
1989/12/26,10.5,14.5,4.9
1989/12/27,6.8,8.5,4.9
1989/12/28,5.4,9.1,1.9
1989/12/29,5.5,10.6,1.7
1989/12/30,4.7,7.4,2.7
1989/12/31,4.0,5.2,1.7
1990/1/1,1.5,4.5,0.3
1990/1/2,4.1,6.7,1.5
1990/1/3,3.3,4.6,1.6
1990/1/4,3.3,5.0,1.3
1990/1/5,4.2,7.3,0.2
1990/1/6,5.5,7.8,3.7
1990/1/7,3.6,5.1,1.5
1990/1/8,5.3,8.7,1.7
1990/1/9,9.4,12.5,5.5
1990/1/10,11.8,15.5,8.7
1990/1/11,6.8,9.1,3.3
1990/1/12,7.8,10.5,2.9
1990/1/13,4.0,8.3,2.4
1990/1/14,3.6,6.1,0.0
1990/1/15,3.9,6.7,0.7
1990/1/16,4.5,7.6,2.5
1990/1/17,5.7,9.0,3.6
1990/1/18,7.6,9.7,4.5
1990/1/19,8.1,9.2,6.7
1990/1/20,2.4,6.9,0.2
1990/1/21,2.3,4.3,0.2
1990/1/22,4.2,7.8,0.7
1990/1/23,1.3,3.4,0.0
1990/1/24,0.3,3.6,-1.9
1990/1/25,-0.5,1.4,-2.8
1990/1/26,-0.4,2.1,-1.4
1990/1/27,-0.4,1.5,-2.8
1990/1/28,2.7,5.3,0.1
1990/1/29,6.2,9.4,3.6
1990/1/30,4.0,7.6,2.7
1990/1/31,2.5,4.4,0.5
1990/2/1,3.6,6.1,0.5
1990/2/2,4.8,8.3,1.6
1990/2/3,5.2,7.4,3.5
1990/2/4,5.6,7.7,3.5
1990/2/5,4.6,7.2,2.0
1990/2/6,5.1,10.4,1.0
1990/2/7,6.3,11.5,0.8
1990/2/8,5.8,9.4,3.7
1990/2/9,4.3,9.3,0.0
1990/2/10,8.5,12.1,0.1
1990/2/11,11.2,14.4,8.1
1990/2/12,5.9,9.1,3.8
1990/2/13,5.6,8.8,2.8
1990/2/14,5.5,8.0,2.4
1990/2/15,6.6,8.3,5.0
1990/2/16,6.6,7.8,5.7
1990/2/17,6.8,10.4,3.1
1990/2/18,7.2,11.6,1.0
1990/2/19,12.5,14.8,10.9
1990/2/20,12.0,14.6,10.3
1990/2/21,10.1,13.7,7.8
1990/2/22,12.0,17.1,3.3
1990/2/23,13.3,14.4,12.3
1990/2/24,10.3,14.5,9.1
1990/2/25,8.5,9.2,7.8
1990/2/26,8.3,10.7,5.9
1990/2/27,6.3,8.3,4.5
1990/2/28,6.2,9.8,4.0
1990/3/1,7.3,10.8,3.4
1990/3/2,7.9,8.6,6.9
1990/3/3,8.1,9.6,6.9
1990/3/4,7.1,9.6,4.1
1990/3/5,6.0,10.2,3.0
1990/3/6,6.8,11.2,1.6
1990/3/7,5.9,10.3,1.7
1990/3/8,4.5,7.2,1.0
1990/3/9,8.0,11.6,5.0
1990/3/10,9.0,15.0,3.2
1990/3/11,11.4,15.7,4.3
1990/3/12,9.2,14.6,3.9
1990/3/13,5.8,8.4,2.0
1990/3/14,8.4,13.5,-0.2
1990/3/15,10.5,13.5,8.6
1990/3/16,8.4,13.1,4.1
1990/3/17,6.3,11.8,3.0
1990/3/18,7.2,10.2,3.0
1990/3/19,8.7,12.4,5.4
1990/3/20,9.3,14.7,4.8
1990/3/21,8.5,13.9,3.2
1990/3/22,9.3,17.7,2.0
1990/3/23,15.9,22.3,6.8
1990/3/24,12.3,16.2,8.2
1990/3/25,7.5,10.4,5.4
1990/3/26,6.5,10.2,3.7
1990/3/27,8.1,13.0,2.5
1990/3/28,9.3,11.8,7.6
1990/3/29,10.0,12.3,7.6
1990/3/30,11.1,14.2,5.9
1990/3/31,13.8,16.5,12.4
