ダウンロードした時刻：2019/10/10 15:49:31

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,4.8,7.7,-2.0
1985/12/2,5.5,9.3,0.4
1985/12/3,3.1,9.7,-2.0
1985/12/4,7.6,14.2,0.2
1985/12/5,6.5,12.2,2.0
1985/12/6,7.9,15.3,2.7
1985/12/7,3.4,7.1,1.7
1985/12/8,3.2,9.0,0.1
1985/12/9,0.5,4.1,-2.1
1985/12/10,-2.5,2.0,-5.9
1985/12/11,-0.8,3.5,-6.6
1985/12/12,0.0,5.8,-5.0
1985/12/13,0.8,6.4,-5.4
1985/12/14,2.6,5.4,0.0
1985/12/15,-2.0,1.0,-4.3
1985/12/16,-3.3,1.2,-7.0
1985/12/17,-2.9,2.0,-5.7
1985/12/18,-1.9,3.6,-6.5
1985/12/19,1.4,6.0,-1.7
1985/12/20,-1.4,3.2,-6.2
1985/12/21,-3.3,3.3,-8.6
1985/12/22,3.8,8.5,-5.4
1985/12/23,2.3,7.0,-0.7
1985/12/24,-1.4,2.1,-5.9
1985/12/25,-1.0,7.0,-8.8
1985/12/26,0.5,5.2,-2.9
1985/12/27,-0.9,6.6,-5.8
1985/12/28,-1.2,4.8,-5.1
1985/12/29,3.6,12.9,-8.1
1985/12/30,11.4,13.9,8.7
1985/12/31,6.3,13.7,-0.7
1986/1/1,2.8,6.7,-0.2
1986/1/2,-0.6,3.6,-3.5
1986/1/3,-1.0,3.4,-8.3
1986/1/4,1.7,4.6,-1.5
1986/1/5,-2.3,1.7,-5.5
1986/1/6,-3.1,-0.4,-6.2
1986/1/7,-0.2,6.3,-7.2
1986/1/8,1.4,6.7,-2.4
1986/1/9,-2.4,-0.4,-3.7
1986/1/10,-2.8,1.5,-6.8
1986/1/11,-3.7,2.3,-8.2
1986/1/12,-5.2,2.6,-11.2
1986/1/13,-2.7,2.5,-10.9
1986/1/14,-3.7,3.1,-9.3
1986/1/15,-3.7,4.3,-10.5
1986/1/16,-1.1,6.7,-6.8
1986/1/17,0.2,7.2,-5.4
1986/1/18,-0.4,5.7,-4.6
1986/1/19,-1.6,6.1,-7.0
1986/1/20,-1.8,6.2,-9.0
1986/1/21,-0.7,3.4,-3.4
1986/1/22,-3.8,0.1,-6.3
1986/1/23,-3.0,4.3,-9.5
1986/1/24,-3.8,1.2,-7.7
1986/1/25,-4.5,2.1,-9.8
1986/1/26,-5.2,1.5,-11.0
1986/1/27,-5.5,-0.4,-9.0
1986/1/28,-3.4,3.7,-11.5
1986/1/29,-2.7,4.2,-7.2
1986/1/30,1.0,10.0,-9.2
1986/1/31,-0.8,5.4,-5.3
1986/2/1,-3.4,1.6,-7.6
1986/2/2,-1.8,5.9,-9.0
1986/2/3,0.8,6.3,-3.9
1986/2/4,-3.1,3.7,-7.5
1986/2/5,-3.2,4.3,-8.9
1986/2/6,-4.4,2.8,-8.7
1986/2/7,-4.5,3.0,-11.0
1986/2/8,-4.5,2.4,-9.0
1986/2/9,-4.7,2.2,-11.3
1986/2/10,-4.9,2.4,-10.3
1986/2/11,-4.6,0.5,-10.4
1986/2/12,-2.5,5.3,-9.1
1986/2/13,0.7,7.7,-9.5
1986/2/14,4.2,10.2,-2.0
1986/2/15,0.7,8.5,-4.2
1986/2/16,-4.8,0.2,-9.4
1986/2/17,-4.6,3.0,-11.8
1986/2/18,-4.6,-2.9,-7.7
1986/2/19,-1.4,2.7,-4.2
1986/2/20,-2.1,4.1,-7.6
1986/2/21,-3.5,2.3,-8.4
1986/2/22,-4.6,4.0,-12.1
1986/2/23,0.6,4.8,-7.5
1986/2/24,-3.1,2.7,-7.9
1986/2/25,-5.4,-0.1,-9.6
1986/2/26,-4.7,3.7,-12.3
1986/2/27,-0.1,6.2,-7.1
1986/2/28,-2.7,1.9,-6.2
1986/3/1,-2.5,4.9,-8.8
1986/3/2,-2.2,5.4,-8.1
1986/3/3,-1.2,6.2,-7.0
1986/3/4,-1.4,7.1,-7.5
1986/3/5,-0.9,5.4,-6.1
1986/3/6,1.3,8.1,-3.8
1986/3/7,2.6,13.0,-5.0
1986/3/8,4.3,13.2,-0.6
1986/3/9,8.5,16.9,-1.5
1986/3/10,8.6,12.2,4.1
1986/3/11,2.1,4.9,0.3
1986/3/12,2.0,7.4,-1.7
1986/3/13,3.9,13.3,-3.9
1986/3/14,1.7,4.1,0.2
1986/3/15,3.1,8.5,0.1
1986/3/16,3.4,15.1,-1.5
1986/3/17,0.8,8.5,-4.8
1986/3/18,0.7,6.1,-5.8
1986/3/19,4.8,8.7,-0.3
1986/3/20,3.8,8.9,-1.2
1986/3/21,1.6,8.2,-3.8
1986/3/22,4.0,11.1,-1.2
1986/3/23,0.2,1.0,-0.9
1986/3/24,0.4,4.1,-3.9
1986/3/25,-0.6,5.8,-6.8
1986/3/26,2.2,12.3,-6.1
1986/3/27,7.0,16.5,-2.6
1986/3/28,2.8,5.3,0.3
1986/3/29,4.4,11.3,0.6
1986/3/30,7.6,14.5,-0.9
1986/3/31,5.6,11.2,-1.1
