ダウンロードした時刻：2019/10/10 16:09:49

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,8.3,11.4,4.6
2017/12/2,6.6,12.5,1.9
2017/12/3,8.8,15.0,4.3
2017/12/4,8.2,11.8,5.8
2017/12/5,5.1,8.3,2.6
2017/12/6,5.1,9.3,2.1
2017/12/7,7.8,12.0,2.9
2017/12/8,6.9,9.2,4.8
2017/12/9,6.2,8.8,2.9
2017/12/10,7.4,9.8,5.3
2017/12/11,6.2,9.5,3.0
2017/12/12,1.9,4.1,0.5
2017/12/13,2.9,6.3,0.4
2017/12/14,4.6,9.5,1.4
2017/12/15,6.6,11.3,1.8
2017/12/16,6.4,9.9,3.4
2017/12/17,2.4,5.7,0.5
2017/12/18,5.1,9.9,1.1
2017/12/19,6.0,11.2,1.8
2017/12/20,4.2,10.0,0.0
2017/12/21,5.1,11.1,0.8
2017/12/22,6.0,11.5,1.6
2017/12/23,5.7,11.5,1.5
2017/12/24,7.3,10.0,4.4
2017/12/25,7.2,10.9,2.7
2017/12/26,4.7,8.1,1.2
2017/12/27,4.5,8.3,1.1
2017/12/28,3.9,8.3,-0.9
2017/12/29,5.6,8.8,2.7
2017/12/30,7.5,12.7,4.3
2017/12/31,6.7,11.0,4.4
2018/1/1,5.4,9.7,2.9
2018/1/2,5.9,11.7,1.3
2018/1/3,6.4,9.3,3.7
2018/1/4,5.5,9.6,2.6
2018/1/5,6.0,8.5,3.9
2018/1/6,7.2,11.3,3.8
2018/1/7,5.8,9.3,1.8
2018/1/8,6.4,8.3,4.9
2018/1/9,6.1,9.0,3.6
2018/1/10,3.9,8.5,1.5
2018/1/11,0.5,4.1,-1.4
2018/1/12,-0.2,4.6,-3.5
2018/1/13,1.0,5.7,-3.4
2018/1/14,2.9,7.6,-0.1
2018/1/15,3.6,9.5,-0.3
2018/1/16,7.2,13.6,2.0
2018/1/17,10.4,12.6,8.8
2018/1/18,8.6,13.1,5.3
2018/1/19,8.3,13.6,4.1
2018/1/20,7.8,13.1,3.7
2018/1/21,6.4,11.8,2.0
2018/1/22,3.8,5.7,1.2
2018/1/23,3.6,9.0,-0.1
2018/1/24,-0.8,1.3,-2.2
2018/1/25,0.2,4.4,-2.2
2018/1/26,0.7,4.3,-1.1
2018/1/27,1.7,6.2,-2.2
2018/1/28,2.7,6.0,0.6
2018/1/29,2.6,6.2,-0.2
2018/1/30,2.0,7.0,-1.4
2018/1/31,2.8,7.9,-1.9
2018/2/1,4.8,8.6,2.3
2018/2/2,4.8,8.4,0.2
2018/2/3,5.2,9.5,2.4
2018/2/4,1.1,4.5,-0.6
2018/2/5,-0.3,2.9,-2.1
2018/2/6,-1.2,3.0,-3.2
2018/2/7,-0.3,4.6,-3.7
2018/2/8,0.7,6.7,-4.3
2018/2/9,3.4,9.9,-2.5
2018/2/10,5.1,6.4,3.6
2018/2/11,2.3,4.7,0.5
2018/2/12,2.2,6.2,-0.6
2018/2/13,2.4,6.9,-0.3
2018/2/14,4.5,10.4,-2.5
2018/2/15,6.7,11.0,3.4
2018/2/16,5.8,10.6,1.3
2018/2/17,5.7,10.5,2.3
2018/2/18,4.6,9.6,0.7
2018/2/19,6.3,10.1,3.2
2018/2/20,7.8,14.4,2.6
2018/2/21,7.7,13.2,5.1
2018/2/22,6.0,10.8,1.7
2018/2/23,5.6,12.4,0.0
2018/2/24,7.2,14.0,1.0
2018/2/25,7.9,11.7,5.3
2018/2/26,9.3,15.9,5.0
2018/2/27,8.6,14.3,2.8
2018/2/28,8.6,14.1,4.2
2018/3/1,12.2,16.7,8.3
2018/3/2,8.3,12.4,4.5
2018/3/3,8.3,12.8,2.8
2018/3/4,13.1,20.5,7.3
2018/3/5,11.6,15.2,7.3
2018/3/6,8.7,14.9,4.9
2018/3/7,8.3,14.3,3.7
2018/3/8,10.5,11.7,8.8
2018/3/9,6.9,10.3,4.0
2018/3/10,6.4,12.2,1.7
2018/3/11,7.8,13.9,1.7
2018/3/12,9.4,16.1,3.1
2018/3/13,12.1,19.3,4.7
2018/3/14,14.9,21.3,8.8
2018/3/15,15.4,20.3,11.2
2018/3/16,9.9,14.8,4.1
2018/3/17,7.4,14.9,1.3
2018/3/18,10.4,16.1,4.6
2018/3/19,12.8,14.1,11.0
2018/3/20,8.8,12.5,5.5
2018/3/21,7.3,8.7,5.3
2018/3/22,8.8,12.3,4.4
2018/3/23,8.1,14.0,1.8
2018/3/24,10.0,15.9,4.1
2018/3/25,11.6,17.7,5.5
2018/3/26,12.8,19.0,6.6
2018/3/27,13.9,20.4,7.3
2018/3/28,15.5,22.3,8.8
2018/3/29,16.1,22.0,9.4
2018/3/30,15.7,22.1,11.7
2018/3/31,13.7,19.7,7.5
