ダウンロードした時刻：2019/10/10 16:02:07

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,13.3,16.5,11.2
2003/12/2,14.4,18.2,11.4
2003/12/3,10.9,14.1,8.2
2003/12/4,11.9,15.3,8.8
2003/12/5,9.5,11.1,8.2
2003/12/6,14.0,18.8,9.4
2003/12/7,14.1,17.1,10.5
2003/12/8,10.7,13.3,7.8
2003/12/9,10.5,14.0,6.5
2003/12/10,9.2,11.2,7.7
2003/12/11,8.4,10.3,7.1
2003/12/12,10.5,14.8,7.3
2003/12/13,9.3,14.7,4.7
2003/12/14,8.3,14.5,4.2
2003/12/15,9.9,13.8,4.4
2003/12/16,10.1,14.0,5.8
2003/12/17,10.8,13.8,8.0
2003/12/18,10.7,14.0,7.6
2003/12/19,9.4,12.3,6.2
2003/12/20,6.2,8.3,2.5
2003/12/21,6.3,11.5,1.3
2003/12/22,8.0,12.8,2.1
2003/12/23,9.7,15.1,4.4
2003/12/24,10.6,15.5,6.4
2003/12/25,13.3,15.1,7.5
2003/12/26,12.7,15.4,10.3
2003/12/27,6.7,10.4,2.7
2003/12/28,5.8,11.1,0.8
2003/12/29,10.5,13.7,2.2
2003/12/30,11.6,14.0,7.4
2003/12/31,10.3,13.3,5.8
2004/1/1,10.2,13.0,6.1
2004/1/2,11.6,14.5,7.4
2004/1/3,9.6,14.5,4.8
2004/1/4,9.5,11.6,6.9
2004/1/5,8.2,11.0,6.0
2004/1/6,7.6,10.7,4.8
2004/1/7,7.1,10.6,2.7
2004/1/8,8.2,12.0,2.6
2004/1/9,6.7,10.5,1.8
2004/1/10,9.0,13.3,2.5
2004/1/11,7.8,11.2,5.4
2004/1/12,6.6,9.1,4.7
2004/1/13,8.0,11.8,4.8
2004/1/14,6.7,10.4,1.5
2004/1/15,5.0,9.6,-0.2
2004/1/16,5.4,8.6,3.1
2004/1/17,3.2,4.8,1.5
2004/1/18,6.1,8.3,3.4
2004/1/19,7.5,12.2,3.5
2004/1/20,6.7,11.8,2.6
2004/1/21,9.2,11.3,7.9
2004/1/22,3.7,8.0,0.6
2004/1/23,4.3,7.5,0.5
2004/1/24,6.7,8.8,4.5
2004/1/25,6.1,10.1,2.1
2004/1/26,5.3,10.5,0.3
2004/1/27,6.5,11.2,0.1
2004/1/28,7.5,11.5,2.3
2004/1/29,8.2,12.3,2.7
2004/1/30,7.3,11.1,3.7
2004/1/31,8.2,12.1,4.6
2004/2/1,7.2,12.2,4.4
2004/2/2,8.9,12.8,4.5
2004/2/3,10.1,13.2,7.4
2004/2/4,6.6,9.9,2.9
2004/2/5,6.2,9.3,4.5
2004/2/6,5.5,9.1,2.5
2004/2/7,5.2,7.5,3.2
2004/2/8,5.7,9.6,-0.2
2004/2/9,7.0,11.1,1.1
2004/2/10,5.4,7.7,3.5
2004/2/11,7.8,10.6,4.4
2004/2/12,8.7,12.9,4.0
2004/2/13,8.0,12.9,5.1
2004/2/14,10.8,15.5,4.1
2004/2/15,9.0,12.3,6.5
2004/2/16,7.4,12.3,2.7
2004/2/17,10.1,13.3,3.2
2004/2/18,8.2,13.4,2.1
2004/2/19,8.3,13.9,3.6
2004/2/20,8.8,13.4,4.9
2004/2/21,12.5,17.5,6.0
2004/2/22,15.7,18.7,12.9
2004/2/23,11.3,15.9,3.5
2004/2/24,8.8,13.7,2.8
2004/2/25,12.7,15.4,10.4
2004/2/26,12.7,16.0,7.5
2004/2/27,7.2,10.9,3.1
2004/2/28,8.5,12.7,3.1
2004/2/29,11.7,14.0,9.2
2004/3/1,5.5,13.3,2.9
2004/3/2,8.0,12.5,3.9
2004/3/3,7.0,10.3,4.5
2004/3/4,7.2,12.6,3.5
2004/3/5,7.5,11.1,1.2
2004/3/6,9.3,13.0,5.7
2004/3/7,5.6,10.4,-0.9
2004/3/8,4.8,10.6,-1.2
2004/3/9,8.4,14.5,3.7
2004/3/10,12.4,16.7,3.5
2004/3/11,16.3,18.7,15.1
2004/3/12,10.0,15.4,8.0
2004/3/13,10.6,15.6,6.6
2004/3/14,11.5,16.3,6.1
2004/3/15,10.4,15.5,6.7
2004/3/16,13.2,17.6,8.7
2004/3/17,17.8,20.9,15.5
2004/3/18,14.0,19.0,5.7
2004/3/19,7.1,9.9,4.7
2004/3/20,7.4,10.1,6.0
2004/3/21,8.4,12.6,6.1
2004/3/22,7.6,9.8,4.5
2004/3/23,7.3,10.5,4.7
2004/3/24,8.4,10.4,6.9
2004/3/25,10.2,12.2,8.6
2004/3/26,9.2,11.2,6.4
2004/3/27,9.7,15.5,2.1
2004/3/28,11.9,18.3,5.5
2004/3/29,14.9,20.0,8.2
2004/3/30,17.1,19.7,15.6
2004/3/31,16.2,21.0,12.7
