ダウンロードした時刻：2019/10/10 16:08:04

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,9.5,13.6,6.1
2015/12/2,11.2,18.1,3.7
2015/12/3,11.5,13.6,7.7
2015/12/4,8.3,11.3,5.7
2015/12/5,8.8,13.4,3.8
2015/12/6,9.7,12.5,7.4
2015/12/7,9.3,14.9,5.2
2015/12/8,8.3,15.2,3.6
2015/12/9,8.8,14.6,4.0
2015/12/10,13.6,16.5,7.5
2015/12/11,15.7,18.9,11.5
2015/12/12,11.0,14.5,8.0
2015/12/13,10.8,16.4,7.2
2015/12/14,11.0,16.0,7.7
2015/12/15,13.2,18.3,9.5
2015/12/16,11.8,15.2,7.1
2015/12/17,6.9,10.1,4.3
2015/12/18,5.4,8.6,3.4
2015/12/19,5.2,8.9,2.2
2015/12/20,6.1,11.1,0.9
2015/12/21,8.4,9.9,6.9
2015/12/22,8.8,14.1,5.5
2015/12/23,8.3,11.7,4.4
2015/12/24,11.9,16.3,9.6
2015/12/25,9.8,13.0,6.3
2015/12/26,8.0,12.2,5.1
2015/12/27,6.6,9.9,2.9
2015/12/28,5.0,9.4,1.7
2015/12/29,5.4,9.7,2.3
2015/12/30,5.0,10.6,0.6
2015/12/31,5.8,11.4,1.6
2016/1/1,5.7,10.6,2.1
2016/1/2,6.7,12.9,1.8
2016/1/3,9.3,15.8,4.7
2016/1/4,10.2,16.0,5.3
2016/1/5,8.2,12.2,4.9
2016/1/6,8.9,12.9,5.9
2016/1/7,7.7,11.0,5.5
2016/1/8,6.4,10.4,2.1
2016/1/9,6.3,11.5,2.5
2016/1/10,6.5,12.3,1.6
2016/1/11,7.5,12.8,3.5
2016/1/12,6.3,9.7,3.1
2016/1/13,4.7,9.4,1.3
2016/1/14,5.1,11.1,0.5
2016/1/15,4.8,10.1,0.7
2016/1/16,4.4,9.8,0.7
2016/1/17,5.6,9.2,0.8
2016/1/18,8.1,10.7,4.9
2016/1/19,2.0,5.2,-0.4
2016/1/20,1.6,5.4,-1.7
2016/1/21,3.6,6.9,0.2
2016/1/22,4.2,8.8,1.2
2016/1/23,3.5,6.7,1.0
2016/1/24,-0.5,2.2,-3.5
2016/1/25,0.8,6.5,-4.1
2016/1/26,3.0,9.4,-2.5
2016/1/27,6.1,11.9,1.3
2016/1/28,6.5,12.0,0.6
2016/1/29,7.3,8.3,6.3
2016/1/30,7.7,10.3,5.9
2016/1/31,7.7,12.3,5.0
2016/2/1,6.1,8.1,4.0
2016/2/2,5.1,10.3,2.5
2016/2/3,4.0,8.2,0.9
2016/2/4,4.8,11.0,-0.2
2016/2/5,6.2,12.0,1.5
2016/2/6,5.4,10.8,1.9
2016/2/7,3.6,8.0,0.3
2016/2/8,4.3,11.2,-2.0
2016/2/9,5.1,10.3,2.5
2016/2/10,4.6,9.2,2.0
2016/2/11,5.7,12.9,0.0
2016/2/12,9.0,14.7,2.9
2016/2/13,12.6,16.3,9.9
2016/2/14,14.9,21.8,10.4
2016/2/15,6.0,10.4,2.6
2016/2/16,4.2,8.6,0.9
2016/2/17,4.7,8.6,1.8
2016/2/18,5.3,12.1,-0.7
2016/2/19,8.5,15.4,1.8
2016/2/20,8.5,10.0,7.7
2016/2/21,6.7,10.2,3.0
2016/2/22,6.0,9.4,2.1
2016/2/23,8.0,11.6,4.8
2016/2/24,4.6,7.9,1.8
2016/2/25,4.3,10.5,-0.1
2016/2/26,4.7,10.1,0.3
2016/2/27,7.4,14.4,0.8
2016/2/28,9.8,16.5,3.8
2016/2/29,6.5,10.0,0.0
2016/3/1,1.8,5.7,-0.5
2016/3/2,4.6,10.5,-0.7
2016/3/3,8.0,15.8,1.1
2016/3/4,11.8,19.7,3.7
2016/3/5,14.9,21.4,11.0
2016/3/6,16.2,21.7,10.3
2016/3/7,16.5,20.9,13.1
2016/3/8,13.7,19.0,10.5
2016/3/9,8.9,12.4,6.7
2016/3/10,7.1,10.1,5.6
2016/3/11,6.2,11.6,2.9
2016/3/12,5.8,12.2,1.0
2016/3/13,7.9,14.7,1.9
2016/3/14,6.7,8.2,5.2
2016/3/15,6.9,11.3,3.2
2016/3/16,7.7,14.7,1.3
2016/3/17,12.3,20.9,4.4
2016/3/18,13.4,19.6,7.0
2016/3/19,14.2,18.8,10.7
2016/3/20,10.4,14.3,8.0
2016/3/21,8.9,13.8,5.5
2016/3/22,9.8,18.1,2.2
2016/3/23,11.2,19.1,6.3
2016/3/24,8.5,12.1,5.8
2016/3/25,6.4,11.5,3.6
2016/3/26,7.0,14.0,1.7
2016/3/27,9.3,17.2,2.6
2016/3/28,9.7,14.7,6.0
2016/3/29,11.4,18.1,4.0
2016/3/30,14.0,20.3,8.2
2016/3/31,15.6,22.3,8.8
