ダウンロードした時刻：2019/10/10 16:00:39

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,12.7,17.3,8.0
1998/12/2,8.9,13.4,4.3
1998/12/3,3.9,5.5,2.0
1998/12/4,6.1,9.7,1.9
1998/12/5,8.1,10.0,6.8
1998/12/6,11.4,14.3,9.0
1998/12/7,7.8,10.2,6.0
1998/12/8,11.0,13.1,9.0
1998/12/9,10.5,13.7,7.6
1998/12/10,8.1,10.3,6.2
1998/12/11,7.9,13.7,4.1
1998/12/12,7.1,8.8,5.2
1998/12/13,7.2,11.7,2.6
1998/12/14,9.1,14.0,3.9
1998/12/15,11.2,15.6,7.5
1998/12/16,10.2,12.9,7.9
1998/12/17,10.7,17.4,6.0
1998/12/18,8.8,11.8,6.0
1998/12/19,8.9,12.5,4.7
1998/12/20,9.9,14.3,7.0
1998/12/21,8.1,11.7,6.1
1998/12/22,9.6,15.2,3.4
1998/12/23,10.3,14.6,6.7
1998/12/24,8.5,11.5,6.2
1998/12/25,7.2,9.7,5.5
1998/12/26,8.0,13.8,3.8
1998/12/27,7.4,10.6,4.9
1998/12/28,8.3,12.8,3.5
1998/12/29,8.7,15.0,4.3
1998/12/30,8.7,15.1,4.9
1998/12/31,5.9,9.1,2.9
1999/1/1,5.0,9.4,1.9
1999/1/2,6.2,10.7,2.4
1999/1/3,6.3,10.8,3.3
1999/1/4,6.7,11.7,4.3
1999/1/5,5.2,8.1,1.8
1999/1/6,6.4,10.8,1.9
1999/1/7,8.1,13.8,3.9
1999/1/8,3.2,7.1,1.2
1999/1/9,3.0,7.8,-0.3
1999/1/10,4.4,10.8,-1.1
1999/1/11,5.2,10.4,0.5
1999/1/12,6.2,11.5,2.5
1999/1/13,6.4,10.9,2.5
1999/1/14,6.4,11.1,1.5
1999/1/15,5.1,6.6,3.2
1999/1/16,6.7,12.9,1.0
1999/1/17,6.1,10.7,2.9
1999/1/18,6.0,11.7,1.0
1999/1/19,6.4,9.2,3.6
1999/1/20,9.8,14.8,3.9
1999/1/21,6.3,10.2,3.0
1999/1/22,6.7,11.5,2.4
1999/1/23,8.6,13.7,2.9
1999/1/24,5.5,8.7,2.5
1999/1/25,5.9,8.1,3.9
1999/1/26,8.9,14.2,4.1
1999/1/27,7.9,11.2,5.5
1999/1/28,10.6,17.2,4.9
1999/1/29,6.9,12.4,3.9
1999/1/30,4.2,6.9,0.9
1999/1/31,5.8,10.5,0.5
1999/2/1,6.8,8.8,3.2
1999/2/2,7.1,12.6,3.9
1999/2/3,3.1,7.5,0.3
1999/2/4,3.0,7.5,-1.9
1999/2/5,4.9,10.0,0.5
1999/2/6,5.3,9.9,2.3
1999/2/7,5.7,10.9,0.8
1999/2/8,8.0,13.7,3.0
1999/2/9,8.4,11.8,5.3
1999/2/10,7.2,11.6,3.4
1999/2/11,3.3,6.4,0.3
1999/2/12,5.5,10.4,2.5
1999/2/13,2.9,7.9,0.5
1999/2/14,3.6,8.1,-0.6
1999/2/15,5.2,9.2,0.2
1999/2/16,7.6,13.0,2.3
1999/2/17,9.7,15.8,3.7
1999/2/18,11.7,18.6,5.5
1999/2/19,6.7,10.3,2.3
1999/2/20,5.5,11.0,1.4
1999/2/21,4.6,8.2,1.9
1999/2/22,5.4,9.9,-0.1
1999/2/23,7.5,13.0,1.0
1999/2/24,4.5,7.0,3.2
1999/2/25,8.9,14.2,3.4
1999/2/26,8.3,12.4,3.6
1999/2/27,10.6,15.8,4.0
1999/2/28,6.2,10.5,1.7
1999/3/1,8.4,14.6,3.1
1999/3/2,10.9,16.4,4.6
1999/3/3,10.0,13.6,7.1
1999/3/4,11.2,15.7,5.5
1999/3/5,13.3,17.5,8.0
1999/3/6,12.3,16.0,8.8
1999/3/7,7.6,11.7,4.6
1999/3/8,7.8,9.7,4.6
1999/3/9,4.9,9.2,2.2
1999/3/10,4.9,7.3,2.6
1999/3/11,5.8,8.9,4.3
1999/3/12,6.4,9.6,3.5
1999/3/13,7.0,10.8,3.0
1999/3/14,12.2,18.0,6.1
1999/3/15,15.3,17.9,13.0
1999/3/16,11.8,17.5,9.5
1999/3/17,13.8,18.6,9.4
1999/3/18,16.8,20.8,13.1
1999/3/19,15.7,18.6,12.0
1999/3/20,6.0,12.1,2.6
1999/3/21,4.8,7.0,3.2
1999/3/22,6.0,9.5,2.7
1999/3/23,7.4,11.6,2.0
1999/3/24,11.5,17.3,5.5
1999/3/25,11.5,13.6,9.2
1999/3/26,14.4,17.8,12.0
1999/3/27,11.9,16.0,6.7
1999/3/28,8.4,10.4,6.8
1999/3/29,6.9,11.8,3.4
1999/3/30,6.5,9.7,4.0
1999/3/31,7.4,11.7,3.9
